[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,CNS_KL180529_003_abplane
FILEOPENTIME,3739955473.54673,07/05/2018,12:33 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,1,MOMENT_UNITS
INFO,CrNb3S6,SAMPLE_MATERIAL
INFO,003 abplane,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,disk,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,67.1,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (Am2),M. Std. Err. (Am2),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (Am2),AC Moment (Am2),AC M. Std Err. (Am2),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (Am2/T),AC Suscept. Std Err. (Am2/T),AC X' (Am2/T),AC X' Std Err. (Am2/T),AC X'' (Am2/T),AC X'' Std Err. (Am2/T),AC Drive (T),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3739959044.52202,20.5689125061035,499.652862548828,,,6,,,,31.5663820827955,,,10,,,,,,,,,,,,,,,,,,,,,,20.0316524505615,21.0542984008789,499.652862548828,499.652862548828,,,7.3929009437561,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,21.1061725616455,0,3154122176,20.5316888635809,,,0.00985564244764253,0.000491626987589894,0.00985705231065015,0.000491630302973575,0.982844591140747,0.995335698127747,31.6289520263672,0.188845574855804,30,4,200,0.0026167375035584,-3.86817526817322,0.528186857700348,1,,,,,,,,,,,,,,,,
,3739959065.32381,22.5342063903809,499.652862548828,,,6,,,,31.5663820827955,,,10,,,,,,,,,,,,,,,,,,,,,,22.0082721710205,22.9914703369141,499.652862548828,499.652862548828,,,7.50403308868408,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,23.0601406097412,0,3154121984,22.5158578699285,,,0.00983993810902777,0.000490844135303683,0.00984135077823231,0.000490847153449012,0.982794344425201,0.995388329029083,31.6292095184326,0.188857063651085,30,4,200,0.00245994934812188,-3.86395144462585,0.525544226169586,1,,,,,,,,,,,,,,,,
,3739959086.46818,24.5470209121704,499.652862548828,,,6,,,,31.5663820827955,,,10,,,,,,,,,,,,,,,,,,,,,,24.0167446136475,25.00830078125,499.652862548828,499.652862548828,,,7.59248352050781,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,25.0772972106934,0,3154122176,24.5180325941606,,,0.00982287175078567,0.000489994205834911,0.00982430274241964,0.000489997029352845,0.982628762722015,0.995310485363007,31.6297760009766,0.188849002122879,30,4,200,0.0026761966291815,-3.85882544517517,0.522862374782562,1,,,,,,,,,,,,,,,,
,3739959107.47373,26.5458450317383,499.652862548828,,,6,,,,31.5663820827955,,,10,,,,,,,,,,,,,,,,,,,,,,26.0022583007813,27.0352458953857,499.652862548828,499.652862548828,,,7.67310285568237,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,27.0894317626953,0,3154121760,26.5379846746271,,,0.00980479686770658,0.000489093557681532,0.00980625356726177,0.000489096760766024,0.982526242733002,0.995378434658051,31.6302452087402,0.188836008310318,30,4,200,0.00245087780058384,-3.85369229316711,0.520258963108063,1,,,,,,,,,,,,,,,,
,3739959128.48146,28.5311222076416,499.652862548828,,,6,,,,31.5663820827955,,,10,,,,,,,,,,,,,,,,,,,,,,28.0094966888428,28.9952716827393,499.652862548828,499.652862548828,,,7.74989318847656,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,29.0527477264404,0,3154122112,28.5032274072821,,,0.0097860122217783,0.000488157713614311,0.00978748748903417,0.000488160877906486,0.982388257980347,0.995341420173645,31.6307525634766,0.188842192292213,30,4,200,0.00253810291178524,-3.84796595573425,0.517438650131226,1,,,,,,,,,,,,,,,,
,3739959157.92286,31.3601131439209,499.652862548828,,,6,,,,31.5713845451493,,,10,,,,,,,,,,,,,,,,,,,,,,30.3059959411621,32.3648834228516,499.652862548828,499.652862548828,,,7.86139154434204,-99999999,1,0,0,0,0.012969970703125,30.3030319213867,2,1,1,32.4142303466797,0,3154122048,31.3409430185954,,,0.0097506258825594,0.000486385195777668,0.00975194203417176,0.00048638796120161,0.98326963186264,0.995377004146576,31.6323204040527,0.188839718699455,30,4,200,0.00243158545345068,-4.68198204040527,4.87223100662231,1,,,,,,,,,,,,,,,,
,3739959174.41647,32.9370059967041,499.652862548828,,,6,,,,31.5713845451493,,,10,,,,,,,,,,,,,,,,,,,,,,32.4352111816406,33.3813667297363,499.652862548828,499.652862548828,,,7.8866024017334,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,33.4388008117676,0,3154122112,32.9030720103871,,,0.00973858661742614,0.000485785426783037,0.00973990753830902,0.000485787692891764,0.983168840408325,0.995373904705048,31.6327209472656,0.188857555389404,30,4,200,0.00239759171381593,-3.83320498466492,0.511222124099731,1,,,,,,,,,,,,,,,,
,3739959191.49941,34.5411643981934,499.652862548828,,,6,,,,31.5713845451493,,,10,,,,,,,,,,,,,,,,,,,,,,34.0158424377441,35.0288200378418,499.652862548828,499.652862548828,,,7.93725728988647,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,35.0836219787598,0,3154121696,34.5312905745073,,,0.00971891335770012,0.000484804089040501,0.00972024649682583,0.000484807027117135,0.983155071735382,0.995353221893311,31.6327533721924,0.188857421278954,30,4,200,0.00239579286426306,-3.82719969749451,0.508472323417664,1,,,,,,,,,,,,,,,,
,3739959212.58313,36.5542945861816,499.652862548828,,,6,,,,31.5713845451493,,,10,,,,,,,,,,,,,,,,,,,,,,36.0191802978516,37.0468597412109,499.652862548828,499.652862548828,,,7.97834491729736,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,37.0894088745117,0,3154122048,36.5433724143288,,,0.00969333140134012,0.000483529554729473,0.00969468224234791,0.000483532115166202,0.982964754104614,0.99529504776001,31.6334362030029,0.188841819763184,30,4,200,0.00253106048330665,-3.81949305534363,0.505085706710815,1,,,,,,,,,,,,,,,,
,3739959233.30076,38.5365962982178,499.652862548828,,,6,,,,31.5713845451493,,,10,,,,,,,,,,,,,,,,,,,,,,38.004825592041,39.0391120910645,499.652862548828,499.652862548828,,,8.02755069732666,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,39.0683670043945,0,3154121824,38.523493680087,,,0.0096661912824243,0.000482177513728174,0.00966757419119084,0.000482180034370682,0.98275101184845,0.995318830013275,31.6343021392822,0.188840970396996,30,4,200,0.00249185063876212,-3.8108057975769,0.501750588417053,1,,,,,,,,,,,,,,,,
