[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3739963366.13896,07/05/2018,2:44 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,1,MOMENT_UNITS
INFO,CrNb3S6,SAMPLE_MATERIAL
INFO,003 abplane,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,disk,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,67.1,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (Am2),M. Std. Err. (Am2),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (Am2),AC Moment (Am2),AC M. Std Err. (Am2),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (Am2/T),AC Suscept. Std Err. (Am2/T),AC X' (Am2/T),AC X' Std Err. (Am2/T),AC X'' (Am2/T),AC X'' Std Err. (Am2/T),AC Drive (T),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3739966452.44349,20.5464324951172,499.652862548828,,,6,,,,31.5662807256906,,,10,,,,,,,,,,,,,,,,,,,,,,20.0141544342041,21.0070552825928,499.652862548828,499.652862548828,,,8.50314998626709,-99999999,1,0,0,0,0.016632080078125,30.3030319213867,2,1,1,21.0787105560303,0,3154122144,20.5255475477739,,,0.0104316714475188,0.000520376303745376,0.0104334280946991,0.000520378403090106,0.981210649013519,0.995059609413147,31.6349906921387,0.18883328139782,30,4,200,0.00272522121667862,-4.07477331161499,0.576758086681366,1,,,,,,,,,,,,,,,,
,3739966473.2149,22.5360403060913,499.652862548828,,,6,,,,31.5662807256906,,,10,,,,,,,,,,,,,,,,,,,,,,22.0263156890869,22.9752750396729,499.652862548828,499.652862548828,,,8.62830448150635,-99999999,1,0,0,0,0.016021728515625,30.3030319213867,2,1,1,23.0457649230957,0,3154122144,22.5023916417902,,,0.0104074743996018,0.000519169724931313,0.0104092304382264,0.000519171530248024,0.981161415576935,0.99505215883255,31.635181427002,0.188844606280327,30,4,200,0.00259129237383604,-4.06746768951416,0.573609709739685,1,,,,,,,,,,,,,,,,
,3739966494.5959,24.5571546554565,499.652862548828,,,6,,,,31.5662807256906,,,10,,,,,,,,,,,,,,,,,,,,,,24.0218601226807,25.0516796112061,499.652862548828,499.652862548828,,,8.7418155670166,-99999999,1,0,0,0,0.0151824951171875,30.3030319213867,2,1,1,25.0924491882324,0,3154122144,24.5462110692804,,,0.0103820408195058,0.000517903052187932,0.0103838480864425,0.000517905729478386,0.980964243412018,0.995035886764526,31.6359329223633,0.188831448554993,30,4,200,0.00266297953203321,-4.05946683883667,0.569937407970428,1,,,,,,,,,,,,,,,,
,3739966515.50596,26.5355730056763,499.652862548828,,,6,,,,31.5662807256906,,,10,,,,,,,,,,,,,,,,,,,,,,26.012321472168,27.0280838012695,499.652862548828,499.652862548828,,,8.84283828735352,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,27.0836124420166,0,3154122240,26.5264077620073,,,0.010354552207217,0.000516532155336769,0.0103563590147746,0.000516534610751514,0.980913937091827,0.995010733604431,31.6361103057861,0.188844621181488,30,4,200,0.00271821720525622,-4.0508861541748,0.566860675811768,1,,,,,,,,,,,,,,,,
,3739966536.27858,28.538761138916,499.652862548828,,,6,,,,31.5662807256906,,,10,,,,,,,,,,,,,,,,,,,,,,28.0105133056641,29.0134315490723,499.652862548828,499.652862548828,,,8.92369937896729,-99999999,1,0,0,0,0.001220703125,30.3030319213867,2,1,1,29.067008972168,0,3154122144,28.5189002643932,,,0.0103264889342086,0.000515133454858634,0.0103283155717085,0.000515135816240067,0.980781733989716,0.995016813278198,31.6366367340088,0.18884414434433,30,4,200,0.00263033574447036,-4.04189157485962,0.56339156627655,1,,,,,,,,,,,,,,,,
,3739966567.55684,31.5066404342651,499.652862548828,,,6,,,,31.5712807938817,,,10,,,,,,,,,,,,,,,,,,,,,,30.4665546417236,32.4712028503418,499.652862548828,499.652862548828,,,9.05783271789551,-99999999,1,0,0,0,0.0139617919921875,30.3030319213867,2,1,1,32.5467262268066,0,3154121824,31.4864095960345,,,0.0102737447860845,0.000512494499769021,0.0102753919928974,0.000512496265562146,0.981602847576141,0.995023429393768,31.6384086608887,0.188825666904449,30,4,200,0.00259626493789256,-4.53459501266479,4.85045146942139,1,,,,,,,,,,,,,,,,
,3739966583.9739,33.0737342834473,499.652862548828,,,6,,,,31.5712807938817,,,10,,,,,,,,,,,,,,,,,,,,,,32.5649452209473,33.5451393127441,499.652862548828,499.652862548828,,,9.09652614593506,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,33.6008758544922,0,3154122176,33.0539408597079,,,0.0102567893947425,0.000511649869561046,0.0102584660952537,0.000511652220190456,0.981492698192596,0.995015144348145,31.6388301849365,0.188819006085396,30,4,200,0.00258612842299044,-4.01950311660767,0.554919481277466,1,,,,,,,,,,,,,,,,
,3739966599.5692,34.5629386901855,499.652862548828,,,6,,,,31.5712807938817,,,10,,,,,,,,,,,,,,,,,,,,,,34.019588470459,35.0520896911621,499.652862548828,499.652862548828,,,9.14496803283691,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,35.1062889099121,0,3154122112,34.5480499267578,,,0.010231538563266,0.000510389894220141,0.0102331981766632,0.000510391960488135,0.981529593467712,0.995007336139679,31.6386852264404,0.188834100961685,30,4,200,0.00253837765194476,-4.01140594482422,0.55196750164032,1,,,,,,,,,,,,,,,,
,3739966620.20954,36.5482292175293,499.652862548828,,,6,,,,31.5712807938817,,,10,,,,,,,,,,,,,,,,,,,,,,36.018684387207,37.0324821472168,499.652862548828,499.652862548828,,,9.19894123077393,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,37.0777740478516,0,3154122208,36.5309600830078,,,0.0101976000137056,0.000508698514706136,0.0101992971116649,0.000508701219609004,0.981357455253601,0.994957804679871,31.6393089294434,0.188833564519882,30,4,200,0.00273332861252129,-4.00028324127197,0.548004686832428,1,,,,,,,,,,,,,,,,
,3739966641.2995,38.5364265441895,499.652862548828,,,6,,,,31.5712807938817,,,10,,,,,,,,,,,,,,,,,,,,,,38.0027885437012,39.0152931213379,499.652862548828,499.652862548828,,,9.24872398376465,-99999999,1,0,0,0,0.0147247314453125,30.3030319213867,2,1,1,39.0700645446777,0,3154122112,38.5243769558993,,,0.0101610996999949,0.000506879497331708,0.0101628167146097,0.00050688137304008,0.981150627136231,0.995016694068909,31.640193939209,0.188863858580589,30,4,200,0.00254725851118565,-3.98831152915955,0.543806374073029,1,,,,,,,,,,,,,,,,
