[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,CNS_KL180615_003_abplane_Hscan002
FILEOPENTIME,3740032898.89116,07/06/2018,10:03 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,1,MOMENT_UNITS
INFO,CrNb3S6,SAMPLE_MATERIAL
INFO,KL180615_003,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,powder,SAMPLE_SHAPE
INFO,Standard,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,67.15,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (Am2),M. Std. Err. (Am2),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (Am2),AC Moment (Am2),AC M. Std Err. (Am2),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (Am2/T),AC Suscept. Std Err. (Am2/T),AC X' (Am2/T),AC X' Std Err. (Am2/T),AC X'' (Am2/T),AC X'' Std Err. (Am2/T),AC Drive (T),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3740033055.88527,2.00027704238892,238.348152160645,,,6,,,,31.8006210327148,,,10,,,,,,,,,,,,,,,,,,,,,,1.99872636795044,2.00072193145752,227.62614440918,248.057723999023,,,3.16830515861511,-99999999,1,0,0,0,0,30.3030319213867,1,6,1,2.00037550926209,0,3154121952,1.99992177703164,,,0.00594174459340513,0.000296623590164706,0.00594669960657956,0.000296633268068125,0.956856369972229,0.983839631080627,31.6490230560303,0.188915744423866,30,4,200,0.49343329668045,-1.26590371131897,2.15955424308777,1,,,,,,,,,,,,,,,,
,3740033066.92323,2.00049245357513,260.408164978027,,,6,,,,31.8006210327148,,,10,,,,,,,,,,,,,,,,,,,,,,1.99863195419312,2.00119924545288,249.619064331055,270.172637939453,,,3.17252397537231,-99999999,1,0,0,0,0.012969970703125,30.3030319213867,1,6,1,2.00077605247498,0,3154122208,1.99997206167741,,,0.00629535544909023,0.000314298603162905,0.00630118222932989,0.00031430937468853,0.955249667167664,0.985072314739227,31.6407737731934,0.188944444060326,30,4,200,0.489257454872131,-1.42779564857483,2.12931299209595,1,,,,,,,,,,,,,,,,
,3740033078.10729,2.00020062923431,282.736526489258,,,6,,,,31.8006210327148,,,10,,,,,,,,,,,,,,,,,,,,,,1.99891626834869,2.00085377693176,271.84375,292.604675292969,,,3.17489242553711,-99999999,1,0,0,0,0,30.3030319213867,1,6,1,2.00037717819214,0,3154122048,2.00003762678667,,,0.00664546884223513,0.000331744285698365,0.00665095322824867,0.00033175543270473,0.957592129707336,0.9852574467659,31.6499423980713,0.188916072249413,30,4,200,0.491661936044693,-1.53964197635651,2.19469952583313,1,,,,,,,,,,,,,,,,
,3740033089.19516,2.00013035535812,304.955108642578,,,6,,,,31.8006210327148,,,10,,,,,,,,,,,,,,,,,,,,,,1.99899208545685,2.00072908401489,294.031829833984,314.865966796875,,,3.17860007286072,-99999999,1,0,0,0,0,30.3030319213867,1,6,1,2.00042676925659,0,3154121952,1.99993627721613,,,0.00699938921902105,0.000349394538847482,0.00700476315089694,0.000349406212246757,0.958792924880982,0.984791338443756,31.6554775238037,0.18890768289566,30,4,200,0.490840494632721,-1.69313836097717,2.19208812713623,1,,,,,,,,,,,,,,,,
,3740033100.24324,2.00031590461731,327.027313232422,,,6,,,,31.8006210327148,,,10,,,,,,,,,,,,,,,,,,,,,,1.99889397621155,2.00137615203857,316.232116699219,337.054046630859,,,3.18250274658203,-99999999,1,0,0,0,0.014801025390625,30.3030319213867,1,6,1,2.00056767463684,0,3154121952,2.00006747245789,,,0.00733660630567438,0.000366223874556311,0.00734223496200034,0.000366235101698199,0.959054827690125,0.98566859960556,31.6552257537842,0.188917398452759,30,4,200,0.491628527641296,-1.88680410385132,2.14751100540161,1,,,,,,,,,,,,,,,,
,3740033111.25114,2.0004585981369,349.020233154297,,,6,,,,31.8006210327148,,,10,,,,,,,,,,,,,,,,,,,,,,1.99874675273895,2.00083661079407,338.237243652344,358.876190185547,,,3.18682456016541,-99999999,1,0,0,0,0,30.3030319213867,1,6,1,2.00054740905762,0,3154121984,2.00000088865107,,,0.00767611574073798,0.000383176266872622,0.00768232328473,0.00038318909059797,0.958730340003967,0.987556278705597,31.6515598297119,0.188897401094437,30,4,200,0.496890395879745,-1.93506121635437,2.24889087677002,1,,,,,,,,,,,,,,,,
,3740033122.30073,2.00059151649475,371.110748291016,,,6,,,,31.8006210327148,,,10,,,,,,,,,,,,,,,,,,,,,,1.99906742572784,2.00082945823669,360.242370605469,381.296051025391,,,3.19086170196533,-99999999,1,0,0,0,0,30.3030319213867,1,6,1,2.00063562393188,0,3154121984,1.99996415051547,,,0.0080166418321391,0.00040020593655895,0.00802394775892399,0.000400221922285521,0.956876873970032,0.989075005054474,31.6425247192383,0.188920572400093,30,4,200,0.496164351701736,-2.07326221466064,2.28323650360107,1,,,,,,,,,,,,,,,,
,3740033133.41503,2.00020480155945,393.43913269043,,,6,,,,31.8006210327148,,,10,,,,,,,,,,,,,,,,,,,,,,1.99908113479614,2.00110387802124,382.418243408203,403.423156738281,,,3.19368886947632,-99999999,1,0,0,0,0.014801025390625,30.3030319213867,1,6,1,2.00036692619324,0,3154122144,2.00013816356659,,,0.00834799387771468,0.000416759685444301,0.00835571213254795,0.000416777527316389,0.956215441226959,0.987499535083771,31.6415977478027,0.188911363482475,30,4,200,0.499773055315018,-2.22954487800598,2.26797842979431,1,,,,,,,,,,,,,,,,
,3740033144.47885,2.00034821033478,415.572311401367,,,6,,,,31.8006210327148,,,10,,,,,,,,,,,,,,,,,,,,,,1.99876832962036,2.00089335441589,405.81396484375,425.025726318359,,,3.19682860374451,-99999999,1,0,0,0,0.0157928466796875,30.3030319213867,1,6,1,2.00032949447632,0,3154121952,2.00004558563232,,,0.00867260784803534,0.000432940245329977,0.00868027342976461,0.00043295709404128,0.957563102245331,0.98935329914093,31.6449661254883,0.188901916146278,30,4,200,0.499481469392777,-2.37396907806396,2.24319124221802,1,,,,,,,,,,,,,,,,
,3740033155.53685,2.00011843442917,437.662841796875,,,6,,,,31.8006210327148,,,10,,,,,,,,,,,,,,,,,,,,,,1.99907970428467,2.00081348419189,426.84326171875,447.482177734375,,,3.20083284378052,-99999999,1,0,0,0,0.014801025390625,30.3030319213867,1,6,1,2.00038433074951,0,3154122144,2.00000413981351,,,0.0090109626247765,0.000449821419466622,0.0090188824348028,0.000449839085614998,0.958075344562531,0.991015434265137,31.6454467773438,0.188905775547028,30,4,200,0.500433444976807,-2.49278473854065,2.31715297698975,1,,,,,,,,,,,,,,,,
