Started: March 20, 2024 01:18:39
Initial Temperature (K)	0.0200289
Resistor	1000000.0	Excitation Current (A)	5e-08
Current (A)	Measured Voltage (V)	Resistance (Ohms)
-1.5e-06	0.0012101740468785922	1.7588985000000001
-1.49e-06	-0.0003885779649896198	1.773014
-1.48e-06	0.00011299121433251842	1.5982465000000001
-1.47e-06	-0.000825801191910565	1.8035735000000002
-1.46e-06	-0.002640690081918235	1.6423355000000002
-1.4499999999999999e-06	-0.005744150336405084	1.7910590000000002
-1.44e-06	-0.004434130355659296	1.7315415
-1.4299999999999999e-06	5.854445726196831e-05	2.0251955
-1.42e-06	0.0023882017498382106	1.7686485
-1.4099999999999998e-06	-0.004467128380775831	1.7223734999999998
-1.4e-06	-0.003838516777726393	1.7866935
-1.3899999999999998e-06	0.0020747209951846837	1.8499940000000001
-1.38e-06	-0.0011145336173916647	1.9140225
-1.37e-06	0.001060033238215102	1.899618
-1.36e-06	0.0023403547193043567	1.6960355000000003
-1.35e-06	-0.004137148509934028	1.7770890000000001
-1.34e-06	-0.0030218168495224442	1.7049115
-1.33e-06	-0.00574745010049381	1.7875665
-1.32e-06	0.001185425366922913	1.796736
-1.31e-06	-0.0018767868894762028	1.7766525000000002
-1.3e-06	0.0004957676896380583	1.9765975000000002
-1.29e-06	-0.0018041914600164593	1.8201630000000002
-1.28e-06	-0.0030366659695206244	1.9450180000000001
-1.2700000000000001e-06	0.0002169345265700513	1.991004
-1.26e-06	0.004242687951632247	1.8639635
-1.25e-06	0.0023750025963929296	1.8856465000000002
-1.24e-06	-0.004892802357641594	1.8686205
-1.23e-06	-0.003927611345439643	1.8760420000000002
-1.22e-06	0.0008339968988067734	1.954186
-1.21e-06	0.00342433818181956	1.89234
-1.2e-06	-0.0037840701580830307	1.9191155000000002
-1.19e-06	-0.0029310723218418057	1.9377430000000002
-1.18e-06	-0.0005552180621143867	1.94924
-1.17e-06	-0.0009561432471874981	1.945745
-1.16e-06	-0.0028007303017958387	1.9928960000000002
-1.15e-06	0.0016374977444489876	2.207685
-1.14e-06	-0.003586082277930349	2.366445
-1.13e-06	-0.004231192807394208	1.9767439999999998
-1.12e-06	-0.0015369079724242031	1.955495
-1.11e-06	-0.002939321964242396	2.0412075
-1.1e-06	0.0015236548298361526	2.080933
-1.09e-06	-0.002716585704079212	2.057355
-1.08e-06	0.003239549560364978	2.1315749999999998
-1.0700000000000001e-06	-0.00555606179841044	2.1609700000000003
-1.06e-06	-0.00029783363476844913	2.031602
-1.0500000000000001e-06	-0.0020764247634772227	2.14569
-1.04e-06	0.0009742384355175168	2.11746
-1.03e-06	0.0003340776357184022	2.10276
-1.02e-06	0.0010220855498812888	1.9959505000000002
-1.01e-06	-0.0015600063693285288	2.2044750000000004
-1e-06	-0.001446163268144832	2.2015700000000002
-9.9e-07	-0.002243064623108293	2.13274
-9.8e-07	-4.151756867914894e-06	2.136665
-9.7e-07	-0.0030663641306218807	2.2108800000000004
-9.6e-07	0.0005386651331946245	2.26036
-9.499999999999999e-07	-0.0035101870382818648	2.2914950000000003
-9.399999999999999e-07	0.0018156867695559133	2.22485
-9.3e-07	0.00025818236933642237	2.19051
-9.200000000000001e-07	0.001055083500572272	2.27651
-9.100000000000001e-07	-0.0012135274657092364	2.245225
-9.000000000000001e-07	-0.0006294634818076611	2.30634
-8.900000000000001e-07	-0.0031439094212922097	2.249155
-8.8e-07	-0.0016886983850596836	2.19517
-8.7e-07	-0.0010452377266844503	2.20637
-8.6e-07	-0.0005783165723031321	2.228635
-8.5e-07	-0.0007581553526122792	2.2667600000000006
-8.4e-07	-3.3849771950449276e-05	2.32206
-8.3e-07	0.0015137553718387563	2.15515
-8.2e-07	-0.0021028230721653286	2.255125
-8.1e-07	0.0006591078172592922	2.2597750000000003
-8e-07	-0.0027264848684585693	2.242315
-7.900000000000001e-07	-0.002680287669047863	2.2530799999999997
-7.8e-07	-0.002889824866115322	2.2482800000000003
-7.7e-07	-0.002233165103613899	2.222235
-7.6e-07	-0.0013702680265722622	2.195315
-7.5e-07	-0.001003990347864439	2.1714450000000003
-7.4e-07	-0.002757833050778934	2.0413575
-7.3e-07	-0.00045622392094289786	2.1697
-7.2e-07	0.0015286044762946225	2.1487450000000003
-7.1e-07	-0.0036240298830617487	2.30838
-7e-07	-0.002769382244845589	2.133175
-6.9e-07	-0.003892963681487553	2.0937400000000004
-6.8e-07	-0.00360093141423032	2.081365
-6.699999999999999e-07	-0.00016749171681755982	2.0777315
-6.6e-07	0.002949167372650831	2.0679835
-6.5e-07	-0.000687209757686321	2.0800600000000005
-6.4e-07	-0.0024377526013953216	2.047174
-6.3e-07	-0.0028353781411910575	1.9586934999999999
-6.2e-07	-0.003760971539615734	1.8527595000000001
-6.1e-07	-4.374914222756842e-05	1.8380615000000002
-6e-07	-0.0019807304651485017	1.8537780000000001
-5.9e-07	-0.000990791172035285	1.7533695
-5.8e-07	-0.0033369475845775676	1.7134970000000003
-5.699999999999999e-07	0.0018255862977952669	1.749003
-5.599999999999999e-07	-0.002056625786524279	1.754388
-5.499999999999999e-07	0.0007432526246591391	1.591552
-5.4e-07	-0.004706363735486193	1.672024
-5.3e-07	-0.0002037894203669431	1.507442
-5.2e-07	-0.004495176635914123	1.5668135
-5.1e-07	-0.0009511936300426166	1.483286
-5e-07	-0.0027924808822927904	1.1937005
-4.9e-07	-8.169689835114589e-05	1.5006025
-4.8e-07	-0.002830428567563493	1.2485625
-4.6999999999999995e-07	-0.0006987590489011911	1.168527
-4.6e-07	-0.0024740504756891085	1.0886334999999998
-4.5e-07	-0.0012960223651863737	1.1695445000000002
-4.3999999999999997e-07	-0.000890147590143631	1.1173015000000002
-4.2999999999999996e-07	-0.0016474510998617867	0.8837425000000001
-4.1999999999999995e-07	-0.0002202885170041176	1.0927075
-4.0999999999999994e-07	-0.0007944531301896885	1.2687890000000002
-3.9999999999999993e-07	-0.003228054119385608	1.05502
-3.899999999999999e-07	0.0002235345230119843	1.0202395
-3.799999999999999e-07	0.0007498521243428566	0.9103720000000001
-3.699999999999999e-07	-0.0019807306171945893	0.997394
-3.599999999999999e-07	-0.0030762634353501106	0.7907545
-3.499999999999999e-07	0.0003522264400375782	0.840669
