Initial Temperature (K)	0.020066
Excitation Current (A)	5e-08
Axis 1,2	x,y
Angle	0
Field (T)	Current (A)	        Resistance (Ohms)	            Actual X-Field	                Actual Y-Field	                    Actual Z-Field	                        Lock-In Overload Pass	                            Average Phase
-0.03	                -1.5e-06	                    3.267795	                        -0.03	                            -0.0	                                0.0	                                    True	                                        3.849
-0.03	                -1.485e-06	                    3.214245	                        -0.03	                            -0.0	                                0.0	                                    True	                                        6.204
-0.03	                -1.47e-06	                    3.194455	                        -0.03	                            -0.0	                                0.0	                                    True	                                        7.728
-0.03	                -1.455e-06	                    3.221235	                        -0.03	                            0.0	                                -0.0	                                    True	                                        7.6665
-0.03	                -1.44e-06	                    3.278275	                        -0.03	                            0.0	                                -0.0	                                    True	                                        6.291
-0.03	                -1.425e-06	                    3.19271	                        -0.03	                            0.0	                                0.0	                                    True	                                        7.8465
-0.03	                -1.41e-06	                    3.227635	                        -0.03	                            -0.0	                                -0.0	                                    True	                                        8.163
-0.03	                -1.395e-06	                    3.1508	                        -0.03	                            0.0	                                0.0	                                    True	                                        7.353
-0.03	                -1.38e-06	                    3.250335	                        -0.03	                            -0.0	                                0.0	                                    True	                                        8.412
-0.03	                -1.365e-06	                    3.2125	                        -0.03	                            0.0	                                0.0	                                    True	                                        5.751
-0.03	                -1.35e-06	                    3.236945	                        -0.03	                            0.0	                                0.0	                                    True	                                        7.1445
-0.03	                -1.335e-06	                    3.20668	                        -0.03	                            -0.0	                                -0.0	                                    True	                                        7.1385
-0.03	                -1.32e-06	                    3.244515	                        -0.03	                            0.0	                                -0.0	                                    True	                                        5.409
-0.03	                -1.305e-06	                    3.287	                        -0.03	                            0.0	                                0.0	                                    True	                                        6.6945
-0.03	                -1.29e-06	                    3.224725	                        -0.03	                            -0.0	                                -0.0	                                    True	                                        7.878
-0.03	                -1.275e-06	                    3.20726	                        -0.03	                            -0.0	                                0.0	                                    True	                                        8.01
-0.03	                -1.26e-06	                    3.245095	                        -0.03	                            0.0	                                -0.0	                                    True	                                        6.0
-0.03	                -1.245e-06	                    3.28119	                        -0.03	                            0.0	                                0.0	                                    True	                                        4.917
-0.03	                -1.23e-06	                    3.155455	                        -0.03	                            -0.0	                                -0.0	                                    True	                                        6.813
-0.03	                -1.215e-06	                    3.211335	                        -0.03	                            -0.0	                                -0.0	                                    True	                                        8.145
-0.03	                -1.2e-06	                    3.321345	                        -0.03	                            -0.0	                                0.0	                                    True	                                        7.944
-0.03	                -1.185e-06	                    3.21483	                        -0.03	                            0.0	                                -0.0	                                    True	                                        6.555
-0.03	                -1.17e-06	                    3.22414	                        -0.03	                            0.0	                                -0.0	                                    True	                                        6.1425
-0.03	                -1.155e-06	                    3.198525	                        -0.03	                            0.0	                                -0.0	                                    True	                                        7.107
-0.03	                -1.14e-06	                    3.175245	                        -0.03	                            -0.0	                                0.0	                                    True	                                        8.76
-0.03	                -1.125e-06	                    3.18922	                        -0.03	                            0.0	                                0.0	                                    True	                                        8.124
-0.03	                -1.11e-06	                    3.18747	                        -0.03	                            0.0	                                0.0	                                    True	                                        6.6285
-0.03	                -1.095e-06	                    3.24975	                        -0.03	                            -0.0	                                0.0	                                    True	                                        7.6485
-0.03	                -1.08e-06	                    3.311455	                        -0.03	                            -0.0	                                0.0	                                    True	                                        5.5725
-0.03	                -1.065e-06	                    3.32659	                        -0.03	                            -0.0	                                -0.0	                                    True	                                        5.847
-0.03	                -1.05e-06	                    3.25441	                        -0.03	                            0.0	                                0.0	                                    True	                                        6.615
-0.03	                -1.035e-06	                    3.25441	                        -0.03	                            0.0	                                -0.0	                                    True	                                        7.182
-0.03	                -1.02e-06	                    3.25092	                        -0.03	                            -0.0	                                0.0	                                    True	                                        7.4445
-0.03	                -1.005e-06	                    3.20667	                        -0.03	                            0.0	                                0.0	                                    True	                                        6.6855
-0.03	                -9.9e-07	                    3.17874	                        -0.03	                            -0.0	                                -0.0	                                    True	                                        5.5845
