Started: March 19, 2024 15:52:01
Initial Temperature (K)	0.020158
Resistor	1000000.0	Excitation Current (A)	5e-08
Current (A)	Measured Voltage (V)	Resistance (Ohms)
-1.5e-06	0.21219850731899956	16.92107
-1.49e-06	0.2180243001643577	24.678990000000002
-1.48e-06	0.21512047832865738	24.236620000000002
-1.47e-06	0.2160295724435015	24.54285
-1.46e-06	0.20382196850658882	24.640605
-1.4499999999999999e-06	0.2148878422669631	24.691815000000002
-1.44e-06	0.21442092105531466	21.179585000000003
-1.4299999999999999e-06	0.21205001608487378	26.20054
-1.42e-06	0.2132164945514497	23.883854999999997
-1.4099999999999998e-06	0.21400184624465576	23.468325
-1.4e-06	0.21084228955457504	25.94215
-1.3899999999999998e-06	0.2100255902681198	25.637140000000006
-1.38e-06	0.20643375964727245	25.56845
-1.37e-06	0.21419653449469714	25.523040000000005
-1.36e-06	0.2146453071295173	28.521885000000005
-1.35e-06	0.20759858806247372	26.327450000000002
-1.34e-06	0.21585303327195154	24.361150000000002
-1.33e-06	0.21330723943413987	28.64066
-1.32e-06	0.21272812490499046	27.194770000000005
-1.31e-06	0.21540756053760213	23.78385
-1.3e-06	0.2148911411623653	30.758200000000002
-1.29e-06	0.21399854692432102	27.028250000000003
-1.28e-06	0.20908184760968426	26.000310000000002
-1.2700000000000001e-06	0.21697991390282712	23.862905
-1.26e-06	0.2130350056926647	26.371675
-1.25e-06	0.20421299502439202	26.631300000000003
-1.24e-06	0.21742538673969763	18.81511
-1.23e-06	0.20950257210645065	25.022435
-1.22e-06	0.20837404107341656	28.63015
-1.21e-06	0.2175953262036298	24.638255
-1.2e-06	0.20878981557734386	24.17035
-1.19e-06	0.20924353808773632	25.407774999999997
-1.18e-06	0.2132082453456061	26.744245
-1.17e-06	0.20689573113495824	26.9666
-1.16e-06	0.2112234165719305	22.80471
-1.15e-06	0.20759363857477414	26.319300000000002
-1.14e-06	0.21203681679810898	28.5079
-1.13e-06	0.2098919478706447	19.85128
-1.12e-06	0.20373122429553758	32.61735
-1.11e-06	0.2098737991117392	27.809450000000002
-1.1e-06	0.20907524816281392	29.050400000000003
-1.09e-06	0.2141041404150191	25.079459999999997
-1.08e-06	0.21320824437572383	25.614970000000003
-1.0700000000000001e-06	0.20794671730697423	24.548655
-1.06e-06	0.21132240989914983	26.8584
-1.0500000000000001e-06	0.2092220890787939	27.778000000000006
-1.04e-06	0.21482679614754335	22.88501
-1.03e-06	0.21209291382485002	25.48809
-1.02e-06	0.21711025618812152	31.866500000000002
-1.01e-06	0.20978965442204967	25.3473
-1e-06	0.2152871179272735	24.91189
-9.9e-07	0.21060305472292795	29.136600000000005
-9.8e-07	0.212513637774465	26.64535
-9.7e-07	0.20753589225624114	24.53118
-9.6e-07	0.20775037900205368	18.09451
-9.499999999999999e-07	0.21056675696932137	25.26115
-9.399999999999999e-07	0.215559350692425	19.971175000000002
-9.3e-07	0.21507098124692	28.148250000000004
-9.200000000000001e-07	0.21854566737943232	26.347300000000004
-9.100000000000001e-07	0.2112448653770445	23.513635
-9.000000000000001e-07	0.20721911161376216	29.26225
-8.900000000000001e-07	0.21024667587448717	26.505585000000004
-8.8e-07	0.21444071967716377	29.379800000000003
-8.7e-07	0.21270997585954096	26.9934
-8.6e-07	0.2043680852584715	27.3647
-8.5e-07	0.21087858724614533	29.62315
-8.4e-07	0.2126456298720352	26.826900000000002
-8.3e-07	0.20710031890500777	31.310050000000004
-8.2e-07	0.2159520265059529	30.31355
-8.1e-07	0.20867927233369143	24.443860000000004
-8e-07	0.21187182716414127	29.639450000000004
-7.900000000000001e-07	0.21532011607742813	29.17495
-7.8e-07	0.21341778265456615	20.413525000000003
-7.7e-07	0.21203846654317693	26.2297
-7.6e-07	0.20886736042507675	26.97585
-7.5e-07	0.21063935241971304	29.11215
-7.4e-07	0.20745834681267541	25.952600000000004
-7.3e-07	0.20955701888045594	27.353100000000005
-7.2e-07	0.21493238981955753	20.935050000000004
-7.1e-07	0.21159464417511445	21.07013
-7e-07	0.215732590696237	23.77915
-6.9e-07	0.21132736002764013	27.503240000000005
-6.8e-07	0.21756067863578818	26.689555
-6.699999999999999e-07	0.20839713952901984	26.47305
-6.6e-07	0.20971705907059693	30.4789
-6.5e-07	0.21198401970739045	24.9247
-6.4e-07	0.2108142420856733	27.4066
-6.3e-07	0.20993319583445022	19.673125000000002
-6.2e-07	0.21013943319879855	27.95736
-6.1e-07	0.21785765970660803	16.89195
-6e-07	0.2119609214668579	26.524250000000002
-5.9e-07	0.20651955385093773	29.53125
-5.8e-07	0.21131911103978263	27.7885
-5.699999999999999e-07	0.20792856804959717	27.832700000000003
-5.599999999999999e-07	0.21190317489851843	27.539285
-5.499999999999999e-07	0.2116226924890972	30.55565
-5.4e-07	0.2108274408928354	29.6616
-5.3e-07	0.20631166709996593	26.60225
-5.2e-07	0.20940357765864506	26.0795
-5.1e-07	0.2131455482647823	27.7559
-5e-07	0.20700132503120267	29.144710000000003
-4.9e-07	0.21135705829272222	28.58245
-4.8e-07	0.21398864734005596	27.885100000000005
-4.6999999999999995e-07	0.20814470489927353	28.79195
-4.6e-07	0.20674064051784236	24.056235
-4.5e-07	0.21598337482719668	24.914209999999997
-4.3999999999999997e-07	0.21512212783331794	26.755845
-4.2999999999999996e-07	0.20880136505184338	20.446125
-4.1999999999999995e-07	0.21236844666783808	26.691850000000002
-4.0999999999999994e-07	0.210096534813996	29.4777
-3.9999999999999993e-07	0.2048614054330908	21.491600000000002
-3.899999999999999e-07	0.2013685679060217	26.178450000000005
