Initial Temperature (K)	0.0200743
Excitation Current (A)	5e-08
Axis 1,2	x,y
Angle	0
Field (T)	        Current (A)	        Resistance (Ohms)	            Actual X-Field	                Actual Y-Field	                    Actual Z-Field	                        Lock-In Overload Pass	                            Average Phase
-0.005	                -1.03e-06	                    3.11675	                        -0.005	                            0.0	                                -0.0	                                    True	                                        -10.023
-0.005	                -1.02e-06	                    3.1377	                        -0.005	                            0.0	                                0.0	                                    True	                                        -9.276
-0.005	                -1.01e-06	                    3.11383	                        -0.005	                            0.0	                                0.0	                                    True	                                        -9.216
-0.005	                -1e-06	                    3.09492	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -9.522
-0.005	                -9.9e-07	                    3.1086	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -10.677
-0.005	                -9.8e-07	                    3.09842	                        -0.005	                            0.0	                                0.0	                                    True	                                        -11.106
-0.005	                -9.7e-07	                    3.07804	                        -0.005	                            0.0	                                -0.0	                                    True	                                        -11.496
-0.005	                -9.6e-07	                    3.12082	                        -0.005	                            0.0	                                0.0	                                    True	                                        -11.862
-0.005	                -9.5e-07	                    3.09142	                        -0.005	                            0.0	                                -0.0	                                    True	                                        -10.026
-0.005	                -9.4e-07	                    3.17525	                        -0.005	                            0.0	                                -0.0	                                    True	                                        -9.909
-0.005	                -9.3e-07	                    3.20639	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -10.041
-0.005	                -9.2e-07	                    3.06756	                        -0.005	                            0.0	                                0.0	                                    True	                                        -9.912
-0.005	                -9.1e-07	                    3.10249	                        -0.005	                            0.0	                                0.0	                                    True	                                        -12.288
-0.005	                -9e-07	                    3.08386	                        -0.005	                            0.0	                                0.0	                                    True	                                        -12.183
-0.005	                -8.9e-07	                    3.15313	                        -0.005	                            0.0	                                0.0	                                    True	                                        -9.717
-0.005	                -8.8e-07	                    3.03031	                        -0.005	                            0.0	                                -0.0	                                    True	                                        -12.408
-0.005	                -8.7e-07	                    3.0926	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -11.688
-0.005	                -8.6e-07	                    3.10685	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -11.565
-0.005	                -8.5e-07	                    3.07076	                        -0.005	                            0.0	                                0.0	                                    True	                                        -8.352
-0.005	                -8.4e-07	                    3.05825	                        -0.005	                            -0.0	                                -0.0	                                    True	                                        -11.004
-0.005	                -8.3e-07	                    3.20668	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -8.097
-0.005	                -8.2e-07	                    3.11209	                        -0.005	                            -0.0	                                -0.0	                                    True	                                        -10.452
-0.005	                -8.1e-07	                    3.11908	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -12.15
-0.005	                -8e-07	                    3.03525	                        -0.005	                            -0.0	                                -0.0	                                    True	                                        -11.859
-0.005	                -7.9e-07	                    3.15021	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -11.1
-0.005	                -7.8e-07	                    3.12432	                        -0.005	                            0.0	                                -0.0	                                    True	                                        -11.481
-0.005	                -7.7e-07	                    3.12984	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -10.002
-0.005	                -7.6e-07	                    3.15051	                        -0.005	                            -0.0	                                -0.0	                                    True	                                        -11.04
-0.005	                -7.5e-07	                    3.07891	                        -0.005	                            0.0	                                0.0	                                    True	                                        -10.473
-0.005	                -7.4e-07	                    3.02857	                        -0.005	                            0.0	                                0.0	                                    True	                                        -10.284
-0.005	                -7.3e-07	                    3.03817	                        -0.005	                            0.0	                                0.0	                                    True	                                        -9.429
-0.005	                -7.2e-07	                    3.0533	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -10.602
-0.005	                -7.1e-07	                    3.09725	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -11.232
-0.005	                -7e-07	                    3.10336	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -10.992
-0.005	                -6.9e-07	                    3.09579	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -9.735
-0.005	                -6.8e-07	                    3.1703	                        -0.005	                            0.0	                                -0.0	                                    True	                                        -8.991
-0.005	                -6.7e-07	                    3.06466	                        -0.005	                            -0.0	                                -0.0	                                    True	                                        -8.817
-0.005	                -6.6e-07	                    2.97298	                        -0.005	                            0.0	                                -0.0	                                    True	                                        -11.232
-0.005	                -6.5e-07	                    3.04981	                        -0.005	                            0.0	                                0.0	                                    True	                                        -9.588
-0.005	                -6.4e-07	                    3.10103	                        -0.005	                            0.0	                                -0.0	                                    True	                                        -9.438
-0.005	                -6.3e-07	                    3.1153	                        -0.005	                            -0.0	                                -0.0	                                    True	                                        -10.557
-0.005	                -6.2e-07	                    3.07251	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -11.295
-0.005	                -6.1e-07	                    2.98432	                        -0.005	                            0.0	                                0.0	                                    True	                                        -12.015
-0.005	                -6e-07	                    3.07135	                        -0.005	                            -0.0	                                -0.0	                                    True	                                        -9.684
-0.005	                -5.9e-07	                    3.05214	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -9.708
-0.005	                -5.8e-07	                    3.08357	                        -0.005	                            0.0	                                0.0	                                    True	                                        -9.825
-0.005	                -5.7e-07	                    3.10161	                        -0.005	                            -0.0	                                -0.0	                                    True	                                        -9.453
-0.005	                -5.6e-07	                    3.15283	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -10.548
-0.005	                -5.5e-07	                    3.01489	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -10.731
-0.005	                -5.4e-07	                    3.07833	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -11.709
-0.005	                -5.3e-07	                    3.13887	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -10.782
-0.005	                -5.2e-07	                    3.12402	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -11.124
-0.005	                -5.1e-07	                    3.12199	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -8.871
-0.005	                -5e-07	                    3.00615	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -11.187
-0.005	                -4.9e-07	                    3.11092	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -9.936
-0.005	                -4.8e-07	                    3.09143	                        -0.005	                            -0.0	                                -0.0	                                    True	                                        -10.32
-0.005	                -4.7e-07	                    3.05942	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -10.461
-0.005	                -4.6e-07	                    3.08153	                        -0.005	                            -0.0	                                -0.0	                                    True	                                        -9.435
-0.005	                -4.5e-07	                    3.05126	                        -0.005	                            -0.0	                                -0.0	                                    True	                                        -10.944
-0.005	                -4.4e-07	                    3.14731	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -11.754
-0.005	                -4.3e-07	                    3.0565	                        -0.005	                            0.0	                                -0.0	                                    True	                                        -11.085
-0.005	                -4.2e-07	                    3.13159	                        -0.005	                            0.0	                                -0.0	                                    True	                                        -9.915
