Initial Temperature (K)	0.0200998
Excitation Current (A)	5e-08
Axis 1,2	x,y
Angle	0
Field (T)	Current (A)	        Resistance (Ohms)	            Actual X-Field	                Actual Y-Field	                    Actual Z-Field	                        Lock-In Overload Pass	                            Average Phase
-0.1	                -1.43e-06	                    3.32251	                        -0.1	                            -0.0	                                -0.0	                                    True	                                        6.462
-0.1	                -1.42e-06	                    3.31630667	                        -0.1	                            0.0	                                0.0	                                    True	                                        7.405
-0.1	                -1.41e-06	                    3.30893333	                        -0.1	                            0.0	                                0.0	                                    True	                                        5.389
-0.1	                -1.4e-06	                    3.32328667	                        -0.1	                            -0.0	                                0.0	                                    True	                                        8.135
-0.1	                -1.39e-06	                    3.36636	                        -0.1	                            0.0	                                -0.0	                                    True	                                        6.362
-0.1	                -1.38e-06	                    3.38344	                        -0.1	                            0.0	                                0.0	                                    True	                                        6.893
-0.1	                -1.37e-06	                    3.34734667	                        -0.1	                            -0.0	                                0.0	                                    True	                                        6.793
-0.1	                -1.36e-06	                    3.32872	                        -0.1	                            0.0	                                0.0	                                    True	                                        6.384
-0.1	                -1.35e-06	                    3.38072	                        -0.1	                            -0.0	                                0.0	                                    True	                                        5.987
-0.1	                -1.34e-06	                    3.38537333	                        -0.1	                            -0.0	                                0.0	                                    True	                                        6.51
-0.1	                -1.33e-06	                    3.37062667	                        -0.1	                            0.0	                                -0.0	                                    True	                                        7.235
-0.1	                -1.32e-06	                    3.26236333	                        -0.1	                            -0.0	                                0.0	                                    True	                                        6.837
-0.1	                -1.31e-06	                    3.32212	                        -0.1	                            0.0	                                -0.0	                                    True	                                        7.911
-0.1	                -1.3e-06	                    3.35084	                        -0.1	                            -0.0	                                -0.0	                                    True	                                        6.58
-0.1	                -1.29e-06	                    3.36364333	                        -0.1	                            0.0	                                0.0	                                    True	                                        5.501
-0.1	                -1.28e-06	                    3.31009	                        -0.1	                            -0.0	                                0.0	                                    True	                                        7.754
-0.1	                -1.27e-06	                    3.29496333	                        -0.1	                            0.0	                                -0.0	                                    True	                                        6.322
-0.1	                -1.26e-06	                    3.36325667	                        -0.1	                            -0.0	                                -0.0	                                    True	                                        7.014
-0.1	                -1.25e-06	                    3.33803667	                        -0.1	                            0.0	                                0.0	                                    True	                                        5.719
-0.1	                -1.24e-06	                    3.36519667	                        -0.1	                            0.0	                                0.0	                                    True	                                        5.887
-0.1	                -1.23e-06	                    3.27129	                        -0.1	                            -0.0	                                0.0	                                    True	                                        7.239
-0.1	                -1.22e-06	                    3.31125667	                        -0.1	                            -0.0	                                0.0	                                    True	                                        7.032
-0.1	                -1.21e-06	                    3.36287	                        -0.1	                            0.0	                                0.0	                                    True	                                        7.657
-0.1	                -1.2e-06	                    3.42651	                        -0.1	                            0.0	                                0.0	                                    True	                                        7.577
-0.1	                -1.19e-06	                    3.35472	                        -0.1	                            0.0	                                -0.0	                                    True	                                        7.522
-0.1	                -1.18e-06	                    3.3066	                        -0.1	                            -0.0	                                0.0	                                    True	                                        7.37
