Started: March 16, 2024 12:01:38
Resistor	1000000.0	Excitation Current (A)	1.299e-09
Restsitance (Ohms)	Channel 5 Temp (K)	Channel 8 Temp (K)	Channel 13 Temp (K)
293.49078778566667	159.254	161.811	177.286
292.3570567103333	159.066	161.174	177.104
293.55804464899995	158.873	161.145	177.019
291.59833205083345	158.681	161.001	176.827
292.3212599429999	158.495	160.509	176.646
290.481088016	158.303	160.567	176.465
292.0300102643334	158.115	160.48	176.288
290.93215293866655	157.931	160.19	176.105
291.38329484233344	157.745	159.814	175.928
290.60205286133333	157.56	160.017	175.743
292.93954323816655	157.375	159.698	175.559
291.36232999766673	157.188	159.293	175.373
290.19575314366665	157.007	158.946	175.189
289.7074159608334	156.826	158.917	175.019
292.5946240696668	156.645	158.778	174.843
291.6042853476667	156.464	158.401	174.668
291.93442391566674	156.282	158.074	174.494
290.4556581989999	156.101	158.049	174.317
292.327251732	155.921	157.974	174.148
291.844765204	155.738	157.697	173.969
291.02627662266667	155.559	157.697	173.8
291.10096227849994	155.378	157.547	173.622
289.23683602766675	155.195	157.195	173.446
290.8380549141667	155.012	157.019	173.269
290.41982294099995	154.83	156.592	173.095
291.7088914551667	154.65	156.818	172.92
292.3630741596665	154.469	156.516	172.754
290.7529509881667	154.288	156.215	172.577
290.68421862983337	154.105	156.215	172.404
291.04567616133335	153.925	155.989	172.221
290.1988324350001	153.739	155.511	172.048
291.15918655400003	153.56	155.511	171.877
292.5632281246666	153.384	155.436	171.701
291.57444187883334	153.209	155.285	171.527
289.6491403643332	153.031	155.26	171.353
289.0980241211667	152.858	154.657	171.188
288.81419040266667	152.683	154.657	171.014
290.38095971283326	152.509	154.306	170.837
290.4840903258334	152.417	154.23	170.66
290.9411342056665	152.243	153.879	170.483
291.03527072150007	152.069	153.452	170.319
291.5669745961668	151.893	153.502	170.144
290.43477033600004	151.72	153.251	169.974
291.347421093	151.546	153.251	169.806
289.9687708491666	151.373	153.226	169.639
289.6953810629999	151.197	152.874	169.468
288.76488324366676	151.025	152.723	169.302
290.13302540449996	150.85	152.322	169.134
289.3981909165	150.677	152.297	168.97
289.79697202933335	150.502	152.096	168.797
291.46390813516666	150.33	151.895	168.637
292.74695919916667	150.157	151.895	168.468
287.90306646116665	149.984	151.594	168.301
290.1196048245	149.84	151.267	168.134
290.8708750316667	149.738	151.217	167.967
289.3414421346667	149.592	150.991	167.804
289.03226841083335	149.425	150.991	167.629
291.54012060583324	149.259	150.514	167.463
288.53335899366664	149.094	150.414	167.3
290.81416474233333	148.928	150.464	167.132
288.9186682068334	148.768	150.088	166.969
288.5587374903334	148.605	149.844	166.8
287.98216576833323	148.443	149.668	166.633
290.0389658706667	148.28	149.493	166.465
290.78723376966667	148.119	149.646	166.303
289.5953554018334	147.958	148.857	166.131
288.05835257866664	147.797	148.77	165.976
289.76712856066666	147.635	148.77	165.803
288.8724018478333	147.473	148.726	165.641
289.88808057466673	147.311	148.353	165.475
290.4273030536666	147.15	148.332	165.307
287.69840903266675	146.989	148.112	165.142
291.1098922253334	146.829	147.981	164.977
287.88214010766666	146.666	147.893	164.813
288.5736977158333	146.505	147.499	164.655
289.2861560173334	146.345	147.477	164.49
289.1666794963333	146.184	147.433	164.329
290.636412625	146.024	147.236	164.174
288.6588144728332	145.863	146.929	164.008
288.2047087501666	145.702	146.951	163.847
286.69168591216663	145.542	146.623	163.691
285.9612650755	145.381	146.667	163.527
288.69167308149997	145.221	146.426	163.368
288.91126507516657	145.06	146.119	163.206
290.8365922505	144.901	146.031	163.047
289.2652424943334	144.741	145.747	162.89
289.2906338215	144.58	145.506	162.725
290.91870669783344	144.422	145.484	162.569
288.8335899411667	144.266	145.309	162.409
287.3727482678334	144.108	145.221	162.251
288.0075442646667	143.955	144.871	162.093
287.777610983	143.799	144.761	161.935
287.5101488321667	143.646	144.652	161.769
286.98138311499986	143.489	144.542	161.616
287.93888888899994	143.333	144.323	161.454
287.490749295	143.178	144.236	161.297
287.0098537336668	143.023	144.083	161.138
287.00833974849996	142.868	143.623	160.979
288.2450474728333	142.712	143.513	160.819
287.63120348966663	142.554	143.338	160.659
290.0240569673334	142.399	143.229	160.497
288.80075699249994	142.244	142.966	160.349
287.5684757505	142.089	142.791	160.19
289.08601488316674	141.934	142.66	160.039
288.3630869895001	141.78	142.441	159.881
287.67297921466655	141.627	142.572	159.727
285.2234282779999	141.47	142.157	159.57
286.9455735178334	141.317	142.069	159.424
288.5154221189999	141.162	141.785	159.267
287.4788426995	141.007	141.522	159.114
286.74692070849994	140.854	141.266	158.96
285.7387477543334	140.695	141.285	158.801
286.58856812899995	140.541	140.997	158.653
287.89999999966676	140.388	140.959	158.497
286.20331023833336	140.232	140.863	158.345
287.8164357196667	140.078	140.882	158.194
287.3667949701666	139.927	140.498	158.037
286.224185271	139.803	140.364	157.888
286.5064921730001	139.72	140.441	157.737
287.9224403388333	139.591	140.306	157.583
286.9695021806667	139.448	140.095	157.428
288.0240056453334	139.296	139.808	157.271
286.3183089548333	139.149	139.769	157.122
286.77977931749996	139.001	139.654	156.967
288.258506543	138.853	139.462	156.814
287.2622915066667	138.707	139.251	156.664
286.5691814211666	138.556	138.982	156.508
288.433256351	138.409	138.791	156.358
288.5080061583333	138.262	138.771	156.198
288.3227610978334	138.115	138.56	156.055
285.5042083645	137.968	138.426	155.903
287.5445470876666	137.822	138.253	155.758
284.5871696168333	137.675	138.177	155.608
287.15467025850006	137.53	138.119	155.463
287.2503207595	137.382	137.812	155.314
286.65282268416667	137.236	137.793	155.169
286.2555683861666	137.091	137.563	155.017
287.66258660499994	136.944	137.275	154.877
287.77755966183344	136.797	137.467	154.724
288.2301898900001	136.654	137.103	154.578
286.1629201951666	136.505	137.045	154.431
286.5767128563333	136.359	136.719	154.285
286.3556325383334	136.215	136.489	154.142
285.93146009716673	136.068	136.604	153.995
284.97100333583325	135.919	136.24	153.841
286.8126379273333	135.774	136.125	153.697
287.6655889143334	135.628	135.856	153.552
286.7484218633333	135.483	135.856	153.402
284.2181934809999	135.342	135.645	153.255
286.9187451881667	135.201	135.339	153.11
286.20177059299994	135.059	135.473	152.961
286.59010777516664	134.917	135.128	152.818
284.36007185033327	134.767	134.898	152.744
285.51768026716667	134.626	134.591	152.588
287.6102514756666	134.486	134.591	152.449
286.9829484223333	134.341	134.514	152.296
285.04715165450006	134.202	134.419	152.156
285.35937900883346	134.063	134.265	152.016
287.345907108	133.923	134.093	151.864
285.67005388766665	133.782	133.978	151.721
284.3944444445	133.643	133.652	151.574
282.8724403386667	133.502	133.575	151.431
285.7761098278333	133.362	133.575	151.299
284.3391454958334	133.222	133.181	151.152
285.15619707466675	133.082	133.215	151.014
283.5773672051667	132.942	133.012	150.876
283.51911726933326	132.803	132.793	150.736
283.82684115966674	132.663	132.675	150.595
283.3025789061667	132.524	132.607	150.454
282.7469591998334	132.384	132.54	150.314
