Started: March 19, 2024 18:27:39
Initial Temperature (K)	0.0201866
Resistor	1000000.0	Excitation Current (A)	5e-08
Current (A)	Measured Voltage (V)	Resistance (Ohms)
-1.5e-06	-0.004404432157485481	-2.5105135
-1.49e-06	-0.0022447144261519896	-3.33066
-1.48e-06	-0.0006014150307807309	-3.3539449999999995
-1.47e-06	0.002482245994594305	-3.368495
-1.46e-06	-0.00535477419011803	-3.388865
-1.4499999999999999e-06	0.0017562903463561141	2.8254115
-1.44e-06	0.0014609583666069788	3.46803
-1.4299999999999999e-06	-0.0012448756203366582	3.1601100000000004
-1.42e-06	-0.0021506702463976535	3.606565
-1.4099999999999998e-06	0.0005073171437923487	2.8521900000000002
-1.4e-06	0.0017529906846872462	3.617045
-1.3899999999999998e-06	0.002203413137336762	3.44649
-1.38e-06	-0.003473889219355235	3.2747800000000007
-1.37e-06	-0.0028155794999310513	3.5757150000000006
-1.36e-06	-0.004076102312800766	3.32892
-1.35e-06	-0.002784231349808772	4.20204
-1.34e-06	-0.0011392820794514287	3.7445150000000003
-1.33e-06	0.002935968116333454	3.625775
-1.32e-06	-0.002464150864042709	3.34987
-1.31e-06	0.0020417229586865413	3.4750150000000004
-1.3e-06	0.0009428902886044709	3.64906
-1.29e-06	-0.0022678129234924866	3.8696650000000004
-1.28e-06	-0.0018371893945047634	3.508195
-1.2700000000000001e-06	-0.0025829437260369817	3.44649
-1.26e-06	-0.0025796438962244006	3.9022550000000003
-1.25e-06	-0.001668899626893876	3.690385
-1.24e-06	-0.0003605298206342644	3.874905
-1.23e-06	-0.0008027026399637297	3.814945
-1.22e-06	-0.0036174305917641247	3.588520000000001
-1.21e-06	-0.000421576059412925	3.50063
-1.2e-06	0.002119268292416374	3.78235
-1.19e-06	0.002386551763827174	3.7445150000000003
-1.18e-06	-0.005264029633861113	3.724145
-1.17e-06	-0.0033633458682265443	-1.0535700000000001
-1.16e-06	-0.004198194840636865	3.790935
-1.15e-06	-0.004411031819400342	3.921175
-1.14e-06	-0.0013636682512650935	3.9735600000000004
-1.13e-06	0.0003423272566783738	3.9588650000000003
-1.12e-06	0.0016127493352833151	4.01664
-1.11e-06	-8.519119216066507e-07	4.27974
-1.1e-06	-0.0016969480346310985	4.179915
-1.09e-06	0.0027099320290986675	4.0629100000000005
-1.08e-06	-0.0013158213000606512	4.3426
-1.0700000000000001e-06	-0.0025581952245597216	4.3896049999999995
-1.06e-06	-0.0036718770257256946	4.617345
-1.0500000000000001e-06	-0.0006129643528723635	4.004560000000001
-1.04e-06	0.002079670719810611	3.982
-1.03e-06	-0.0010947349787240157	4.578355
-1.02e-06	0.0018734333542394781	4.6337850000000005
-1.01e-06	0.001157377158209428	4.350315
-1e-06	9.154254533623321e-05	4.61676
-9.9e-07	-0.002074774941077899	4.48972
-9.8e-07	-0.0032808508965456425	4.658530000000001
-9.7e-07	0.00261093803166204	4.58125
-9.6e-07	-0.0003671295079870515	4.981450000000001
-9.499999999999999e-07	0.0016572965710963164	4.43079
-9.399999999999999e-07	-0.0018503885877324212	4.948995
-9.3e-07	-0.003929261363390797	5.048240000000001
-9.200000000000001e-07	-0.0017579942958747409	5.234360000000001
-9.100000000000001e-07	-0.0025301468258684184	5.034275
-9.000000000000001e-07	-0.00041992605353136135	5.097430000000001
-8.900000000000001e-07	-0.0037840701331809815	4.861095000000001
-8.8e-07	-0.002101173222250646	5.025100000000001
-8.7e-07	0.0004050232628740948	5.25488
-8.6e-07	0.001040234410662643	5.27889
-8.5e-07	-0.0015864048368179294	5.3758
-8.4e-07	-0.0058117961665351825	5.35252
-8.3e-07	0.0047706555251015356	5.185325000000001
-8.2e-07	0.0016539967961973839	5.66873
-8.1e-07	-0.0011062841399951066	5.497025000000001
-8e-07	-0.001637551614502009	5.18619
-7.900000000000001e-07	-0.003958959411551594	5.3858500000000005
-7.8e-07	0.001152427577747664	5.31411
-7.7e-07	-0.002153969940541396	5.400690000000001
-7.6e-07	-0.0019625815769751523	5.4778199999999995
-7.5e-07	0.001069932588234631	5.455115
-7.4e-07	-0.0016474509311898086	5.273655
-7.3e-07	0.0010402344076695055	5.464570000000001
-7.2e-07	0.004184941505608927	5.462829999999999
-7.1e-07	-0.0003522802721300803	5.229265
-7e-07	0.0031735535128780395	5.17877
-6.9e-07	-0.003298999787722643	5.431685
-6.8e-07	0.0023931514038103455	5.445365
-6.699999999999999e-07	-0.000987491399870903	5.259825
-6.6e-07	0.0017727894791895954	4.75792
-6.5e-07	0.0015797513953142743	5.26812
-6.4e-07	0.00044462091645816756	5.135265
-6.3e-07	-0.0029591206276728746	4.961515
-6.2e-07	0.0009395906051174447	5.210635
-6.1e-07	0.0013388659795815277	4.925560000000001
-6e-07	0.0001674378771625738	4.912180000000001
-5.9e-07	-0.0025449959258564536	4.798525000000001
-5.8e-07	-0.0038451164518226604	4.686025000000001
-5.699999999999999e-07	-7.839725056273637e-05	4.621565
-5.599999999999999e-07	-0.003272601497933996	4.163905
-5.499999999999999e-07	-0.004463828775019505	4.10526
-5.4e-07	-0.00142966430419111	3.913465
-5.3e-07	-0.00121187757216446	3.5681450000000003
-5.2e-07	-0.0016375515620879035	3.4478050000000007
-5.1e-07	-0.00237175678694788	3.4498450000000003
-5e-07	-0.0003225820164496284	2.82993
-4.9e-07	-0.001852038348688066	2.4766025000000003
-4.8e-07	-0.0021160222255395085	2.7495990000000003
-4.6999999999999995e-07	-0.00247570022166781	1.5541525000000003
-4.6e-07	-0.0028304285641058444	1.7570070000000002
-4.5e-07	-0.0031818570005349234	1.3149185
-4.3999999999999997e-07	-0.0010039904186982022	1.2267325
-4.2999999999999996e-07	-0.003800569111100616	0.7844990000000001
-4.1999999999999995e-07	-0.0018586379300216894	1.0298450000000001
-4.0999999999999994e-07	-0.003190106493000921	0.4784695
-3.9999999999999993e-07	-0.003891313548962645	0.44558200000000003
-3.899999999999999e-07	-0.004873003563859239	0.014843450000000008
-3.799999999999999e-07	-0.0010897850546749167	0.35303070000000003
-3.699999999999999e-07	-0.0013125217540286434	0.013096749999999999
-3.599999999999999e-07	-0.001642501221048625	0.172732395
-3.499999999999999e-07	-0.0021457205012960965	0.13125900000000001
-3.400000000000001e-07	0.0033682416478510533	0.0552976
-3.3000000000000007e-07	-0.006692842434866527	-0.057917
-3.2000000000000006e-07	-0.003531635711085618	-0.18175475
-3.1000000000000005e-07	-0.0008521999223335402	0.13853495000000002
-3.0000000000000004e-07	-0.003922661783535465	0.32596500000000006
-2.9000000000000003e-07	-0.005249180712438543	-0.160072
-2.8e-07	0.0030151632483617534	0.02546595
-2.7e-07	-0.0008225016505953732	0.14129995
-2.6e-07	-0.00540097129388765	0.06912215000000001
-2.5e-07	-0.002942621736835756	-0.4289933
-2.4e-07	0.0005799126554183582	-0.06359240000000001
-2.3e-07	-0.004346685788423776	-0.1231101
-2.1999999999999998e-07	-0.003935860823272499	0.08076365
-2.0999999999999997e-07	0.002663734841282399	0.006839350000000008
-1.9999999999999996e-07	-0.00020543927335267044	0.13737100000000002
-1.8999999999999995e-07	-0.0026076922240871473	-0.048167159999999994
-1.7999999999999994e-07	0.0015847010398445604	0.0090223
-1.6999999999999993e-07	-0.001984030293123832	-0.03885387999999999
-1.5999999999999992e-07	-0.004265840655235824	-0.1139422
-1.4999999999999991e-07	-0.0010732861799906683	-0.04452911000000001
-1.399999999999999e-07	-0.0029211732262218928	0.18466475000000002
-1.299999999999999e-07	-0.005061092044548262	0.032014434999999994
-1.1999999999999988e-07	-0.003731273377955626	0.060390700000000005
-1.0999999999999987e-07	-0.003640529018219869	0.09138645000000001
-9.999999999999986e-08	-0.00014934271589348643	0.17171325000000004
-9.000000000000008e-08	-7.01475598614402e-05	0.0122237
-8.000000000000007e-08	0.002869972214557281	0.0970618
-7.000000000000006e-08	-0.0021655192913522915	-0.16531069000000004
-6.000000000000005e-08	-0.000538718955257558	0.06664825
-5.0000000000000044e-08	-0.0025548953926973626	0.0593723
-4.0000000000000034e-08	0.0008240977086298244	-0.033760830000000006
-3.0000000000000024e-08	0.00021528488494639301	-0.08774840000000002
-2.0000000000000017e-08	-0.004952198707444899	0.13795295000000002
-1.0000000000000008e-08	-0.005202983361814373	0.31999845
0.0	-0.0033649959470176483	-0.47061210000000003
1.0000000000000008e-08	-0.002937671970325866	-0.11568865
2.0000000000000017e-08	-0.0018124408692925314	0.06271916999999999
3.0000000000000024e-08	-0.0010402881702923248	0.03099605000000001
4.0000000000000034e-08	-0.0005684171064356939	0.16938495000000003
