Started: March 07, 2024 17:22:43
Initial Temperature (K)	0.017749
Resistor	1007820.0	Excitation Current (A)	9.922e-08
Current (A)	Measured Current (A)	Resistance (Ohms)
-1.4e-06	1.277217e-06	403145.35103668616
-1.3066666666666667e-06	1.1876504e-06	1.6794194718806694
-1.213333333333333e-06	1.1042486e-06	1.6644003225156219
-1.1199999999999999e-06	1.0213098e-06	1.7880084660350737
-1.0266666666666664e-06	1.15788794e-06	1.7541584357992341
-9.333333333333332e-07	8.440841800000001e-07	1.8941342471275953
-8.4e-07	8.901358800000001e-07	2.047837129610966
-7.466666666666667e-07	6.8176934e-07	3.424486998588994
-6.533333333333334e-07	5.9851224e-07	2.7456115299334813
-5.599999999999999e-07	5.140449e-07	0.03420189477927837
-4.666666666666666e-07	4.2977761999999997e-07	0.09069723845998792
-3.733333333333334e-07	3.4877332000000004e-07	0.037193912517637574
-2.800000000000001e-07	2.5986014e-07	-0.03273538399516227
-1.866666666666667e-07	1.7598226e-07	-0.04816444668413626
-9.333333333333345e-08	9.511171e-08	0.012319741987502516
0.0	6.2924720800000005e-09	-0.05995613787542834
9.333333333333324e-08	-7.589608800000001e-08	0.009738484176577304
1.8666666666666649e-07	-1.611932e-07	-0.021412920782100383
2.799999999999999e-07	-2.4192528000000003e-07	-0.02604750050393066
3.733333333333332e-07	-3.2925118e-07	-0.07192414029429552
4.666666666666666e-07	-4.1316152000000004e-07	0.004575912114493045
5.599999999999998e-07	-5.011202600000001e-07	-0.05356158032654708
6.533333333333331e-07	-5.82372e-07	-0.029743418665591614
7.466666666666664e-07	-6.6674374e-07	-0.03625537190082645
8.399999999999996e-07	-7.5070728e-07	0.05737499496069341
9.333333333333332e-07	-9.313715600000001e-07	1.014972001612578
1.0266666666666664e-06	-1.0858061199999998e-06	1.7901209433581937
1.1199999999999997e-06	-1.0069455999999999e-06	1.8344124168514413
1.2133333333333329e-06	-1.0870422e-06	1.839518242289861
1.3066666666666663e-06	-1.1738561999999998e-06	1.7680628905462608
1.4e-06	-1.259614e-06	1.7201935093731102
