Started: March 08, 2024 13:20:42
Initial Temperature (K)	0.0203004
Resistor	1000000.0	Excitation Current (A)	2.5e-08
Current (A)	Measured Current (A)	Resistance (Ohms)
-1.0500000000000001e-06	4.644851290000001e-11	3.8928896
-1.044e-06	3.552060243e-11	4.0428348
-1.038e-06	5.3276080900000005e-11	4.0542132
-1.032e-06	4.692232419999999e-11	4.2768239999999995
-1.026e-06	6.226448199999999e-11	4.225688
-1.02e-06	4.699343615199999e-11	4.355641199999999
-1.014e-06	3.92239878e-11	4.1279636
-1.008e-06	7.196373599999999e-11	4.432188
-1.002e-06	4.14409215e-11	4.350572
-9.96e-07	5.98008601e-11	4.328869599999999
-9.9e-07	5.016763976e-11	4.43424
-9.84e-07	5.8550999e-11	4.2675716
-9.78e-07	4.678142692000001e-11	4.600175999999999
-9.72e-07	6.4712959e-11	4.609192000000001
-9.66e-07	5.2188182999999994e-11	4.630212
-9.6e-07	5.579034999999999e-11	4.78612
-9.539999999999999e-07	4.5376554e-11	4.828064
-9.48e-07	8.866153e-11	4.8350480000000005
-9.419999999999999e-07	5.157839300000001e-11	4.955396
-9.359999999999999e-07	5.0515249e-11	5.026616000000001
-9.3e-07	3.3374034e-11	5.281568000000001
-9.24e-07	4.44289269e-11	5.21096
-9.18e-07	5.90100348e-11	5.362676
-9.12e-07	5.277734200000001e-11	5.372460000000001
-9.06e-07	6.2223923e-11	5.496648
-9.000000000000001e-07	2.6829306e-11	5.600568000000001
-8.94e-07	3.90525341e-11	5.55156
-8.88e-07	2.007813955e-11	5.818384
-8.82e-07	5.096353259999999e-11	5.8441719999999995
-8.76e-07	4.37031183e-11	6.025924000000001
-8.7e-07	5.819362979999999e-11	6.129912
-8.64e-07	3.5692191e-11	6.157331999999999
-8.58e-07	5.9579012e-11	6.185272
-8.52e-07	4.060422939999999e-11	6.327444000000001
-8.459999999999999e-07	3.828695398999999e-11	6.392576000000001
-8.4e-07	5.888435070000001e-11	6.685564000000001
-8.34e-07	5.38408492e-11	6.848228000000001
-8.28e-07	7.84083828e-11	6.934084
-8.219999999999999e-07	4.6600299000000004e-11	7.039788
-8.159999999999999e-07	3.20539879e-11	6.910888000000002
-8.1e-07	5.0812498e-11	7.226516000000001
-8.039999999999999e-07	6.411846600000001e-11	7.403908000000001
-7.979999999999999e-07	2.22192746e-11	7.379284
-7.92e-07	3.303675e-11	7.588512
-7.860000000000001e-07	6.5670491e-11	7.66246
-7.8e-07	4.7340755899999995e-11	7.725536000000001
