Started: March 08, 2024 00:13:56
Initial Temperature (K)	0.0200461
Resistor	1000000.0	Excitation Current (A)	1e-07
Current (A)	Measured Current (A)	Resistance (Ohms)
-1.5e-06	-1.3490865999999998e-06	2.841946
-1.494e-06	-1.3394402e-06	3.299344
-1.488e-06	-1.3383762e-06	3.269892
-1.482e-06	-1.3297204000000003e-06	3.2688420000000002
-1.476e-06	-1.3284588000000001e-06	3.3024880000000003
-1.47e-06	-1.3220566000000001e-06	3.283746
-1.4639999999999999e-06	-1.3178444e-06	3.2753660000000004
-1.458e-06	-1.3095554e-06	3.254874
-1.452e-06	-1.3040073999999999e-06	3.2973640000000004
-1.446e-06	-1.3037355999999999e-06	3.294572
-1.44e-06	-1.2979794000000001e-06	3.311918
-1.434e-06	-1.2920438e-06	3.27455
-1.428e-06	-1.283502e-06	3.327982
-1.422e-06	-1.2767096e-06	3.3030680000000006
-1.4159999999999999e-06	-1.273565e-06	3.324376
-1.4099999999999998e-06	-1.2699194e-06	3.337066
-1.4039999999999998e-06	-1.2647688e-06	3.316344
-1.398e-06	-1.2584138000000002e-06	3.2828139999999997
-1.392e-06	-1.2511784e-06	3.310286
-1.386e-06	-1.2448874e-06	3.3173900000000005
-1.38e-06	-1.2418860000000002e-06	3.31832
-1.374e-06	-1.237079e-06	3.31378
-1.3679999999999999e-06	-1.2345775999999996e-06	3.3560380000000003
-1.362e-06	-1.2265747999999999e-06	3.3496360000000003
-1.3559999999999998e-06	-1.2199620000000002e-06	3.3334559999999995
-1.35e-06	-1.2146182000000001e-06	3.3577820000000003
-1.3440000000000002e-06	-1.208657e-06	3.3737320000000004
-1.3380000000000001e-06	-1.1996704e-06	3.3524320000000003
-1.3320000000000001e-06	-1.2023742e-06	3.3604620000000005
-1.326e-06	-1.1958638000000002e-06	3.356738
-1.32e-06	-1.1888293999999999e-06	3.3817639999999995
-1.314e-06	-1.1815242e-06	3.4002759999999994
-1.308e-06	-1.1804098000000001e-06	3.4093560000000003
-1.302e-06	-1.1716871999999999e-06	3.4300780000000004
-1.296e-06	-1.1662348e-06	3.402024
-1.29e-06	-1.1584148000000001e-06	3.3667500000000006
-1.2840000000000001e-06	-1.1552752e-06	3.4126180000000006
-1.278e-06	-1.150707e-06	3.4310120000000004
