Initial Temperature (K)	0.0200269
Excitation Current (A)	5e-08
Axis 1,2	x,y
Angle	0
Field (T)	Current (A)	        Resistance (Ohms)	            Actual X-Field	                Actual Y-Field	                    Actual Z-Field	                        Lock-In Overload Pass	                            Average Phase
-0.1	                -2e-06	                    3.34307667	                        -0.1	                            -0.0	                                0.0	                                    True	                                        6.458
-0.1	                -1.99e-06	                    3.3423	                        -0.1	                            -0.0	                                -0.0	                                    True	                                        8.011
-0.1	                -1.98e-06	                    3.37644667	                        -0.1	                            0.0	                                0.0	                                    True	                                        8.513
-0.1	                -1.97e-06	                    3.38964	                        -0.1	                            -0.0	                                -0.0	                                    True	                                        7.402
-0.1	                -1.96e-06	                    3.37024	                        -0.1	                            -0.0	                                -0.0	                                    True	                                        6.565
-0.1	                -1.95e-06	                    3.30272	                        -0.1	                            -0.0	                                0.0	                                    True	                                        6.676
-0.1	                -1.94e-06	                    3.31786	                        -0.1	                            0.0	                                0.0	                                    True	                                        7.345
-0.1	                -1.93e-06	                    3.35200333	                        -0.1	                            -0.0	                                -0.0	                                    True	                                        6.824
-0.1	                -1.92e-06	                    3.29302	                        -0.1	                            -0.0	                                0.0	                                    True	                                        7.189
-0.1	                -1.91e-06	                    3.36093	                        -0.1	                            0.0	                                0.0	                                    True	                                        7.377
-0.1	                -1.9e-06	                    3.26779667	                        -0.1	                            0.0	                                0.0	                                    True	                                        7.885
-0.1	                -1.89e-06	                    3.29224667	                        -0.1	                            0.0	                                0.0	                                    True	                                        6.489
-0.1	                -1.88e-06	                    3.27207	                        -0.1	                            0.0	                                0.0	                                    True	                                        6.977
-0.1	                -1.87e-06	                    3.25809667	                        -0.1	                            0.0	                                -0.0	                                    True	                                        7.792
-0.1	                -1.86e-06	                    3.28254333	                        -0.1	                            -0.0	                                0.0	                                    True	                                        7.041
-0.1	                -1.85e-06	                    3.33454667	                        -0.1	                            0.0	                                0.0	                                    True	                                        7.265
-0.1	                -1.84e-06	                    3.35549667	                        -0.1	                            -0.0	                                0.0	                                    True	                                        5.65
-0.1	                -1.83e-06	                    3.35511	                        -0.1	                            0.0	                                -0.0	                                    True	                                        6.828
-0.1	                -1.82e-06	                    3.24179667	                        -0.1	                            -0.0	                                -0.0	                                    True	                                        7.882
-0.1	                -1.81e-06	                    3.32406333	                        -0.1	                            -0.0	                                -0.0	                                    True	                                        7.698
-0.1	                -1.8e-06	                    3.29961667	                        -0.1	                            0.0	                                0.0	                                    True	                                        6.526
-0.1	                -1.79e-06	                    3.35239667	                        -0.1	                            0.0	                                0.0	                                    True	                                        6.8
-0.1	                -1.78e-06	                    3.33492333	                        -0.1	                            -0.0	                                0.0	                                    True	                                        7.355
-0.1	                -1.77e-06	                    3.33687	                        -0.1	                            -0.0	                                -0.0	                                    True	                                        7.265
-0.1	                -1.76e-06	                    3.29224333	                        -0.1	                            -0.0	                                0.0	                                    True	                                        7.648
-0.1	                -1.75e-06	                    3.33842333	                        -0.1	                            0.0	                                0.0	                                    True	                                        6.899
-0.1	                -1.74e-06	                    3.33143667	                        -0.1	                            0.0	                                0.0	                                    True	                                        7.153
-0.1	                -1.73e-06	                    3.32794667	                        -0.1	                            -0.0	                                0.0	                                    True	                                        6.818
-0.1	                -1.72e-06	                    3.36830667	                        -0.1	                            0.0	                                0.0	                                    True	                                        6.809
-0.1	                -1.71e-06	                    3.35821333	                        -0.1	                            -0.0	                                -0.0	                                    True	                                        7.734
-0.1	                -1.7e-06	                    3.33454333	                        -0.1	                            0.0	                                0.0	                                    True	                                        7.845
-0.1	                -1.69e-06	                    3.33881	                        -0.1	                            -0.0	                                0.0	                                    True	                                        7.377
-0.1	                -1.68e-06	                    3.32445333	                        -0.1	                            0.0	                                0.0	                                    True	                                        6.909
-0.1	                -1.67e-06	                    3.29147333	                        -0.1	                            0.0	                                -0.0	                                    True	                                        6.643
-0.1	                -1.66e-06	                    3.32872333	                        -0.1	                            0.0	                                -0.0	                                    True	                                        6.569
-0.1	                -1.65e-06	                    3.32639	                        -0.1	                            -0.0	                                -0.0	                                    True	                                        6.762
-0.1	                -1.64e-06	                    3.33648333	                        -0.1	                            -0.0	                                0.0	                                    True	                                        6.725
-0.1	                -1.63e-06	                    3.34502	                        -0.1	                            -0.0	                                0.0	                                    True	                                        7.418
-0.1	                -1.62e-06	                    3.34346333	                        -0.1	                            0.0	                                0.0	                                    True	                                        7.221
-0.1	                -1.61e-06	                    3.25228	                        -0.1	                            0.0	                                -0.0	                                    True	                                        7.511
-0.1	                -1.6e-06	                    3.3392	                        -0.1	                            0.0	                                0.0	                                    True	                                        7.869
-0.1	                -1.59e-06	                    3.37412667	                        -0.1	                            0.0	                                0.0	                                    True	                                        6.366
-0.1	                -1.58e-06	                    3.34074667	                        -0.1	                            0.0	                                -0.0	                                    True	                                        7.211
-0.1	                -1.57e-06	                    3.30699	                        -0.1	                            -0.0	                                0.0	                                    True	                                        5.448
-0.1	                -1.56e-06	                    3.35006667	                        -0.1	                            -0.0	                                0.0	                                    True	                                        7.978
-0.1	                -1.55e-06	                    3.34579667	                        -0.1	                            0.0	                                -0.0	                                    True	                                        7.833
-0.1	                -1.54e-06	                    3.378	                        -0.1	                            -0.0	                                0.0	                                    True	                                        5.924
-0.1	                -1.53e-06	                    3.37567667	                        -0.1	                            0.0	                                0.0	                                    True	                                        8.222
-0.1	                -1.52e-06	                    3.28526	                        -0.1	                            0.0	                                -0.0	                                    True	                                        6.614
-0.1	                -1.51e-06	                    3.37257	                        -0.1	                            -0.0	                                0.0	                                    True	                                        5.757
-0.1	                -1.5e-06	                    3.39973667	                        -0.1	                            0.0	                                -0.0	                                    True	                                        7.463
-0.1	                -1.49e-06	                    3.24761667	                        -0.1	                            -0.0	                                0.0	                                    True	                                        7.755
-0.1	                -1.48e-06	                    3.32056667	                        -0.1	                            -0.0	                                -0.0	                                    True	                                        7.497
-0.1	                -1.47e-06	                    3.27051333	                        -0.1	                            -0.0	                                0.0	                                    True	                                        7.377
-0.1	                -1.46e-06	                    3.31591333	                        -0.1	                            -0.0	                                0.0	                                    True	                                        7.103
-0.1	                -1.45e-06	                    3.32367333	                        -0.1	                            -0.0	                                -0.0	                                    True	                                        6.026
-0.1	                -1.44e-06	                    3.36442333	                        -0.1	                            -0.0	                                0.0	                                    True	                                        6.899
-0.1	                -1.43e-06	                    3.34502	                        -0.1	                            0.0	                                0.0	                                    True	                                        7.413
-0.1	                -1.42e-06	                    3.34657	                        -0.1	                            0.0	                                0.0	                                    True	                                        7.35
-0.1	                -1.41e-06	                    3.32717	                        -0.1	                            0.0	                                0.0	                                    True	                                        5.14
-0.1	                -1.4e-06	                    3.40439333	                        -0.1	                            0.0	                                0.0	                                    True	                                        6.405
-0.1	                -1.39e-06	                    3.33648	                        -0.1	                            0.0	                                -0.0	                                    True	                                        6.571
-0.1	                -1.38e-06	                    3.29341	                        -0.1	                            -0.0	                                0.0	                                    True	                                        6.449
-0.1	                -1.37e-06	                    3.27672	                        -0.1	                            0.0	                                0.0	                                    True	                                        6.477
-0.1	                -1.36e-06	                    3.31863	                        -0.1	                            0.0	                                0.0	                                    True	                                        7.06
-0.1	                -1.35e-06	                    3.37334333	                        -0.1	                            0.0	                                -0.0	                                    True	                                        6.661
-0.1	                -1.34e-06	                    3.31940667	                        -0.1	                            -0.0	                                0.0	                                    True	                                        6.922
-0.1	                -1.33e-06	                    3.32988333	                        -0.1	                            -0.0	                                -0.0	                                    True	                                        6.915
-0.1	                -1.32e-06	                    3.36985667	                        -0.1	                            -0.0	                                -0.0	                                    True	                                        7.223
-0.1	                -1.31e-06	                    3.40904667	                        -0.1	                            0.0	                                -0.0	                                    True	                                        7.192
-0.1	                -1.3e-06	                    3.31669333	                        -0.1	                            -0.0	                                -0.0	                                    True	                                        7.984
-0.1	                -1.29e-06	                    3.32949333	                        -0.1	                            0.0	                                0.0	                                    True	                                        5.641
-0.1	                -1.28e-06	                    3.33687	                        -0.1	                            -0.0	                                0.0	                                    True	                                        6.019
-0.1	                -1.27e-06	                    3.33609667	                        -0.1	                            0.0	                                -0.0	                                    True	                                        7.252
-0.1	                -1.26e-06	                    3.34075	                        -0.1	                            0.0	                                -0.0	                                    True	                                        6.798
-0.1	                -1.25e-06	                    3.31708333	                        -0.1	                            -0.0	                                0.0	                                    True	                                        6.322
-0.1	                -1.24e-06	                    3.35549333	                        -0.1	                            0.0	                                0.0	                                    True	                                        5.486
-0.1	                -1.23e-06	                    3.37722667	                        -0.1	                            -0.0	                                0.0	                                    True	                                        6.546
-0.1	                -1.22e-06	                    3.27167333	                        -0.1	                            0.0	                                -0.0	                                    True	                                        7.474
-0.1	                -1.21e-06	                    3.35937667	                        -0.1	                            -0.0	                                -0.0	                                    True	                                        6.743
-0.1	                -1.2e-06	                    3.35278333	                        -0.1	                            0.0	                                -0.0	                                    True	                                        6.399
-0.1	                -1.19e-06	                    3.30000333	                        -0.1	                            -0.0	                                0.0	                                    True	                                        7.272
-0.1	                -1.18e-06	                    3.32367667	                        -0.1	                            0.0	                                0.0	                                    True	                                        7.257
-0.1	                -1.17e-06	                    3.34424333	                        -0.1	                            -0.0	                                -0.0	                                    True	                                        6.774
-0.1	                -1.16e-06	                    3.34191333	                        -0.1	                            0.0	                                -0.0	                                    True	                                        5.842
-0.1	                -1.15e-06	                    3.33104667	                        -0.1	                            -0.0	                                0.0	                                    True	                                        7.117
-0.1	                -1.14e-06	                    3.38731667	                        -0.1	                            -0.0	                                0.0	                                    True	                                        6.82
-0.1	                -1.13e-06	                    3.26818667	                        -0.1	                            0.0	                                0.0	                                    True	                                        7.981
-0.1	                -1.12e-06	                    3.28293	                        -0.1	                            -0.0	                                0.0	                                    True	                                        7.128
-0.1	                -1.11e-06	                    3.32367667	                        -0.1	                            0.0	                                0.0	                                    True	                                        6.341
-0.1	                -1.1e-06	                    3.28875	                        -0.1	                            -0.0	                                0.0	                                    True	                                        7.322
-0.1	                -1.09e-06	                    3.30233333	                        -0.1	                            0.0	                                0.0	                                    True	                                        6.739
-0.1	                -1.08e-06	                    3.33958667	                        -0.1	                            -0.0	                                0.0	                                    True	                                        7.427
