Started: March 14, 2024 08:18:28
Resistor	1000000.0	Excitation Current (A)	1.299e-09
Restsitance (Ohms)	Channel 5 Temp (K)	Channel 8 Temp (K)	Channel 13 Temp (K)
123.13779831	3.33587	3.37621	5.89988
123.58583526	3.33587	3.37621	5.89988
125.91531948	3.33587	3.37621	5.89988
126.63279446	3.33587	3.37621	5.89988
119.82140108	3.33587	3.37621	5.89988
119.91147036	3.33587	3.37621	5.89988
119.91147036	3.33587	3.37621	5.89988
121.88298691	3.33587	3.37621	5.89988
121.70361817	3.33587	3.37621	5.89988
120.62817552	3.33587	3.37621	5.89988
122.33102386	3.33587	3.37621	5.89988
123.94380293	3.33587	3.37621	5.89988
121.25558122	3.33587	3.37621	5.89988
121.43494996	3.33587	3.37621	5.89988
126.8121632	3.33587	3.37621	5.89988
121.70361817	3.33587	3.37621	5.89988
125.55735181	3.33587	3.37621	5.89988
128.3356428	3.33587	3.37621	5.89988
124.12317167	3.33587	3.37621	5.89988
124.48190916	3.62473	3.37621	5.89988
129.05234796	3.62473	3.37621	5.89988
120.44880677	3.62473	3.37621	5.89988
119.82140108	3.62473	3.37621	5.89988
121.97228637	3.62473	3.37621	5.89988
122.59969207	3.62473	3.37621	5.89988
127.70823711	3.62473	3.37621	5.89988
126.90146266	3.62473	3.37621	5.89988
122.59969207	3.62473	3.37621	5.89988
121.79291763	3.62473	3.37621	5.89988
119.28406467	3.62473	3.59614	5.89988
122.95842956	3.62473	3.59614	5.89988
121.16551193	3.62473	3.59614	5.89988
123.58583526	3.62473	3.59614	5.89988
120.62817552	3.62473	3.59614	5.89988
120.18013857	3.62473	3.59614	5.89988
122.51039261	3.62473	3.59614	5.89988
118.47729022	3.62473	3.59614	5.89988
118.20862202	3.62473	3.59614	5.89988
123.04772902	3.62473	3.59614	5.89988
123.04772902	3.62473	3.59614	5.89988
124.57120862	3.62473	3.59614	5.74438
121.07621247	3.62473	3.59614	5.74438
120.62817552	3.62473	3.59614	5.74438
121.25558122	3.62473	3.59614	5.74438
121.88298691	3.62473	3.59614	5.74438
120.89684373	3.62473	3.59614	5.74438
122.59969207	3.62473	3.59614	5.74438
125.64665127	3.62473	3.59614	5.74438
123.76443418	3.62473	3.59614	5.74438
123.49576597	3.62473	3.59614	5.74438
125.19861432	3.62473	3.59614	5.74438
125.55735181	3.62473	3.59614	5.74438
124.21324095	3.62473	3.59614	5.74438
123.40646651	3.62473	3.59614	5.74438
123.76443418	3.62473	3.59614	5.74438
124.30254042	3.62473	3.59614	5.74438
121.07621247	3.62473	3.59614	5.74438
125.10931486	3.62473	3.59614	5.74438
124.48190916	3.62473	3.59614	5.74438
123.13779831	3.62473	3.59614	5.74438
122.95842956	3.62473	3.59614	5.74438
122.68899153	3.54755	3.59614	5.74438
122.68899153	3.54755	3.59614	5.74438
123.13779831	3.54755	3.59614	5.74438
122.06235566	3.54755	3.59614	5.74438
124.03387221	3.54755	3.59614	5.74438
118.92532717	3.54755	3.59614	5.74438
119.19399538	3.54755	3.59614	5.74438
122.15165512	3.54755	3.59614	5.74438
118.83602771	3.54755	3.59614	5.74438
122.59969207	3.54755	3.59614	5.74438
123.49576597	3.54755	3.59614	5.74438
122.86836028	3.54755	3.45625	5.74438
123.04772902	3.54755	3.45625	5.74438
127.08083141	3.54755	3.45625	5.74438
124.39183988	3.54755	3.45625	5.74438
123.94380293	3.54755	3.45625	5.74438
118.92532717	3.54755	3.45625	5.74438
121.52424942	3.54755	3.45625	5.74438
122.06235566	3.54755	3.45625	5.74438
123.49576597	3.54755	3.45625	5.74438
118.11855273	3.54755	3.45625	5.74438
126.99076212	3.54755	3.45625	5.74438
126.36412625	3.54755	3.45625	5.84473
120.18013857	3.54755	3.45625	5.84473
120.89684373	3.54755	3.45625	5.84473
123.22709777	3.54755	3.45625	5.84473
122.33102386	3.54755	3.45625	5.84473
123.85450346	3.54755	3.45625	5.84473
120.18013857	3.54755	3.45625	5.84473
121.07621247	3.54755	3.45625	5.84473
125.01924557	3.54755	3.45625	5.84473
124.66127791	3.54755	3.45625	5.84473
120.44880677	3.54755	3.45625	5.84473
118.74595843	3.54755	3.45625	5.84473
119.55273287	3.54755	3.45625	5.84473
120.71747498	3.54755	3.45625	5.84473
121.97228637	3.54755	3.45625	5.84473
123.04772902	3.54755	3.45625	5.84473
126.18475751	3.54755	3.45625	5.84473
122.95842956	3.54755	3.45625	5.84473
123.49576597	3.54755	3.45625	5.84473
124.66127791	3.54755	3.45625	5.84473
123.40646651	3.54755	3.45625	5.84473
118.92532717	3.50283	3.45625	5.84473
119.91147036	3.50283	3.45625	5.84473
122.95842956	3.50283	3.45625	5.84473
123.67513472	3.50283	3.45625	5.84473
127.88760585	3.50283	3.45625	5.84473
120.00076982	3.50283	3.45625	5.84473
120.53887606	3.50283	3.45625	5.84473
124.48190916	3.50283	3.45625	5.84473
123.58583526	3.50283	3.45625	5.84473
126.99076212	3.50283	3.45625	5.84473
127.08083141	3.50283	3.48788	5.84473
126.18475751	3.50283	3.48788	5.84473
119.82140108	3.50283	3.48788	5.84473
122.95842956	3.50283	3.48788	5.84473
121.61431871	3.50283	3.48788	5.84473
123.40646651	3.50283	3.48788	5.84473
123.76443418	3.50283	3.48788	5.84473
117.40184758	3.50283	3.48788	5.84473
123.58583526	3.50283	3.48788	5.84473
119.55273287	3.50283	3.48788	5.84473
123.85450346	3.50283	3.48788	5.84473
125.91531948	3.50283	3.48788	6.06941
122.77906082	3.50283	3.48788	6.06941
119.37336413	3.50283	3.48788	6.06941
120.09006928	3.50283	3.48788	6.06941
125.55735181	3.50283	3.48788	6.06941
127.08083141	3.50283	3.48788	6.06941
122.68899153	3.50283	3.48788	6.06941
123.40646651	3.50283	3.48788	6.06941
120.00076982	3.50283	3.48788	6.06941
126.00538876	3.50283	3.48788	6.06941
123.31639723	3.50283	3.48788	6.06941
121.34488068	3.50283	3.48788	6.06941
124.21324095	3.50283	3.48788	6.06941
124.12317167	3.50283	3.48788	6.06941
122.51039261	3.50283	3.48788	6.06941
122.68899153	3.50283	3.48788	6.06941
122.68899153	3.50283	3.48788	6.06941
127.70823711	3.50283	3.48788	6.06941
123.04772902	3.50283	3.48788	6.06941
122.95842956	3.50283	3.48788	6.06941
124.83987683	3.50283	3.48788	6.06941
123.85450346	3.65641	3.48788	6.06941
124.48190916	3.65641	3.48788	6.06941
124.30254042	3.65641	3.48788	6.06941
123.49576597	3.65641	3.48788	6.06941
127.70823711	3.65641	3.48788	6.06941
123.40646651	3.65641	3.48788	6.06941
122.51039261	3.65641	3.48788	6.06941
123.40646651	3.65641	3.48788	6.06941
126.72209392	3.65641	3.48788	6.06941
120.53887606	3.65641	3.48788	6.06941
118.20862202	3.65641	3.48788	6.06941
124.12317167	3.65641	3.63316	6.06941
121.43494996	3.65641	3.63316	6.06941
123.04772902	3.65641	3.63316	6.06941
125.10931486	3.65641	3.63316	6.06941
120.00076982	3.65641	3.63316	6.06941
125.01924557	3.65641	3.63316	6.06941
119.28406467	3.65641	3.63316	6.06941
120.53887606	3.65641	3.63316	6.06941
123.67513472	3.65641	3.63316	6.06941
119.82140108	3.65641	3.63316	6.06941
121.79291763	3.65641	3.63316	6.15578
125.82602002	3.65641	3.63316	6.15578
121.97228637	3.65641	3.63316	6.15578
124.12317167	3.65641	3.63316	6.15578
125.64665127	3.65641	3.63316	6.15578
127.34949962	3.65641	3.63316	6.15578
122.68899153	3.65641	3.63316	6.15578
124.83987683	3.65641	3.63316	6.15578
123.13779831	3.65641	3.63316	6.15578
119.28406467	3.65641	3.63316	6.15578
121.88298691	3.65641	3.63316	6.15578
122.59969207	3.65641	3.63316	6.15578
125.01924557	3.65641	3.63316	6.15578
127.08083141	3.65641	3.63316	6.15578
125.10931486	3.65641	3.63316	6.15578
123.31639723	3.65641	3.63316	6.15578
124.83987683	3.65641	3.63316	6.15578
124.12317167	3.65641	3.63316	6.15578
123.04772902	3.65641	3.63316	6.15578
125.64665127	3.65641	3.63316	6.15578
124.48190916	3.65641	3.63316	6.15578
122.24095458	3.65641	3.63316	6.15578
120.53887606	3.70991	3.63316	6.15578
120.71747498	3.70991	3.63316	6.15578
124.75057737	3.70991	3.63316	6.15578
123.31639723	3.70991	3.63316	6.15578
123.76443418	3.70991	3.63316	6.15578
122.68899153	3.70991	3.63316	6.15578
125.10931486	3.70991	3.63316	6.15578
123.04772902	3.70991	3.63316	6.15578
124.75057737	3.70991	3.63316	6.15578
120.71747498	3.70991	3.63316	6.15578
120.89684373	3.70991	3.70433	6.15578
123.85450346	3.70991	3.70433	6.15578
126.63279446	3.70991	3.70433	6.15578
125.46728253	3.70991	3.70433	6.15578
122.15165512	3.70991	3.70433	6.15578
119.82140108	3.70991	3.70433	6.15578
122.59969207	3.70991	3.70433	6.15578
125.2886836	3.70991	3.70433	6.15578
122.15165512	3.70991	3.70433	6.15578
125.01924557	3.70991	3.70433	6.15578
125.10931486	3.70991	3.70433	6.15578
121.88298691	3.70991	3.70433	5.62576
117.84988453	3.70991	3.70433	5.62576
118.56658968	3.70991	3.70433	5.62576
117.76058507	3.70991	3.70433	5.62576
120.89684373	3.70991	3.70433	5.62576
119.10469592	3.70991	3.70433	5.62576
123.13779831	3.70991	3.70433	5.62576
121.43494996	3.70991	3.70433	5.62576
123.22709777	3.70991	3.70433	5.62576
118.47729022	3.70991	3.70433	5.62576
123.04772902	3.70991	3.70433	5.62576
122.68899153	3.70991	3.70433	5.62576
120.26943803	3.70991	3.70433	5.62576
124.21324095	3.70991	3.70433	5.62576
122.06235566	3.70991	3.70433	5.62576
122.15165512	3.70991	3.70433	5.62576
120.62817552	3.70991	3.70433	5.62576
120.89684373	3.70991	3.70433	5.62576
119.73210162	3.70991	3.70433	5.62576
124.21324095	3.70991	3.70433	5.62576
126.00538876	3.70991	3.70433	5.62576
125.2886836	3.98346	3.70433	5.62576
123.67513472	3.98346	3.70433	5.62576
121.88298691	3.98346	3.70433	5.62576
126.36412625	3.98346	3.70433	5.62576
124.12317167	3.98346	3.70433	5.62576
121.61431871	3.98346	3.70433	5.62576
125.2886836	3.98346	3.70433	5.62576
121.34488068	3.98346	3.70433	5.62576
125.82602002	3.98346	3.70433	5.62576
121.79291763	3.98346	3.70433	5.62576
126.90146266	3.98346	3.70433	5.62576
122.68899153	3.98346	3.97276	5.62576
123.04772902	3.98346	3.97276	5.62576
125.19861432	3.98346	3.97276	5.62576
123.49576597	3.98346	3.97276	5.62576
127.34949962	3.98346	3.97276	5.62576
124.12317167	3.98346	3.97276	5.62576
122.51039261	3.98346	3.97276	5.62576
124.75057737	3.98346	3.97276	5.62576
120.98691301	3.98346	3.97276	5.62576
125.73672055	3.98346	3.97276	5.62576
118.56658968	3.98346	3.97276	5.18366
121.07621247	3.98346	3.97276	5.18366
122.24095458	3.98346	3.97276	5.18366
122.51039261	3.98346	3.97276	5.18366
125.82602002	3.98346	3.97276	5.18366
128.42494226	3.98346	3.97276	5.18366
123.85450346	3.98346	3.97276	5.18366
129.50038491	3.98346	3.97276	5.18366
131.382602	3.98346	3.97276	5.18366
126.72209392	3.98346	3.97276	5.18366
124.75057737	3.98346	3.97276	5.18366
123.58583526	3.98346	3.97276	5.18366
120.44880677	3.98346	3.97276	5.18366
125.2886836	3.98346	3.97276	5.18366
120.53887606	3.98346	3.97276	5.18366
121.16551193	3.98346	3.97276	5.18366
121.88298691	3.98346	3.97276	5.18366
123.85450346	3.98346	3.97276	5.18366
119.91147036	3.98346	3.97276	5.18366
119.91147036	3.98346	3.97276	5.18366
119.91147036	3.98346	3.97276	5.18366
121.97228637	4.23377	3.97276	5.18366
120.89684373	4.23377	3.97276	5.18366
121.43494996	4.23377	3.97276	5.18366
118.20862202	4.23377	3.97276	5.18366
122.42032333	4.23377	3.97276	5.18366
125.82602002	4.23377	3.97276	5.18366
120.71747498	4.23377	3.97276	5.18366
125.82602002	4.23377	3.97276	5.18366
121.97228637	4.23377	3.97276	5.18366
124.66127791	4.23377	3.97276	5.18366
125.01924557	4.23377	3.97276	5.18366
125.19861432	4.23377	4.20851	5.18366
122.68899153	4.23377	4.20851	5.18366
123.31639723	4.23377	4.20851	5.18366
125.73672055	4.23377	4.20851	5.18366
121.70361817	4.23377	4.20851	5.18366
122.42032333	4.23377	4.20851	5.18366
126.18475751	4.23377	4.20851	5.18366
120.35950731	4.23377	4.20851	5.18366
120.80754426	4.23377	4.20851	5.18366
121.88298691	4.23377	4.20851	5.18366
119.82140108	4.23377	4.20851	5.18366
122.06235566	4.23377	4.20851	4.88561
126.36412625	4.23377	4.20851	4.88561
123.76443418	4.23377	4.20851	4.88561
119.64203233	4.23377	4.20851	4.88561
121.97228637	4.23377	4.20851	4.88561
115.87836798	4.23377	4.20851	4.88561
120.35950731	4.23377	4.20851	4.88561
124.92994611	4.23377	4.20851	4.88561
124.92994611	4.23377	4.20851	4.88561
124.48190916	4.23377	4.20851	4.88561
122.59969207	4.23377	4.20851	4.88561
125.91531948	4.23377	4.20851	4.88561
120.00076982	4.23377	4.20851	4.88561
119.19399538	4.23377	4.20851	4.88561
119.91147036	4.23377	4.20851	4.88561
122.15165512	4.23377	4.20851	4.88561
121.25558122	4.23377	4.20851	4.88561
122.77906082	4.23377	4.20851	4.88561
119.10469592	4.23377	4.20851	4.88561
126.00538876	4.23377	4.20851	4.88561
125.46728253	4.23377	4.20851	4.88561
127.34949962	4.46762	4.20851	4.88561
126.54272517	4.46762	4.20851	4.88561
123.13779831	4.46762	4.20851	4.88561
121.25558122	4.46762	4.20851	4.88561
124.57120862	4.46762	4.20851	4.88561
123.85450346	4.46762	4.20851	4.88561
128.42494226	4.46762	4.20851	4.88561
127.79753657	4.46762	4.20851	4.88561
117.93918399	4.46762	4.20851	4.88561
124.12317167	4.46762	4.20851	4.88561
120.98691301	4.46762	4.44536	4.88561
121.07621247	4.46762	4.44536	4.88561
120.98691301	4.46762	4.44536	4.88561
125.01924557	4.46762	4.44536	4.88561
123.76443418	4.46762	4.44536	4.88561
122.68899153	4.46762	4.44536	4.88561
127.52886836	4.46762	4.44536	4.88561
124.48190916	4.46762	4.44536	4.88561
123.67513472	4.46762	4.44536	4.88561
129.14164742	4.46762	4.44536	4.88561
125.82602002	4.46762	4.44536	4.88561
121.97228637	4.46762	4.44536	4.69493
124.48190916	4.46762	4.44536	4.69493
125.2886836	4.46762	4.44536	4.69493
126.90146266	4.46762	4.44536	4.69493
124.21324095	4.46762	4.44536	4.69493
125.01924557	4.46762	4.44536	4.69493
126.18475751	4.46762	4.44536	4.69493
120.80754426	4.46762	4.44536	4.69493
123.67513472	4.46762	4.44536	4.69493
125.91531948	4.46762	4.44536	4.69493
120.53887606	4.46762	4.44536	4.69493
125.64665127	4.46762	4.44536	4.69493
123.85450346	4.46762	4.44536	4.69493
121.97228637	4.46762	4.44536	4.69493
121.16551193	4.46762	4.44536	4.69493
124.39183988	4.46762	4.44536	4.69493
122.86836028	4.46762	4.44536	4.69493
120.00076982	4.46762	4.44536	4.69493
120.35950731	4.46762	4.44536	4.69493
123.49576597	4.46762	4.44536	4.69493
121.70361817	4.46762	4.44536	4.69493
122.95842956	4.70989	4.44536	4.69493
123.22709777	4.70989	4.44536	4.69493
123.67513472	4.70989	4.44536	4.69493
126.90146266	4.70989	4.44536	4.69493
126.36412625	4.70989	4.44536	4.69493
120.26943803	4.70989	4.44536	4.69493
120.35950731	4.70989	4.44536	4.69493
125.19861432	4.70989	4.44536	4.69493
126.09468822	4.70989	4.44536	4.69493
119.91147036	4.70989	4.44536	4.69493
122.95842956	4.70989	4.44536	4.69493
125.82602002	4.70989	4.6873	4.69493
125.46728253	4.70989	4.6873	4.69493
119.19399538	4.70989	4.6873	4.69493
121.25558122	4.70989	4.6873	4.69493
123.94380293	4.70989	4.6873	4.69493
128.24557352	4.70989	4.6873	4.69493
124.57120862	4.70989	4.6873	4.69493
121.88298691	4.70989	4.6873	4.69493
125.55735181	4.70989	4.6873	4.69493
121.97228637	4.70989	4.6873	4.69493
122.68899153	4.70989	4.6873	4.57868
120.62817552	4.70989	4.6873	4.57868
125.37798306	4.70989	4.6873	4.57868
119.91147036	4.70989	4.6873	4.57868
126.18475751	4.70989	4.6873	4.57868
123.49576597	4.70989	4.6873	4.57868
121.70361817	4.70989	4.6873	4.57868
122.51039261	4.70989	4.6873	4.57868
121.97228637	4.70989	4.6873	4.57868
122.33102386	4.70989	4.6873	4.57868
120.09006928	4.70989	4.6873	4.57868
128.3356428	4.70989	4.6873	4.57868
128.24557352	4.70989	4.6873	4.57868
120.98691301	4.70989	4.6873	4.57868
124.92994611	4.70989	4.6873	4.57868
125.19861432	4.70989	4.6873	4.57868
123.40646651	4.70989	4.6873	4.57868
125.82602002	4.70989	4.6873	4.57868
123.67513472	4.70989	4.6873	4.57868
123.13779831	4.70989	4.6873	4.57868
124.83987683	3.91552	4.6873	4.57868
121.52424942	3.91552	4.6873	4.57868
122.06235566	3.91552	4.6873	4.57868
122.24095458	3.91552	4.6873	4.57868
125.64665127	3.91552	4.6873	4.57868
124.12317167	3.91552	4.6873	4.57868
125.37798306	3.91552	4.6873	4.57868
121.43494996	3.91552	4.6873	4.57868
122.42032333	3.91552	4.6873	4.57868
125.82602002	3.91552	4.6873	4.57868
121.52424942	3.91552	3.86845	4.57868
127.08083141	3.91552	3.86845	4.57868
122.33102386	3.91552	3.86845	4.57868
123.31639723	3.91552	3.86845	4.57868
118.38799076	3.91552	3.86845	4.57868
121.70361817	3.91552	3.86845	4.57868
124.12317167	3.91552	3.86845	4.57868
121.43494996	3.91552	3.86845	4.57868
123.31639723	3.91552	3.86845	4.57868
120.53887606	3.91552	3.86845	4.57868
119.46343341	3.91552	3.86845	4.57868
123.40646651	3.91552	3.86845	5.09618
128.42494226	3.91552	3.86845	5.09618
124.48190916	3.91552	3.86845	5.09618
122.42032333	3.91552	3.86845	5.09618
125.82602002	3.91552	3.86845	5.09618
123.40646651	3.91552	3.86845	5.09618
124.12317167	3.91552	3.86845	5.09618
122.77906082	3.91552	3.86845	5.09618
120.35950731	3.91552	3.86845	5.09618
128.51424172	3.91552	3.86845	5.09618
121.70361817	3.91552	3.86845	5.09618
121.61431871	3.91552	3.86845	5.09618
121.97228637	3.91552	3.86845	5.09618
126.45342571	3.91552	3.86845	5.09618
128.06620477	3.91552	3.86845	5.09618
129.05234796	3.91552	3.86845	5.09618
118.20862202	3.91552	3.86845	5.09618
118.38799076	3.91552	3.86845	5.09618
121.70361817	3.91552	3.86845	5.09618
123.31639723	3.91552	3.86845	5.09618
118.65665897	3.91552	3.86845	5.09618
122.77906082	4.095	3.86845	5.09618
120.98691301	4.095	3.86845	5.09618
124.92994611	4.095	3.86845	5.09618
123.40646651	4.095	3.86845	5.09618
122.33102386	4.095	3.86845	5.09618
123.49576597	4.095	3.86845	5.09618
124.12317167	4.095	3.86845	5.09618
122.51039261	4.095	3.86845	5.09618
124.92994611	4.095	3.86845	5.09618
122.24095458	4.095	3.86845	5.09618
125.82602002	4.095	3.86845	5.09618
124.39183988	4.095	4.10387	5.09618
120.62817552	4.095	4.10387	5.09618
123.22709777	4.095	4.10387	5.09618
124.12317167	4.095	4.10387	5.09618
122.95842956	4.095	4.10387	5.09618
126.18475751	4.095	4.10387	5.09618
121.97228637	4.095	4.10387	5.09618
121.97228637	4.095	4.10387	5.09618
126.18475751	4.095	4.10387	5.09618
120.89684373	4.095	4.10387	5.09618
123.76443418	4.095	4.10387	5.09618
123.31639723	4.095	4.10387	4.92742
117.49114704	4.095	4.10387	4.92742
119.46343341	4.095	4.10387	4.92742
123.04772902	4.095	4.10387	4.92742
121.61431871	4.095	4.10387	4.92742
117.84988453	4.095	4.10387	4.92742
118.56658968	4.095	4.10387	4.92742
120.98691301	4.095	4.10387	4.92742
122.51039261	4.095	4.10387	4.92742
126.00538876	4.095	4.10387	4.92742
125.2886836	4.095	4.10387	4.92742
123.85450346	4.095	4.10387	4.92742
122.59969207	4.095	4.10387	4.92742
126.63279446	4.095	4.10387	4.92742
124.75057737	4.095	4.10387	4.92742
120.09006928	4.095	4.10387	4.92742
124.48190916	4.095	4.10387	4.92742
125.64665127	4.095	4.10387	4.92742
124.21324095	4.095	4.10387	4.92742
122.59969207	4.095	4.10387	4.92742
121.61431871	4.095	4.10387	4.92742
111.84526559	4.39729	4.10387	4.92742
120.71747498	4.39729	4.10387	4.92742
119.64203233	4.39729	4.10387	4.92742
123.76443418	4.39729	4.10387	4.92742
124.39183988	4.39729	4.10387	4.92742
124.39183988	4.39729	4.10387	4.92742
122.95842956	4.39729	4.10387	4.92742
123.67513472	4.39729	4.10387	4.92742
119.55273287	4.39729	4.10387	4.92742
121.25558122	4.39729	4.10387	4.92742
120.00076982	4.39729	4.39187	4.92742
125.10931486	4.39729	4.39187	4.92742
126.72209392	4.39729	4.39187	4.92742
125.46728253	4.39729	4.39187	4.92742
125.01924557	4.39729	4.39187	4.92742
120.62817552	4.39729	4.39187	4.92742
123.58583526	4.39729	4.39187	4.92742
124.83987683	4.39729	4.39187	4.92742
126.09468822	4.39729	4.39187	4.92742
124.12317167	4.39729	4.39187	4.92742
123.40646651	4.39729	4.39187	4.92742
118.47729022	4.39729	4.39187	4.70816
119.82140108	4.39729	4.39187	4.70816
127.08083141	4.39729	4.39187	4.70816
122.59969207	4.39729	4.39187	4.70816
122.51039261	4.39729	4.39187	4.70816
125.19861432	4.39729	4.39187	4.70816
123.67513472	4.39729	4.39187	4.70816
