Started: March 10, 2024 15:56:12
Initial Temperature (K)	0.0200719
Resistor	1000000.0	Excitation Current (A)	5e-08
Current (A)	Measured Current (A)	Resistance (Ohms)
-8.64e-07	4.4493314000000006e-11	6.116960000000001
-8.58e-07	4.4916530000000005e-11	6.257592000000001
-8.52e-07	4.6327252000000007e-11	6.246411999999999
-8.459999999999999e-07	4.4755302000000005e-11	6.357711999999999
-8.4e-07	4.5380051999999994e-11	6.477384000000001
-8.34e-07	4.5652124000000003e-11	6.496944000000001
-8.28e-07	4.6155956000000004e-11	6.561204000000001
-8.219999999999999e-07	4.5369976000000006e-11	6.625936000000001
-8.159999999999999e-07	4.489637400000001e-11	6.686000000000002
-8.1e-07	4.529944000000001e-11	6.704628
-8.039999999999999e-07	4.495683600000001e-11	6.749795999999999
-7.979999999999999e-07	4.5359896000000004e-11	6.916968
-7.92e-07	4.6236566e-11	6.862488000000001
-7.860000000000001e-07	4.593427e-11	7.062724
-7.8e-07	4.5329670000000003e-11	7.038971999999999
-7.74e-07	4.4715000000000004e-11	7.075292
-7.68e-07	4.6125724e-11	7.320232
-7.62e-07	4.5400208e-11	7.261556000000001
-7.56e-07	4.5450592e-11	7.3206999999999995
-7.5e-07	4.484599600000001e-11	7.5861279999999995
-7.44e-07	4.4755304e-11	7.445496
-7.38e-07	4.4311942e-11	7.6685479999999995
-7.319999999999999e-07	4.5238982e-11	7.906031999999999
-7.26e-07	4.6428026e-11	8.14678
-7.2e-07	4.4019714e-11	8.444804000000001
-7.14e-07	4.4936682e-11	8.394976
-7.079999999999999e-07	4.4966916000000004e-11	9.120944
-7.019999999999999e-07	4.593427e-11	8.757724
-6.96e-07	4.588388400000001e-11	9.609924000000001
-6.9e-07	4.563196800000001e-11	9.86138
-6.839999999999999e-07	4.628695e-11	9.590819999999999
-6.779999999999999e-07	4.5238984e-11	9.641587999999999
-6.72e-07	4.5057599999999995e-11	8.857844000000002
-6.660000000000001e-07	4.2508216e-11	8.450392
-6.6e-07	4.5017294e-11	7.599628
-6.54e-07	4.4956838e-11	6.56726
-6.48e-07	4.4311934e-11	5.611720000000001
-6.420000000000001e-07	4.4563848000000004e-11	4.414488
-6.36e-07	4.5420362000000005e-11	3.4827
-6.3e-07	4.4785534e-11	3.5451
-6.24e-07	4.5017294e-11	2.3967712
-6.18e-07	4.5259136e-11	2.9914192
-6.12e-07	4.5611818e-11	1.2605536000000002
-6.06e-07	4.5460669999999996e-11	0.9406412
-6e-07	4.6518716e-11	0.712466
-5.939999999999999e-07	4.5269214e-11	0.4963972
-5.879999999999999e-07	4.5642050000000004e-11	0.5718344
-5.82e-07	4.468476800000001e-11	0.26635983999999996
-5.76e-07	4.6035038e-11	0.19371624
-5.699999999999999e-07	4.4453005999999996e-11	0.20396071999999998
-5.639999999999999e-07	4.6085416e-11	0.21932764
-5.579999999999999e-07	4.4745223999999997e-11	0.08381949600000001
-5.52e-07	4.564204400000001e-11	0.029802488000000005
-5.459999999999999e-07	4.5349824000000005e-11	0.1280574
-5.4e-07	4.5037444e-11	0.108034
-5.34e-07	4.4694842e-11	0.0009312880000000023
-5.280000000000001e-07	4.5652124000000003e-11	0.16717343999999998
-5.22e-07	4.5783122e-11	0.027939820000000004
-5.16e-07	4.459408000000001e-11	0.05401708000000001
-5.1e-07	4.507776e-11	-0.054482720000000005
-5.04e-07	4.5692430000000006e-11	-0.006984943999999998
-4.98e-07	4.424140000000001e-11	-0.055879639999999994
-4.92e-07	4.4231322e-11	0.003259616
-4.86e-07	4.417086400000001e-11	-0.013038600000000003
-4.8e-07	4.5823426000000003e-11	0.021886228
-4.74e-07	4.4584002000000006e-11	0.08521648000000001
-4.6799999999999996e-07	4.5672276e-11	0.014901240000000007
-4.62e-07	4.6216412000000006e-11	-0.019092236000000002
-4.5599999999999995e-07	4.581335e-11	-0.002328332
-4.5e-07	4.485607e-11	-0.0069849000000000005
-4.4399999999999995e-07	4.5994732e-11	0.0069850000000000025
-4.379999999999999e-07	4.507776e-11	0.05168868000000001
-4.3199999999999995e-07	4.4674696e-11	-0.007916240000000003
-4.259999999999999e-07	4.4825844e-11	-0.10896536000000001
-4.1999999999999995e-07	4.495684e-11	-0.04237544000000001
-4.139999999999999e-07	4.468477e-11	-0.011641624000000001
-4.079999999999999e-07	4.481576200000001e-11	0.06239896
-4.019999999999999e-07	4.4201089999999996e-11	0.062398928000000006
-3.959999999999999e-07	4.4322008e-11	0.027008540000000004
-3.899999999999999e-07	4.4765382e-11	-0.01583252
-3.839999999999999e-07	4.6145880000000003e-11	-0.01071018
-3.779999999999999e-07	4.6105574e-11	-0.03306215999999999
-3.719999999999999e-07	4.3939102e-11	0.004191008000000001
-3.6599999999999986e-07	4.5450592e-11	0.017695232000000005
-3.599999999999999e-07	4.4523546000000003e-11	-0.012572907999999999
-3.5399999999999986e-07	4.5390132e-11	-0.09406403999999999
-3.479999999999999e-07	4.5087834e-11	-0.0088476
-3.4200000000000007e-07	4.6125726e-11	0.10570564000000002
-3.360000000000001e-07	4.4009636e-11	0.016298200000000006
