Initial Temperature (K)	0.0249571
Resistor	201600.0	Excitation Current (A)	6.12e-08
Axis 1,2	x,z
Angle	0
Field (T)	Current (A)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field	Compliance Pass
-0.02	-40.0	-0.27615181	-0.02	-0.0	-0.0	True
-0.02	-39.0	0.1244205	-0.02	-0.0	-0.0	True
-0.02	-38.0	-0.02077725	-0.02	0.0	-0.0	True
-0.02	-37.0	0.04885914	-0.02	0.0	0.0	True
-0.02	-36.0	-0.01136257	-0.02	-0.0	-0.0	True
-0.02	-35.0	-0.01339163	-0.02	0.0	-0.0	True
-0.02	-34.0	0.08526008	-0.02	0.0	-0.0	True
-0.02	-33.0	0.01014513	-0.02	-0.0	-0.0	True
-0.02	-32.0	0.08785716	-0.02	0.0	-0.0	True
-0.02	-31.0	0.04102702	-0.02	0.0	0.0001	True
-0.02	-30.0	-0.04958955	-0.02	0.0	-0.0001	True
-0.02	-29.0	0.01067273	-0.02	-0.0	-0.0001	True
-0.02	-28.0	0.07978161	-0.02	0.0	-0.0	True
-0.02	-27.0	0.06119583	-0.02	-0.0	0.0	True
-0.02	-26.0	0.00219137	-0.02	-0.0	-0.0001	True
-0.02	-25.0	-0.04488227	-0.02	-0.0	0.0	True
-0.02	-24.0	0.09073863	-0.02	-0.0	0.0001	True
-0.02	-23.0	-0.04902146	-0.02	0.0	-0.0	True
-0.02	-22.0	0.0740192	-0.02	0.0	0.0	True
-0.02	-21.0	0.09503998	-0.02	0.0	0.0001	True
-0.02	-20.0	-0.02520063	-0.02	0.0	-0.0	True
-0.02	-19.0	0.06935251	-0.02	0.0	-0.0001	True
-0.02	-18.0	-0.00726392	-0.02	0.0	0.0	True
-0.02	-17.0	-0.01684096	-0.02	-0.0	-0.0	True
-0.02	-16.0	0.0129858	-0.02	-0.0	-0.0	True
-0.02	-15.0	-0.03011077	-0.02	-0.0	0.0001	True
-0.02	-14.0	0.01383797	-0.02	-0.0	-0.0	True
-0.02	-13.0	-0.03875462	-0.02	0.0	0.0	True
-0.02	-12.0	0.0511318	-0.02	-0.0	0.0	True
-0.02	-11.0	0.06618711	-0.02	0.0	0.0001	True
-0.02	-10.0	0.0297862	-0.02	-0.0	-0.0	True
-0.02	-9.0	0.00397688	-0.02	-0.0	0.0	True
-0.02	-8.0	0.0316124	-0.02	-0.0	-0.0001	True
-0.02	-7.0	1.03200882	-0.02	0.0	-0.0	True
-0.02	-6.79487	1.25609586	-0.02	-0.0	0.0001	True
-0.02	-6.58974	1.38222004	-0.02	0.0	0.0001	True
-0.02	-6.38462	1.23994553	-0.02	-0.0	-0.0	True
-0.02	-6.17949	1.4182146	-0.02	-0.0	-0.0	True
-0.02	-6.0	1.35077124	-0.02	0.0	0.0	True
-0.02	-5.97436	1.58268736	-0.02	0.0	0.0001	True
-0.02	-5.76923	1.34525054	-0.02	0.0	-0.0	True
-0.02	-5.5641	1.36777342	-0.02	0.0	0.0	True
-0.02	-5.35897	1.4657342	-0.02	-0.0	-0.0	True
-0.02	-5.15385	1.58049673	-0.02	0.0	-0.0	True
-0.02	-5.0	1.64250654	-0.02	0.0	-0.0	True
-0.02	-4.94872	1.8607451	-0.02	0.0	0.0001	True
-0.02	-4.74359	1.95323529	-0.02	-0.0	0.0	True
-0.02	-4.53846	2.30750109	-0.02	0.0	0.0001	True
-0.02	-4.33333	2.31598584	-0.02	-0.0	-0.0	True
-0.02	-4.12821	2.31683769	-0.02	-0.0	-0.0	True
-0.02	-4.0	2.19258061	-0.02	0.0	0.0	True
-0.02	-3.92308	2.21006863	-0.02	-0.0	0.0001	True
-0.02	-3.71795	2.16888017	-0.02	-0.0	-0.0001	True
-0.02	-3.51282	2.05574074	-0.02	-0.0	-0.0	True
-0.02	-3.30769	1.92628758	-0.02	-0.0	0.0	True
-0.02	-3.10256	1.7067037	-0.02	0.0	0.0	True
-0.02	-3.0	1.83924074	-0.02	-0.0	-0.0	True
-0.02	-2.89744	1.62566231	-0.02	0.0	0.0	True
-0.02	-2.69231	1.20041808	-0.02	0.0	0.0	True
-0.02	-2.48718	0.84562048	-0.02	-0.0	0.0001	True
-0.02	-2.28205	0.50640661	-0.02	0.0	-0.0	True
-0.02	-2.07692	0.03291095	-0.02	0.0	0.0	True
-0.02	-2.0	0.01797729	-0.02	0.0	-0.0	True
-0.02	-1.87179	0.15351698	-0.02	-0.0	-0.0001	True
-0.02	-1.66667	-0.04329942	-0.02	0.0	0.0	True
-0.02	-1.46154	-0.26487028	-0.02	0.0	0.0001	True
-0.02	-1.25641	-0.11804935	-0.02	-0.0	-0.0	True
-0.02	-1.05128	-0.10851285	-0.02	0.0	-0.0	True
-0.02	-1.0	0.01318873	-0.02	-0.0	-0.0001	True
-0.02	-0.84615	0.00012182	-0.02	-0.0	-0.0	True
-0.02	-0.79487	-0.02337451	-0.02	0.0	0.0001	True
-0.02	-0.64103	-0.04833167	-0.02	-0.0	0.0	True
-0.02	-0.58974	0.014325	-0.02	0.0	-0.0	True
-0.02	-0.4359	-0.12584063	-0.02	0.0	0.0	True
-0.02	-0.38462	0.04386782	-0.02	0.0	0.0001	True
-0.02	-0.23077	0.04070253	-0.02	-0.0	0.0001	True
-0.02	-0.17949	-0.09374172	-0.02	-0.0	-0.0001	True
-0.02	-0.02564	0.01684097	-0.02	0.0	0.0001	True
-0.02	0.0	-0.00600606	-0.02	-0.0	-0.0	True
-0.02	0.02564	-0.00864377	-0.02	-0.0	-0.0	True
-0.02	0.17949	-0.03295151	-0.02	0.0	-0.0	True
-0.02	0.23077	-0.02946153	-0.02	0.0	0.0001	True
-0.02	0.38462	0.04760125	-0.02	0.0	-0.0	True
-0.02	0.4359	-0.08278458	-0.02	0.0	-0.0	True
-0.02	0.58974	-0.0977995	-0.02	0.0	0.0001	True
-0.02	0.64103	0.05705646	-0.02	0.0	0.0001	True
-0.02	0.79487	0.11115059	-0.02	0.0	0.0001	True
-0.02	0.84615	0.15793999	-0.02	-0.0	-0.0	True
-0.02	1.0	0.0243888	-0.02	0.0	-0.0	True
-0.02	1.05128	-0.00320584	-0.02	-0.0	-0.0001	True
-0.02	1.25641	0.18277565	-0.02	0.0	0.0001	True
-0.02	1.46154	0.59568399	-0.02	0.0	0.0001	True
-0.02	1.66667	0.79408279	-0.02	0.0	0.0	True
-0.02	1.87179	0.73154847	-0.02	-0.0	0.0001	True
-0.02	2.0	0.79087691	-0.02	-0.0	-0.0	True
-0.02	2.07692	1.00822876	-0.02	0.0	-0.0	True
-0.02	2.28205	0.98148366	-0.02	0.0	-0.0001	True
-0.02	2.48718	1.43749129	-0.02	-0.0	0.0001	True
-0.02	2.69231	1.33977342	-0.02	0.0	-0.0	True
