Started: January 29, 2023 16:07:19
Resistor	1000000.0	Excitation Current (A)	2e-06
Restsitance (Ohms)	Channel 5 Temp (K)	Channel 8 Temp (K)	Channel 13 Temp (K)
0.0546085	1.21119	0.0186943	3.95781
0.0546085	1.21119	0.0186943	3.95781
0.0546085	1.21119	0.0186943	3.95781
0.0546085	1.21119	0.0192609	3.95781
0.0546085	1.21119	0.0192609	3.95781
0.0546085	1.21119	0.0192609	3.94031
0.0546085	1.21119	0.0192609	3.94031
0.0546085	1.21119	0.0192609	3.94031
0.0546085	1.21119	0.0192609	3.94031
0.0546085	1.21119	0.0192609	3.94031
0.0546085	1.21119	0.0192609	3.94031
0.0546085	1.21119	0.0192609	3.94031
0.0546085	1.21119	0.0192609	3.97236
0.0546085	1.21119	0.0192609	3.97236
0.0546085	1.21119	0.0192609	3.97236
0.0546085	1.21119	0.0192609	3.97236
0.0546085	1.21119	0.0198932	3.97236
0.0546085	1.21119	0.0198932	3.97236
0.0546085	1.21119	0.0198932	3.97236
0.0546085	1.21119	0.0198932	3.97236
0.0546085	1.21119	0.0198932	3.97236
0.0546085	1.21119	0.0198932	3.97236
0.0546085	1.21119	0.189991	3.97236
0.0546085	1.21119	0.189991	3.97236
0.0546085	1.21119	0.189991	3.97236
0.0546085	1.21119	0.189991	3.97236
0.0546085	1.21119	0.189991	3.97236
0.0546085	1.21119	0.189991	3.97236
0.0546085	1.21119	0.189991	3.97236
0.0546085	1.21119	0.245669	3.97236
0.0546085	1.21119	0.245669	3.97236
0.0546085	1.21119	0.245669	3.97236
0.0546085	1.21119	0.245669	3.97236
0.0546085	1.21119	0.245669	3.97236
0.0546085	1.21119	0.245669	3.97236
0.0546085	1.21119	0.245669	3.97236
0.0546085	1.21119	0.245669	3.97236
0.0546085	1.21119	0.357794	3.97236
0.0546085	1.21119	0.357794	3.97236
0.0546085	1.21119	0.357794	3.97236
0.0546085	1.21119	0.357794	3.97236
0.0546085	1.21119	0.357794	3.97236
0.0546085	1.21119	0.357794	3.97236
0.0546085	1.21119	0.357794	3.97236
0.0546085	1.21119	0.453191	3.97236
0.0546085	1.21119	0.453191	3.97236
0.0546085	1.21119	0.453191	3.97236
0.0546085	1.21119	0.453191	3.97236
0.0546085	1.21119	0.453191	3.97236
0.0546085	1.21119	0.453191	3.97236
0.0546085	1.21119	0.453191	3.97236
0.0546085	1.21119	0.453191	3.97236
0.0546085	1.21119	0.453191	4.01837
0.0546085	1.21119	0.453191	4.01837
0.0546085	1.21119	0.453191	4.01837
0.0546085	1.21119	0.453191	4.01837
0.0546085	1.21119	0.453191	4.01837
0.0546085	1.21119	0.453191	4.01837
0.0546085	1.21119	0.791968	4.01837
0.0546085	1.21119	0.791968	4.01837
0.0546085	1.21119	0.791968	4.01837
0.0546085	1.21119	0.791968	4.01837
0.0546085	1.21119	0.791968	4.01837
0.0546085	1.21119	0.791968	4.01837
0.0546085	1.21119	0.791968	4.01837
0.0546085	1.21119	0.799225	4.01837
