Initial Temperature (K)	0.0502178
Resistor	1000000.0	Excitation Current (A)	1.351e-08
Axis 1,2	x,z
Angle	0
Field (T)	Current (A)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field	Lock-In Overload Pass	Compliance Pass
-0.005	-0.0001	0.48408173	-0.005	0.0	0.0	True	True
-0.005	-9.9e-05	0.41847111	-0.005	0.0	0.0	True	True
-0.005	-9.8e-05	0.35920192	-0.005	-0.0	0.0	True	True
-0.005	-9.7e-05	0.43225509	-0.005	0.0	-0.0	True	True
-0.005	-9.6e-05	0.3620968	-0.005	-0.0	0.0	True	True
-0.005	-9.5e-05	0.42288225	-0.005	0.0	-0.0	True	True
-0.005	-9.4e-05	0.33094539	-0.005	0.0	0.0	True	True
-0.005	-9.3e-05	0.40275832	-0.005	0.0	0.0	True	True
-0.005	-9.2e-05	0.45706544	-0.005	-0.0	0.0	True	True
-0.005	-9.1e-05	0.38166906	-0.005	-0.0	0.0	True	True
-0.005	-9e-05	0.50820314	-0.005	-0.0	0.0	True	True
-0.005	-8.9e-05	0.50792675	-0.005	-0.0	-0.0	True	True
-0.005	-8.8e-05	0.43528798	-0.005	0.0	-0.0	True	True
-0.005	-8.7e-05	0.50654887	-0.005	-0.0	0.0	True	True
-0.005	-8.6e-05	0.36802346	-0.005	-0.0	-0.0	True	True
-0.005	-8.5e-05	0.28862971	-0.005	0.0	0.0	True	True
-0.005	-8.4e-05	0.32970515	-0.005	-0.0	-0.0	True	True
-0.005	-8.3e-05	0.31564552	-0.005	0.0	0.0	True	True
-0.005	-8.2e-05	0.43060119	-0.005	0.0	-0.0	True	True
-0.005	-8.1e-05	0.34955306	-0.005	-0.0	0.0	True	True
-0.005	-8e-05	0.39614161	-0.005	0.0	-0.0	True	True
-0.005	-7.9e-05	0.32708592	-0.005	0.0	0.0	True	True
-0.005	-7.8e-05	0.29938065	-0.005	0.0	-0.0	True	True
-0.005	-7.7e-05	0.40689307	-0.005	0.0	0.0	True	True
-0.005	-7.6e-05	0.40220665	-0.005	-0.0	-0.0	True	True
-0.005	-7.5e-05	0.3991745	-0.005	0.0	-0.0	True	True
-0.005	-7.4e-05	0.41750652	-0.005	0.0	-0.0	True	True
-0.005	-7.3e-05	0.4635434	-0.005	0.0	0.0	True	True
-0.005	-7.2e-05	0.44369512	-0.005	-0.0	0.0	True	True
-0.005	-7.1e-05	0.24259161	-0.005	0.0	0.0	True	True
-0.005	-7e-05	0.42343355	-0.005	0.0	0.0	True	True
-0.005	-6.9e-05	0.37656935	-0.005	-0.0	0.0	True	True
-0.005	-6.8e-05	0.28904326	-0.005	0.0	-0.0	True	True
-0.005	-6.7e-05	0.38194508	-0.005	0.0	0.0	True	True
-0.005	-6.6e-05	0.36857476	-0.005	0.0	0.0	True	True
-0.005	-6.5e-05	0.48311677	-0.005	0.0	0.0	True	True
-0.005	-6.4e-05	0.44355785	-0.005	0.0	0.0	True	True
-0.005	-6.3e-05	0.39986381	-0.005	0.0	0.0	True	True
-0.005	-6.2e-05	0.43073883	-0.005	0.0	0.0	True	True
-0.005	-6.1e-05	0.45899499	-0.005	0.0	0.0	True	True
-0.005	-6e-05	0.46313048	-0.005	-0.0	0.0	True	True
-0.005	-5.9e-05	0.37339919	-0.005	-0.0	-0.0	True	True
-0.005	-5.8e-05	0.36898805	-0.005	-0.0	0.0	True	True
-0.005	-5.7e-05	0.29993206	-0.005	0.0	0.0	True	True
-0.005	-5.6e-05	0.50723855	-0.005	0.0	-0.0	True	True
-0.005	-5.5e-05	0.44507374	-0.005	0.0	-0.0	True	True
-0.005	-5.4e-05	0.39820954	-0.005	0.0	-0.0	True	True
-0.005	-5.3e-05	0.45430857	-0.005	0.0	0.0	True	True
-0.005	-5.2e-05	0.29648655	-0.005	-0.0	0.0	True	True
-0.005	-5.1e-05	0.43859541	-0.005	0.0	-0.0	True	True
-0.005	-5e-05	0.36402598	-0.005	-0.0	-0.0	True	True
-0.005	-4.9e-05	0.53328951	-0.005	0.0	-0.0	True	True
-0.005	-4.8e-05	0.42991188	-0.005	0.0	-0.0	True	True
-0.005	-4.7e-05	0.44976053	-0.005	0.0	0.0	True	True
-0.005	-4.6e-05	0.38621821	-0.005	-0.0	0.0	True	True
-0.005	-4.5e-05	0.49111173	-0.005	0.0	-0.0	True	True
-0.005	-4.4e-05	0.38566654	-0.005	0.0	0.0	True	True
-0.005	-4.3e-05	0.39269617	-0.005	0.0	-0.0	True	True
-0.005	-4.2e-05	0.3277756	-0.005	-0.0	-0.0	True	True
-0.005	-4.1e-05	0.32474271	-0.005	0.0	0.0	True	True
-0.005	-4e-05	0.55672124	-0.005	0.0	0.0	True	True
-0.005	-3.9e-05	0.36347505	-0.005	0.0	-0.0	True	True
-0.005	-3.8e-05	0.53328914	-0.005	-0.0	0.0	True	True
-0.005	-3.7e-05	0.43997403	-0.005	0.0	-0.0	True	True
-0.005	-3.6e-05	0.54858938	-0.005	0.0	0.0	True	True
-0.005	-3.5e-05	0.41667957	-0.005	-0.0	-0.0	True	True
-0.005	-3.4e-05	0.39710731	-0.005	0.0	0.0	True	True
-0.005	-3.3e-05	0.39503938	-0.005	-0.0	0.0	True	True
-0.005	-3.2e-05	0.33549417	-0.005	0.0	-0.0	True	True
-0.005	-3.1e-05	0.40703108	-0.005	0.0	0.0	True	True
-0.005	-3e-05	0.48670022	-0.005	-0.0	0.0	True	True
-0.005	-2.9e-05	0.53384044	-0.005	-0.0	0.0	True	True
-0.005	-2.8e-05	0.44920849	-0.005	-0.0	0.0	True	True
-0.005	-2.7e-05	0.48545998	-0.005	0.0	0.0	True	True
-0.005	-2.6e-05	0.40606612	-0.005	0.0	0.0	True	True
-0.005	-2.5e-05	0.58704644	-0.005	0.0	0.0	True	True
-0.005	-2.4e-05	0.5896653	-0.005	0.0	-0.0	True	True
-0.005	-2.3e-05	0.50241486	-0.005	0.0	0.0	True	True
-0.005	-2.2e-05	0.54541848	-0.005	0.0	-0.0	True	True
-0.005	-2.1e-05	1.08987359	-0.005	-0.0	-0.0	True	True
-0.005	-2e-05	-0.0942804	-0.005	0.0	-0.0	True	True
-0.005	-1.9e-05	-0.07815347	-0.005	0.0	-0.0	True	True
-0.005	-1.8e-05	0.08228833	-0.005	0.0	0.0	True	True
-0.005	-1.7e-05	-0.06133726	-0.005	-0.0	-0.0	True	True
-0.005	-1.6e-05	-0.11316366	-0.005	-0.0	0.0	True	True
-0.005	-1.5e-05	0.08242634	-0.005	-0.0	0.0	True	True
-0.005	-1.4e-05	-0.04272929	-0.005	0.0	0.0	True	True
-0.005	-1.3e-05	-0.07098583	-0.005	-0.0	0.0	True	True
-0.005	-1.2e-05	0.04107521	-0.005	-0.0	0.0	True	True
-0.005	-1.1e-05	0.08008299	-0.005	0.0	-0.0	True	True
-0.005	-1e-05	0.1086152	-0.005	0.0	0.0	True	True
-0.005	-9e-06	-0.04741569	-0.005	0.0	0.0	True	True
-0.005	-8e-06	-0.07319127	-0.005	0.0	0.0	True	True
-0.005	-7e-06	0.15093073	-0.005	0.0	0.0	True	True
-0.005	-6e-06	-0.00689179	-0.005	0.0	0.0	True	True
-0.005	-5e-06	0.04452106	-0.005	0.0	0.0	True	True
-0.005	-4e-06	-0.01047559	-0.005	-0.0	0.0	True	True
-0.005	-3e-06	0.04576171	-0.005	-0.0	-0.0	True	True
-0.005	-2e-06	-0.03569982	-0.005	0.0	0.0	True	True
-0.005	-1e-06	0.01075124	-0.005	0.0	-0.0	True	True
-0.005	0.0	-0.07691271	-0.005	-0.0	0.0	True	True
-0.005	1e-06	0.03583746	-0.005	-0.0	-0.0	True	True
-0.005	2e-06	0.01461075	-0.005	0.0	0.0	True	True
-0.005	3e-06	0.04879406	-0.005	0.0	-0.0	True	True
-0.005	4e-06	0.05375648	-0.005	-0.0	-0.0	True	True
-0.005	5e-06	-0.02122679	-0.005	-0.0	0.0	True	True
-0.005	6e-06	-0.10144775	-0.005	-0.0	-0.0	True	True
-0.005	7e-06	-0.07332908	-0.005	-0.0	-0.0	True	True
-0.005	8e-06	-0.06161283	-0.005	0.0	0.0	True	True
-0.005	9e-06	-0.10668536	-0.005	0.0	0.0	True	True
-0.005	1e-05	0.00330802	-0.005	-0.0	-0.0	True	True
-0.005	1.1e-05	0.02343217	-0.005	-0.0	0.0	True	True
-0.005	1.2e-05	0.0228808	-0.005	0.0	-0.0	True	True
-0.005	1.3e-05	-0.01654037	-0.005	0.0	0.0	True	True
-0.005	1.4e-05	-0.0587183	-0.005	0.0	-0.0	True	True
-0.005	1.5e-05	-0.12984203	-0.005	0.0	-0.0	True	True
-0.005	1.6e-05	0.08711269	-0.005	0.0	-0.0	True	True
-0.005	1.7e-05	-0.26299267	-0.005	-0.0	0.0	True	True
-0.005	1.8e-05	0.73770119	-0.005	0.0	0.0	True	True
