Initial Temperature (K)	0.050729
Excitation Current (A)	1.25e-07
Axis 1,2	x,y
Angle	0
Field (T)	Current (A)	        Resistance (Ohms)	            Actual X-Field	                Actual Y-Field	                    Actual Z-Field	                        Lock-In Overload Pass	                            Average Phase
-0.02	                -4.4e-05	                    0.05012773	                        -0.02	                            0.0	                                -0.0	                                    True	                                        3.4716
-0.02	                -4.3e-05	                    0.03674645	                        -0.02	                            0.0	                                -0.0	                                    True	                                        33.5664
-0.02	                -4.2e-05	                    0.01618275	                        -0.02	                            -0.0	                                -0.0	                                    True	                                        7.0716
-0.02	                -4.1e-05	                    0.02881898	                        -0.02	                            -0.0	                                0.0	                                    True	                                        10.236
-0.02	                -4e-05	                    0.04002477	                        -0.02	                            -0.0	                                -0.0	                                    True	                                        18.8256
-0.02	                -3.9e-05	                    0.03668686	                        -0.02	                            -0.0	                                0.0	                                    True	                                        45.336
-0.02	                -3.8e-05	                    0.01084809	                        -0.02	                            0.0	                                -0.0	                                    True	                                        16.9896
-0.02	                -3.7e-05	                    0.02369298	                        -0.02	                            0.0	                                -0.0	                                    True	                                        -13.6776
-0.02	                -3.6e-05	                    0.0635091	                        -0.02	                            0.0	                                -0.0	                                    True	                                        -11.874
-0.02	                -3.5e-05	                    0.04205131	                        -0.02	                            0.0	                                -0.0	                                    True	                                        12.9276
-0.02	                -3.4e-05	                    0.02393138	                        -0.02	                            0.0	                                0.0	                                    True	                                        -29.2044
-0.02	                -3.3e-05	                    0.03844522	                        -0.02	                            0.0	                                -0.0	                                    True	                                        7.2324
-0.02	                -3.2e-05	                    0.03197805	                        -0.02	                            -0.0	                                -0.0	                                    True	                                        27.8604
-0.02	                -3.1e-05	                    0.02717984	                        -0.02	                            0.0	                                0.0	                                    True	                                        -24.4968
-0.02	                -3e-05	                    0.03150123	                        -0.02	                            0.0	                                -0.0	                                    True	                                        55.3116
-0.02	                -2.9e-05	                    0.04115723	                        -0.02	                            -0.0	                                0.0	                                    True	                                        38.3916
-0.02	                -2.8e-05	                    0.01424562	                        -0.02	                            -0.0	                                -0.0	                                    True	                                        -52.4988
-0.02	                -2.7e-05	                    0.03936906	                        -0.02	                            0.0	                                0.0	                                    True	                                        21.8172
-0.02	                -2.6e-05	                    0.02172602	                        -0.02	                            -0.0	                                0.0	                                    True	                                        36.6192
-0.02	                -2.5e-05	                    0.05286962	                        -0.02	                            -0.0	                                0.0	                                    True	                                        19.6296
-0.02	                -2.4e-05	                    0.00113249	                        -0.02	                            0.0	                                -0.0	                                    True	                                        46.1244
-0.02	                -2.3e-05	                    0.02434864	                        -0.02	                            0.0	                                -0.0	                                    True	                                        49.2144
-0.02	                -2.2e-05	                    0.03203772	                        -0.02	                            0.0	                                0.0	                                    True	                                        12.7164
-0.02	                -2.1e-05	                    0.05766778	                        -0.02	                            0.0	                                0.0	                                    True	                                        2.9664
-0.02	                -2e-05	                    0.02095116	                        -0.02	                            0.0	                                0.0	                                    True	                                        64.6392
-0.02	                -1.9e-05	                    0.02181541	                        -0.02	                            -0.0	                                0.0	                                    True	                                        -2.7156
-0.02	                -1.8e-05	                    0.03841539	                        -0.02	                            0.0	                                0.0	                                    True	                                        31.2864
-0.02	                -1.7e-05	                    0.04762435	                        -0.02	                            0.0	                                0.0	                                    True	                                        8.5332
-0.02	                -1.6e-05	                    0.04488253	                        -0.02	                            0.0	                                0.0	                                    True	                                        -0.9504
-0.02	                -1.5e-05	                    0.01752382	                        -0.02	                            0.0	                                0.0	                                    True	                                        10.296
-0.02	                -1.4e-05	                    0.00423198	                        -0.02	                            0.0	                                0.0	                                    True	                                        -53.4168
-0.02	                -1.3e-05	                    -0.00089408	                        -0.02	                            -0.0	                                0.0	                                    True	                                        64.8324
-0.02	                -1.2e-05	                    0.02580898	                        -0.02	                            0.0	                                0.0	                                    True	                                        52.3584
-0.02	                -1.1e-05	                    0.01695761	                        -0.02	                            0.0	                                0.0	                                    True	                                        12.4116
-0.02	                -1e-05	                    0.04753501	                        -0.02	                            -0.0	                                -0.0	                                    True	                                        -16.4088
