Initial Temperature (K)	0.0500747
Resistor	1000000.0	Excitation Current (A)	1.351e-08
Axis 1,2	x,z
Angle	0
Field (T)	Current (A)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field	Lock-In Overload Pass	Compliance Pass
-0.005	-4.5e-05	0.34941505	-0.005	-0.0	-0.0	True	True
-0.005	-4.4e-05	0.40358564	-0.005	-0.0	0.0	True	True
-0.005	-4.3e-05	0.48463303	-0.005	-0.0	0.0	True	True
-0.005	-4.2e-05	0.45527427	-0.005	0.0	0.0	True	True
-0.005	-4.1e-05	0.49345494	-0.005	-0.0	0.0	True	True
-0.005	-4e-05	0.3578233	-0.005	-0.0	0.0	True	True
-0.005	-3.9e-05	0.45361926	-0.005	0.0	0.0	True	True
-0.005	-3.8e-05	0.53384081	-0.005	-0.0	0.0	True	True
-0.005	-3.7e-05	0.39062898	-0.005	-0.0	0.0	True	True
-0.005	-3.6e-05	0.48339279	-0.005	-0.0	-0.0	True	True
-0.005	-3.5e-05	0.40896026	-0.005	-0.0	-0.0	True	True
-0.005	-3.4e-05	0.46106255	-0.005	0.0	0.0	True	True
-0.005	-3.3e-05	0.42922331	-0.005	0.0	-0.0	True	True
-0.005	-3.2e-05	0.42880928	-0.005	0.0	0.0	True	True
-0.005	-3.1e-05	0.48697587	-0.005	-0.0	0.0	True	True
-0.005	-3e-05	0.42812034	-0.005	0.0	0.0	True	True
-0.005	-2.9e-05	0.36981537	-0.005	-0.0	-0.0	True	True
-0.005	-2.8e-05	0.39435044	-0.005	-0.0	0.0	True	True
-0.005	-2.7e-05	0.48394409	-0.005	-0.0	0.0	True	True
-0.005	-2.6e-05	0.38649312	-0.005	-0.0	0.0	True	True
-0.005	-2.5e-05	0.52019484	-0.005	0.0	0.0	True	True
-0.005	-2.4e-05	0.63487486	-0.005	-0.0	0.0	True	True
-0.005	-2.3e-05	0.51661102	-0.005	-0.0	-0.0	True	True
-0.005	-2.2e-05	0.47898202	-0.005	0.0	0.0	True	True
-0.005	-2.1e-05	1.17629682	-0.005	-0.0	-0.0	True	True
-0.005	-2e-05	0.08973162	-0.005	0.0	-0.0	True	True
-0.005	-1.9e-05	0.00013786	-0.005	0.0	0.0	True	True
-0.005	-1.8e-05	-0.05926952	-0.005	-0.0	0.0	True	True
-0.005	-1.7e-05	-0.10778836	-0.005	-0.0	-0.0	True	True
-0.005	-1.6e-05	0.05747801	-0.005	0.0	0.0	True	True
-0.005	-1.5e-05	-0.03404559	-0.005	0.0	-0.0	True	True
-0.005	-1.4e-05	-0.03032405	-0.005	-0.0	0.0	True	True
-0.005	-1.3e-05	-0.00496211	-0.005	0.0	0.0	True	True
-0.005	-1.2e-05	-0.01695389	-0.005	0.0	0.0	True	True
-0.005	-1.1e-05	-0.01226746	-0.005	0.0	0.0	True	True
-0.005	-1e-05	0.12846333	-0.005	0.0	0.0	True	True
-0.005	-9e-06	0.09552084	-0.005	0.0	0.0	True	True
-0.005	-8e-06	-0.05499673	-0.005	-0.0	-0.0	True	True
-0.005	-7e-06	-0.00813239	-0.005	0.0	0.0	True	True
-0.005	-6e-06	-0.01971067	-0.005	-0.0	-0.0	True	True
-0.005	-5e-06	-0.05761561	-0.005	-0.0	-0.0	True	True
-0.005	-4e-06	0.0414887	-0.005	0.0	-0.0	True	True
-0.005	-3e-06	0.06753984	-0.005	-0.0	-0.0	True	True
-0.005	-2e-06	-0.17932516	-0.005	0.0	0.0	True	True
-0.005	-1e-06	0.00689186	-0.005	-0.0	-0.0	True	True
-0.005	0.0	-0.01612685	-0.005	-0.0	0.0	True	True
-0.005	1e-06	0.03680231	-0.005	0.0	-0.0	True	True
-0.005	2e-06	0.02095121	-0.005	0.0	0.0	True	True
-0.005	3e-06	-0.01171612	-0.005	-0.0	0.0	True	True
-0.005	4e-06	0.013508	-0.005	-0.0	-0.0	True	True
-0.005	5e-06	0.02026193	-0.005	0.0	0.0	True	True
-0.005	6e-06	-0.10792597	-0.005	-0.0	0.0	True	True
-0.005	7e-06	0.07167507	-0.005	0.0	0.0	True	True
-0.005	8e-06	0.02660241	-0.005	-0.0	0.0	True	True
-0.005	9e-06	-0.09993152	-0.005	0.0	-0.0	True	True
-0.005	1e-05	-0.00317022	-0.005	0.0	-0.0	True	True
-0.005	1.1e-05	0.05058607	-0.005	0.0	-0.0	True	True
-0.005	1.2e-05	-0.00923508	-0.005	-0.0	0.0	True	True
-0.005	1.3e-05	-0.02150254	-0.005	-0.0	0.0	True	True
-0.005	1.4e-05	0.04162662	-0.005	0.0	0.0	True	True
-0.005	1.5e-05	0.0516887	-0.005	0.0	-0.0	True	True
-0.005	1.6e-05	0.07553435	-0.005	0.0	0.0	True	True
-0.005	1.7e-05	1.33798031	-0.005	0.0	0.0	True	True
-0.005	1.8e-05	0.56733506	-0.005	-0.0	-0.0	True	True
-0.005	1.9e-05	0.69138829	-0.005	0.0	0.0	True	True
-0.005	2e-05	0.46037398	-0.005	0.0	0.0	True	True
-0.005	2.1e-05	0.5032407	-0.005	-0.0	0.0	True	True
-0.005	2.2e-05	0.37077996	-0.005	0.0	0.0	True	True
-0.005	2.3e-05	0.48477104	-0.005	-0.0	-0.0	True	True
-0.005	2.4e-05	0.50985704	-0.005	-0.0	-0.0	True	True
-0.005	2.5e-05	0.5756053	-0.005	-0.0	-0.0	True	True
-0.005	2.6e-05	0.37146927	-0.005	0.0	0.0	True	True
-0.005	2.7e-05	0.58980257	-0.005	0.0	0.0	True	True
-0.005	2.8e-05	0.48297876	-0.005	0.0	0.0	True	True
-0.005	2.9e-05	0.38221999	-0.005	0.0	-0.0	True	True
-0.005	3e-05	0.3561694	-0.005	0.0	-0.0	True	True
-0.005	3.1e-05	0.50255176	-0.005	-0.0	-0.0	True	True
-0.005	3.2e-05	0.56457856	-0.005	-0.0	0.0	True	True
-0.005	3.3e-05	0.53742389	-0.005	0.0	0.0	True	True
-0.005	3.4e-05	0.41516368	-0.005	0.0	0.0	True	True
-0.005	3.5e-05	0.42412286	-0.005	-0.0	0.0	True	True
-0.005	3.6e-05	0.42494944	-0.005	0.0	0.0	True	True
-0.005	3.7e-05	0.26147641	-0.005	0.0	-0.0	True	True
-0.005	3.8e-05	0.20813318	-0.005	0.0	0.0	True	True
-0.005	3.9e-05	0.36264773	-0.005	0.0	0.0	True	True
-0.005	4e-05	0.29993236	-0.005	-0.0	-0.0	True	True
-0.005	4.1e-05	0.46382016	-0.005	0.0	0.0	True	True
-0.005	4.2e-05	0.36829948	-0.005	0.0	-0.0	True	True
-0.005	4.3e-05	0.47250332	-0.005	-0.0	0.0	True	True
-0.005	4.4e-05	0.43239273	-0.005	-0.0	0.0	True	True
-0.005	4.5e-05	0.34734749	-0.005	-0.0	-0.0	True	True
-0.005	4.6e-05	0.46271756	-0.005	0.0	0.0	True	True
-0.005	4.7e-05	0.44783098	-0.005	-0.0	0.0	True	True
-0.005	4.8e-05	0.51798964	-0.005	0.0	0.0	True	True
-0.005	4.9e-05	0.37174455	-0.005	0.0	0.0	True	True
-0.005	5e-05	0.42040103	-0.005	0.0	-0.0	True	True
-0.005	5.1e-05	0.36719614	-0.005	0.0	0.0	True	True
-0.005	5.2e-05	0.31991902	-0.005	0.0	-0.0	True	True
-0.005	5.3e-05	0.33618274	-0.005	0.0	0.0	True	True
-0.005	5.4e-05	0.41916042	-0.005	0.0	0.0	True	True
-0.005	5.5e-05	0.3212969	-0.005	0.0	0.0	True	True
-0.005	5.6e-05	0.32832616	-0.005	0.0	-0.0	True	True
-0.005	5.7e-05	0.30985613	-0.005	0.0	0.0	True	True
-0.005	5.8e-05	0.49262688	-0.005	0.0	0.0	True	True
-0.005	5.9e-05	0.38346097	-0.005	0.0	0.0	True	True
-0.005	6e-05	0.43542488	-0.005	0.0	-0.0	True	True
-0.005	6.1e-05	0.29814008	-0.005	-0.0	-0.0	True	True
-0.005	6.2e-05	0.3670585	-0.005	-0.0	-0.0	True	True
-0.005	6.3e-05	0.38621821	-0.005	0.0	0.0	True	True
-0.005	6.4e-05	0.47636316	-0.005	0.0	0.0	True	True
-0.005	6.5e-05	0.41750726	-0.005	0.0	-0.0	True	True
-0.005	6.6e-05	0.33328871	-0.005	-0.0	0.0	True	True
-0.005	6.7e-05	0.45637687	-0.005	0.0	-0.0	True	True
-0.005	6.8e-05	0.32846454	-0.005	-0.0	0.0	True	True
-0.005	6.9e-05	0.38166943	-0.005	-0.0	-0.0	True	True
-0.005	7e-05	0.34831245	-0.005	-0.0	-0.0	True	True
-0.005	7.1e-05	0.26450838	-0.005	0.0	-0.0	True	True
-0.005	7.2e-05	0.43432265	-0.005	0.0	0.0	True	True
-0.005	7.3e-05	0.47746576	-0.005	-0.0	-0.0	True	True
-0.005	7.4e-05	0.46133857	-0.005	-0.0	0.0	True	True
-0.005	7.5e-05	0.48973274	-0.005	0.0	0.0	True	True
-0.005	7.6e-05	0.4487952	-0.005	0.0	0.0	True	True
-0.005	7.7e-05	0.6103409	-0.005	0.0	0.0	True	True
-0.005	7.8e-05	0.39641763	-0.005	0.0	0.0	True	True
-0.005	7.9e-05	0.50324107	-0.005	0.0	0.0	True	True
-0.005	8e-05	0.38566617	-0.005	0.0	0.0	True	True
-0.005	8.1e-05	0.56278628	-0.005	0.0	0.0	True	True
-0.005	8.2e-05	0.35685908	-0.005	0.0	0.0	True	True
-0.005	8.3e-05	0.29014623	-0.005	-0.0	0.0	True	True
-0.005	8.4e-05	0.52226203	-0.005	0.0	0.0	True	True
-0.005	8.5e-05	0.3390778	-0.005	0.0	-0.0	True	True
-0.005	8.6e-05	0.376845	-0.005	0.0	0.0	True	True
-0.005	8.7e-05	0.40000145	-0.005	0.0	-0.0	True	True
-0.005	8.8e-05	0.31964337	-0.005	0.0	-0.0	True	True
-0.005	8.9e-05	0.45113878	-0.005	0.0	-0.0	True	True
-0.005	9e-05	0.45844443	-0.005	0.0	0.0	True	True
-0.005	9.1e-05	0.29042151	-0.005	-0.0	0.0	True	True
-0.005	9.2e-05	0.38911235	-0.005	0.0	0.0	True	True
-0.005	9.3e-05	0.4111662	-0.005	0.0	0.0	True	True
-0.005	9.4e-05	0.42687936	-0.005	0.0	0.0	True	True
-0.005	9.5e-05	0.48504706	-0.005	-0.0	-0.0	True	True
-0.005	9.6e-05	0.53728625	-0.005	0.0	0.0	True	True
-0.005	9.7e-05	0.33273693	-0.005	0.0	-0.0	True	True
-0.005	9.8e-05	0.35286123	-0.005	0.0	-0.0	True	True
-0.005	9.9e-05	0.40992596	-0.005	0.0	0.0	True	True
-0.005	0.0001	0.35754765	-0.005	0.0	0.0	True	True
-0.005	0.000101	0.24672706	-0.005	0.0	0.0	True	True
