Initial Temperature (K)	0.0277395
Resistor	201600.0	Excitation Current (A)	6.12e-08
Axis 1,2	x,z
Angle	0
Field (T)	Current (A)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field	Compliance Pass
-0.02	-0.00019841	0.53625098	-0.02	0.0	-0.0	True
-0.02	-0.00019593	0.56507843	-0.02	0.0	-0.0001	True
-0.02	-0.00019345	0.59819281	-0.02	0.0	-0.0001	True
-0.02	-0.00019097	0.62565817	-0.02	-0.0	-0.0	True
-0.02	-0.00018849	0.57423464	-0.02	0.0	0.0	True
-0.02	-0.00018601	0.60325752	-0.02	-0.0	0.0001	True
-0.02	-0.00018353	0.65331765	-0.02	0.0	-0.0	True
-0.02	-0.00018105	0.59955686	-0.02	0.0	-0.0	True
-0.02	-0.00017857	0.59955686	-0.02	0.0	-0.0001	True
-0.02	-0.00017609	0.53839346	-0.02	0.0	0.0001	True
-0.02	-0.00017361	0.5802719	-0.02	-0.0	0.0	True
-0.02	-0.00017113	0.5707281	-0.02	-0.0	0.0001	True
-0.02	-0.00016865	0.5765719	-0.02	-0.0	0.0	True
-0.02	-0.00016617	0.57890915	-0.02	-0.0	0.0	True
-0.02	-0.00016369	0.55378105	-0.02	-0.0	0.0001	True
-0.02	-0.00016121	0.57520784	-0.02	0.0	0.0001	True
-0.02	-0.00015873	0.56391046	-0.02	0.0	-0.0	True
-0.02	-0.00015625	0.53683399	-0.02	0.0	-0.0	True
-0.02	-0.00015377	0.54228824	-0.02	0.0	-0.0001	True
-0.02	-0.00015129	0.61007516	-0.02	-0.0	0.0	True
-0.02	-0.00014881	0.5561183	-0.02	0.0	0.0	True
-0.02	-0.00014633	0.61358105	-0.02	0.0	0.0001	True
-0.02	-0.00014385	0.55047059	-0.02	0.0	0.0	True
-0.02	-0.00014137	0.62078758	-0.02	0.0	0.0	True
-0.02	-0.00013889	0.46047712	-0.02	0.0	-0.0001	True
-0.02	-0.00013641	0.52631634	-0.02	-0.0	-0.0	True
-0.02	-0.00013393	0.63637059	-0.02	0.0	0.0	True
-0.02	-0.00013145	0.61143856	-0.02	-0.0	-0.0	True
-0.02	-0.00012897	0.56196209	-0.02	0.0	0.0	True
-0.02	-0.00012649	0.57286993	-0.02	0.0	-0.0	True
-0.02	-0.00012401	0.5058634	-0.02	0.0	-0.0	True
-0.02	-0.00012153	0.55027451	-0.02	-0.0	0.0	True
-0.02	-0.00011905	0.52261503	-0.02	-0.0	0.0	True
-0.02	-0.00011657	0.58864837	-0.02	0.0	0.0001	True
-0.02	-0.00011409	0.67006928	-0.02	0.0	-0.0	True
-0.02	-0.00011161	0.57637647	-0.02	-0.0	-0.0	True
-0.02	-0.00010913	0.55904052	-0.02	-0.0	-0.0	True
-0.02	-0.00010665	0.4898902	-0.02	-0.0	-0.0	True
-0.02	-0.00010417	0.70454641	-0.02	-0.0	-0.0001	True
-0.02	-0.00010169	0.57754575	-0.02	0.0	-0.0001	True
-0.02	-9.921e-05	0.55397516	-0.02	0.0	-0.0001	True
-0.02	-9.673e-05	0.48696863	-0.02	0.0	0.0	True
-0.02	-9.425e-05	0.61845033	-0.02	0.0	-0.0	True
-0.02	-9.177e-05	0.66266732	-0.02	0.0	0.0001	True
-0.02	-8.929e-05	0.56040458	-0.02	0.0	0.0001	True
-0.02	-8.681e-05	0.57949281	-0.02	0.0	-0.0	True
