Started December 28, 2022 23:37:30Resistor	201600.0	Excitation Current (A)	6.12e-08
Restsitance (Ohms)	Channel 5 Temp (K)	Channel 8 Temp (K)	Channel 13 Temp (K)
2.26051307	14.8635	14.8568	6.11851
2.30336601	14.8635	14.8568	6.11851
2.24298039	14.8635	14.8568	6.11851
2.27414706	14.8635	14.8568	6.11851
2.31894771	14.8635	14.8568	6.11851
2.17578105	14.8635	14.8568	6.11851
2.21570915	14.8635	14.7903	6.11851
2.22934641	14.8635	14.7903	6.11851
2.26246078	14.8635	14.7903	6.11851
2.317	14.8635	14.7903	6.11851
2.26538235	14.8635	14.7903	6.11851
2.29459804	14.8635	14.7903	6.11851
2.26051307	14.8635	14.7903	6.08419
2.34816667	14.8635	14.7903	6.08419
2.34816667	14.8635	14.7903	6.08419
2.31992157	14.8635	14.7903	6.08419
2.32381699	14.8635	14.7903	6.08419
2.20499673	14.8635	14.7903	6.08419
2.27804248	14.8635	14.7903	6.08419
2.22837255	14.8635	14.7903	6.08419
2.37543464	14.8635	14.7903	6.08419
2.22934641	14.8635	14.7903	6.08419
2.25271895	14.8635	14.7903	6.08419
2.22837255	14.8635	14.7903	6.08419
2.33939869	14.8635	14.7903	6.08419
2.26927778	14.8635	14.7903	6.08419
2.37446078	14.8635	14.7903	6.08419
2.31992157	14.8635	14.7903	6.08419
2.32089542	14.8635	14.7903	6.08419
2.28778105	14.6542	14.7903	6.08419
2.19720588	14.6542	14.7903	6.08419
2.29946732	14.6542	14.7903	6.08419
2.23811111	14.6542	14.7903	6.08419
2.28485948	14.6542	14.7903	6.08419
2.2361634	14.6542	14.7903	6.08419
2.33452941	14.6542	14.7159	6.08419
2.28485948	14.6542	14.7159	6.08419
2.29751961	14.6542	14.7159	6.08419
2.29070261	14.6542	14.7159	6.08419
2.30920915	14.6542	14.7159	6.08419
2.32576471	14.6542	14.7159	6.08419
2.24590196	14.6542	14.7159	6.09238
2.26246078	14.6542	14.7159	6.09238
2.24005882	14.6542	14.7159	6.09238
2.30628758	14.6542	14.7159	6.09238
2.25077124	14.6542	14.7159	6.09238
2.22155556	14.6542	14.7159	6.09238
2.35595752	14.6542	14.7159	6.09238
2.31797386	14.6542	14.7159	6.09238
2.27804248	14.6542	14.7159	6.09238
2.29265033	14.6542	14.7159	6.09238
2.23811111	14.6542	14.7159	6.09238
2.23713725	14.6542	14.7159	6.09238
2.26830392	14.6542	14.7159	6.09238
2.2731732	14.6542	14.7159	6.09238
2.24784967	14.6542	14.7159	6.09238
2.25466667	14.6542	14.7159	6.09238
2.25661438	14.6542	14.7159	6.09238
2.2955719	14.4772	14.7159	6.09238
2.20304902	14.4772	14.7159	6.09238
2.25466667	14.4772	14.7159	6.09238
2.29167647	14.4772	14.7159	6.09238
2.29362418	14.4772	14.7159	6.09238
2.21960784	14.4772	14.6456	6.09238
2.22252941	14.4772	14.6456	6.09238
2.2887549	14.4772	14.6456	6.09238
2.30531373	14.4772	14.6456	6.09238
2.31213072	14.4772	14.6456	6.09238
2.30239216	14.4772	14.6456	6.09238
2.32771242	14.4772	14.6456	6.09238
2.24200654	14.4772	14.6456	6.07806
2.33355556	14.4772	14.6456	6.07806
2.31115686	14.4772	14.6456	6.07806
2.26148693	14.4772	14.6456	6.07806
2.31992157	14.4772	14.6456	6.07806
2.27804248	14.4772	14.6456	6.07806
2.31115686	14.4772	14.6456	6.07806
2.24103268	14.4772	14.6456	6.07806
2.2887549	14.4772	14.6456	6.07806
2.23811111	14.4772	14.6456	6.07806
2.2079183	14.4772	14.6456	6.07806
2.25466667	14.4772	14.6456	6.07806
2.30823529	14.4772	14.6456	6.07806
2.28485948	14.4772	14.6456	6.07806
2.15240523	14.4772	14.6456	6.07806
2.20207516	14.4772	14.6456	6.07806
2.20694444	14.4772	14.6456	6.07806
2.24979739	14.6138	14.6456	6.07806
2.22934641	14.6138	14.6456	6.07806
2.25953922	14.6138	14.6456	6.07806
2.28485948	14.6138	14.6456	6.07806
