Initial Temperature (K)	0.0521189
Resistor	201600.0	Excitation Current (A)	6.12e-08
Axis 1,2	x,z
Angle	0
Field (T)	Current (A)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field	Compliance Pass
-0.003	-0.00021081	0.57000864	-0.003	0.0	-0.0	True
-0.003	-0.00020957	0.48381321	-0.003	-0.0	0.0	True
-0.003	-0.00020833	0.59265372	-0.003	0.0	0.0	True
-0.003	-0.00020709	0.47796913	-0.003	0.0	0.0	True
-0.003	-0.00020585	0.51717093	-0.003	0.0	-0.0	True
-0.003	-0.00020461	0.54979906	-0.003	0.0	-0.0	True
-0.003	-0.00020337	0.58948943	-0.003	-0.0	0.0	True
-0.003	-0.00020213	0.50499829	-0.003	0.0	0.0	True
-0.003	-0.00020089	0.63696837	-0.003	-0.0	0.0	True
-0.003	-0.00019965	0.54833825	-0.003	-0.0	-0.0	True
-0.003	-0.00019841	0.5254497	-0.003	-0.0	-0.0	True
-0.003	-0.00019717	0.48405668	-0.003	-0.0	0.0	True
-0.003	-0.00019593	0.60141861	-0.003	-0.0	0.0	True
-0.003	-0.00019469	0.52204195	-0.003	-0.0	0.0	True
-0.003	-0.00019345	0.5712268	-0.003	0.0	0.0	True
-0.003	-0.00019221	0.53932989	-0.003	0.0	0.0	True
-0.003	-0.00019097	0.56806088	-0.003	0.0	0.0	True
-0.003	-0.00018973	0.57536659	-0.003	-0.0	-0.0	True
-0.003	-0.00018849	0.58607923	-0.003	-0.0	-0.0	True
-0.003	-0.00018725	0.57536659	-0.003	-0.0	0.0	True
-0.003	-0.00018601	0.53153806	-0.003	-0.0	0.0	True
-0.003	-0.00018477	0.54419927	-0.003	-0.0	-0.0	True
-0.003	-0.00018353	0.60263759	-0.003	0.0	0.0	True
-0.003	-0.00018229	0.57658312	-0.003	-0.0	0.0	True
-0.003	-0.00018105	0.53299888	-0.003	0.0	-0.0	True
-0.003	-0.00017981	0.53080684	-0.003	0.0	0.0	True
-0.003	-0.00017857	0.57658394	-0.003	-0.0	-0.0	True
-0.003	-0.00017733	0.58608005	-0.003	0.0	0.0	True
-0.003	-0.00017609	0.51376155	-0.003	0.0	0.0	True
-0.003	-0.00017485	0.57828822	-0.003	0.0	-0.0	True
-0.003	-0.00017361	0.58802699	-0.003	0.0	0.0	True
-0.003	-0.00017237	0.56294803	-0.003	-0.0	0.0	True
-0.003	-0.00017113	0.58291413	-0.003	0.0	0.0	True
-0.003	-0.00016989	0.55905171	-0.003	0.0	-0.0	True
-0.003	-0.00016865	0.57901863	-0.003	0.0	-0.0	True
-0.003	-0.00016741	0.487953	-0.003	-0.0	-0.0	True
-0.003	-0.00016617	0.49720483	-0.003	0.0	0.0	True
-0.003	-0.00016493	0.55759171	-0.003	-0.0	0.0	True
-0.003	-0.00016369	0.51814562	-0.003	-0.0	0.0	True
-0.003	-0.00016245	0.58388801	-0.003	0.0	0.0	True
-0.003	-0.00016121	0.53299888	-0.003	-0.0	-0.0	True
-0.003	-0.00015997	0.53007725	-0.003	0.0	-0.0	True
-0.003	-0.00015873	0.59947085	-0.003	-0.0	-0.0	True
-0.003	-0.00015749	0.50986767	-0.003	-0.0	0.0	True
-0.003	-0.00015625	0.56392272	-0.003	0.0	-0.0	True
-0.003	-0.00015501	0.52861561	-0.003	-0.0	0.0	True
-0.003	-0.00015377	0.58754086	-0.003	0.0	0.0	True
-0.003	-0.00015253	0.58973127	-0.003	0.0	0.0	True
-0.003	-0.00015129	0.53056337	-0.003	-0.0	0.0	True
-0.003	-0.00015005	0.58169679	-0.003	-0.0	-0.0	True
-0.003	-0.00014881	0.56611313	-0.003	0.0	0.0	True
-0.003	-0.00014757	0.56221681	-0.003	-0.0	-0.0	True
-0.003	-0.00014633	0.51619869	-0.003	0.0	0.0	True
-0.003	-0.00014509	0.55101723	-0.003	-0.0	-0.0	True
-0.003	-0.00014385	0.60921125	-0.003	-0.0	0.0	True
-0.003	-0.00014261	0.59021984	-0.003	0.0	0.0	True
-0.003	-0.00014137	0.54468621	-0.003	-0.0	-0.0	True
-0.003	-0.00014013	0.56173069	-0.003	0.0	-0.0	True
-0.003	-0.00013889	0.52764174	-0.003	0.0	0.0	True
-0.003	-0.00013765	0.55929518	-0.003	0.0	-0.0	True
-0.003	-0.00013641	0.58218454	-0.003	-0.0	-0.0	True
-0.003	-0.00013517	0.58291495	-0.003	-0.0	0.0	True
-0.003	-0.00013393	0.62284634	-0.003	0.0	-0.0	True
-0.003	-0.00013269	0.62211593	-0.003	0.0	-0.0	True
-0.003	-0.00013145	0.63721265	-0.003	-0.0	-0.0	True
-0.003	-0.00013021	0.5880278	-0.003	0.0	0.0	True
-0.003	-0.00012897	0.63112511	-0.003	-0.0	-0.0	True
-0.003	-0.00012773	0.54492968	-0.003	-0.0	-0.0	True
-0.003	-0.00012649	0.61822043	-0.003	-0.0	0.0	True
-0.003	-0.00012525	0.59241025	-0.003	0.0	0.0	True
-0.003	-0.00012401	0.57147027	-0.003	0.0	0.0	True
-0.003	-0.00012277	0.66204732	-0.003	0.0	0.0001	True
-0.003	-0.00012153	0.55393804	-0.003	0.0	0.0	True
-0.003	-0.00012029	0.61481104	-0.003	0.0	-0.0	True
-0.003	-0.00011905	0.61797696	-0.003	0.0	-0.0	True
-0.003	-0.00011781	0.61164594	-0.003	-0.0	0.0	True
-0.003	-0.00011657	0.60969737	-0.003	0.0	-0.0	True
-0.003	-0.00011533	0.58656617	-0.003	-0.0	-0.0	True
-0.003	-0.00011409	0.54468539	-0.003	0.0	-0.0	True
-0.003	-0.00011285	0.57025292	-0.003	-0.0	0.0	True
-0.003	-0.00011161	0.65474325	-0.003	0.0	0.0	True
-0.003	-0.00011037	0.64232469	-0.003	0.0	0.0	True
-0.003	-0.00010913	0.72584196	-0.003	-0.0	-0.0	True
-0.003	-0.00010789	0.62138553	-0.003	0.0	0.0	True
-0.003	-0.00010665	0.6496304	-0.003	0.0	-0.0	True
-0.003	-0.00010541	0.61383798	-0.003	0.0	-0.0	True
-0.003	-0.00010417	0.67373468	-0.003	0.0	0.0	True
-0.003	-0.00010293	0.01607031	-0.003	-0.0	0.0	True
-0.003	-0.00010169	0.00365237	-0.003	-0.0	-0.0	True
-0.003	-0.00010045	-0.00413938	-0.003	-0.0	0.0	True
-0.003	-9.921e-05	-0.00706129	-0.003	-0.0	0.0	True
-0.003	-9.797e-05	-0.01753124	-0.003	0.0	-0.0	True
-0.003	-9.673e-05	-0.01680079	-0.003	-0.0	-0.0	True
-0.003	-9.549e-05	-0.0248359	-0.003	-0.0	0.0	True
-0.003	-9.425e-05	0.00316533	-0.003	-0.0	-0.0	True
-0.003	-9.301e-05	-0.0350625	-0.003	-0.0	-0.0	True
-0.003	-9.177e-05	-0.06233328	-0.003	-0.0	-0.0	True
-0.003	-9.053e-05	-0.06330718	-0.003	-0.0	0.0	True
-0.003	-8.929e-05	-0.09325636	-0.003	-0.0	0.0	True
-0.003	-8.805e-05	-0.0825429	-0.003	0.0	0.0	True
-0.003	-8.681e-05	0.05405458	-0.003	-0.0	0.0	True
-0.003	-8.557e-05	-0.00511325	-0.003	0.0	0.0	True
-0.003	-8.433e-05	-0.01047005	-0.003	0.0	0.0001	True
-0.003	-8.309e-05	-0.011931	-0.003	-0.0	-0.0	True
-0.003	-8.185e-05	0.00048699	-0.003	-0.0	-0.0	True
-0.003	-8.061e-05	-0.02434893	-0.003	-0.0	0.0	True
-0.003	-7.937e-05	0.0180182	-0.003	-0.0	0.0	True
-0.003	-7.812e-05	-0.00584375	-0.003	0.0	0.0	True
-0.003	-7.688e-05	0.00316535	-0.003	-0.0	0.0	True
-0.003	-7.564e-05	0.01874861	-0.003	0.0	0.0	True
-0.003	-7.44e-05	-0.03725395	-0.003	0.0	-0.0	True
-0.003	-7.316e-05	-0.00292187	-0.003	0.0	0.0	True
-0.003	-7.192e-05	-0.04455863	-0.003	-0.0	0.0	True
-0.003	-7.068e-05	0.01923572	-0.003	0.0	0.0	True
-0.003	-6.944e-05	-0.01582684	-0.003	0.0	-0.0	True
-0.003	-6.82e-05	-0.03920182	-0.003	0.0	0.0	True
-0.003	-6.696e-05	0.04017568	-0.003	-0.0	0.0	True
-0.003	-6.572e-05	-0.01436591	-0.003	-0.0	-0.0	True
-0.003	-6.448e-05	0.00340885	-0.003	0.0	0.0	True
-0.003	-6.324e-05	-0.02727084	-0.003	-0.0	0.0	True
-0.003	-6.2e-05	-0.06014176	-0.003	0.0	-0.0	True
-0.003	-6.076e-05	0.01460941	-0.003	0.0	0.0	True
-0.003	-5.952e-05	-0.05113289	-0.003	-0.0	-0.0	True
-0.003	-5.828e-05	0.00316535	-0.003	0.0	0.0	True
-0.003	-5.704e-05	-0.03433204	-0.003	0.0	0.0	True
-0.003	-5.58e-05	-0.02069658	-0.003	-0.0	0.0	True
-0.003	-5.456e-05	-0.00462627	-0.003	-0.0	0.0	True
-0.003	-5.332e-05	0.01071353	-0.003	0.0	-0.0	True
-0.003	-5.208e-05	0.0143659	-0.003	0.0	-0.0	True
-0.003	-5.084e-05	-0.03311458	-0.003	0.0	0.0	True
-0.003	-4.96e-05	0.05210668	-0.003	-0.0	-0.0	True
-0.003	-4.836e-05	-0.01801824	-0.003	-0.0	-0.0	True
-0.003	-4.712e-05	0.04796737	-0.003	0.0	0.0	True
-0.003	-4.588e-05	-0.02580986	-0.003	0.0	-0.0	True
-0.003	-4.464e-05	0.0255664	-0.003	-0.0	-0.0	True
-0.003	-4.34e-05	-0.04334118	-0.003	0.0	0.0	True
-0.003	-4.216e-05	0.00633071	-0.003	0.0	-0.0	True
-0.003	-4.092e-05	-0.01558331	-0.003	-0.0	-0.0	True
-0.003	-3.968e-05	0.02361847	-0.003	0.0	0.0	True
-0.003	-3.844e-05	0.01680078	-0.003	-0.0	-0.0	True
-0.003	-3.72e-05	0.00779164	-0.003	0.0	0.0	True
