Initial Temperature (K)	0.0249733
Excitation Current (A)	7.092597402597402e-13
Axis 1,2	y,z
Angle	14
Field (T)	Current (A)	Resistance (Ohms)
-0.8	-9e-05	0.10394545
-0.8	-8.5e-05	0.08891391
-0.8	-8e-05	0.10014565
-0.8	-7.5e-05	0.0997545
-0.8	-7e-05	0.08882075
-0.8	-6.5e-05	0.0982551
-0.8	-6e-05	0.1035637
-0.8	-5.5e-05	0.05627075
-0.8	-5e-05	0.07160054
-0.8	-4.5e-05	0.1080993
-0.8	-4e-05	0.08015
-0.8	-3.5e-05	0.0958709
-0.8	-3e-05	0.0624827
-0.8	-2.5e-05	0.1048116
-0.8	-2e-05	0.1244906
-0.8	-1.5e-05	0.0833445
-0.8	-1e-05	0.05967955
-0.8	-5e-06	0.10561255
-0.8	0.0	0.1138362
-0.8	5e-06	0.09737035
-0.8	1e-05	0.09003145
-0.8	1.5e-05	0.10408515
-0.8	2e-05	0.1082482
-0.8	2.5e-05	0.08242245
-0.8	3e-05	0.08320475
-0.8	3.5e-05	0.07836205
-0.8	4e-05	0.0807089
-0.8	4.5e-05	0.1012912
-0.8	5e-05	0.1363184
-0.8	5.5e-05	0.0908697
-0.8	6e-05	0.09116765
-0.8	6.5e-05	0.097836
-0.8	7e-05	0.10536105
-0.8	7.5e-05	0.08928645
-0.8	8e-05	0.05948396
-0.8	8.5e-05	0.0859615
-0.8	9e-05	0.10377785
-0.8	9.5e-05	0.08870895
-0.8	0.0001	0.09580565
-0.8	0.000105	0.0870419
-0.8	0.00011	0.097687
-0.8	0.000115	0.1162763
-0.8	0.00012	0.08146315
-0.8	0.000125	0.083773
-0.8	0.00013	0.07999175
-0.8	0.000135	0.10855555
-0.8	0.00014	0.0691976
-0.8	0.000145	0.093943
-0.8	0.00015	0.0982085
-0.8	0.000155	0.07716045
-0.8	0.00016	0.09002215
-0.8	0.000165	0.07649925
-0.8	0.00017	0.0688717
-0.8	0.000175	0.1142646
-0.8	0.00018	0.08483465
-0.8	0.000185	0.08017805
-0.8	0.00019	0.0892957
-0.8	0.000195	0.0943901
-0.8	0.0002	0.1000432
-0.75	0.0002	0.1086115
-0.75	0.000195	0.07965645
-0.75	0.00019	0.1168351
-0.75	0.000185	0.0871165
-0.75	0.00018	0.10562195
-0.75	0.000175	0.0939896
