Initial Temperature (K)	0.02513
Excitation Current (A)	2e-07
Axis 1,2	x,y
Angle	0
Field (T)	Current (A)	Resistance (Ohms)
-0.09	-1.2e-05	0.100502
-0.09	-1e-05	0.109005
-0.09	-8e-06	0.09643665
-0.09	-6e-06	0.10360795
-0.09	-4e-06	0.10769415
-0.09	-2e-06	0.10330058
-0.09	-0.0	0.08993368
-0.09	2e-06	0.1001224
-0.09	4e-06	0.10335412
-0.09	6e-06	0.10351478
-0.09	8e-06	0.1039944
-0.09	1e-05	0.10890952
-0.09	1.2e-05	0.10232735
-0.09	1.4e-05	0.10186875
-0.09	1.6e-05	0.10303282
-0.09	1.8e-05	0.09926795
-0.09	2e-05	0.09874638
-0.09	2.2e-05	0.09920038
-0.09	2.4e-05	0.09070202
-0.09	2.6e-05	0.10644148
-0.09	2.8e-05	0.10062075
-0.09	3e-05	0.09733308
-0.09	3.2e-05	0.10731698
-0.09	3.4e-05	0.0989792
-0.09	3.6e-05	0.09959393
-0.09	3.8e-05	0.10550082
-0.09	4e-05	0.0926415
-0.09	4.2e-05	0.0992749
-0.09	4.4e-05	0.10075802
-0.09	4.6e-05	0.10068815
-0.09	4.8e-05	0.09860198
-0.09	5e-05	0.1064625
-0.09	5.2e-05	0.09718408
-0.09	5.4e-05	0.0976101
-0.09	5.6e-05	0.089284
-0.09	5.8e-05	0.09410375
-0.09	6e-05	0.10628778
-0.09	6.2e-05	0.09350065
-0.09	6.4e-05	0.09748673
-0.09	6.6e-05	0.08804072
-0.09	6.8e-05	0.09220848
-0.09	7e-05	0.11131003
-0.09	7.2e-05	0.10246008
-0.09	7.4e-05	0.10765685
-0.09	7.6e-05	0.09519565
-0.09	7.8e-05	0.10388265
-0.09	8e-05	0.1111075
-0.09	8.2e-05	0.0982528
-0.09	8.4e-05	0.10320512
-0.09	8.6e-05	0.10858585
-0.09	8.8e-05	0.10844383
-0.09	9e-05	0.10352412
-0.09	9.2e-05	0.09966608
-0.09	9.4e-05	0.10048095
-0.09	9.6e-05	0.1075847
-0.09	9.8e-05	0.0965857
-0.09	0.0001	0.1023879
-0.09	0.000102	0.10552878
-0.09	0.000104	0.10491645
-0.09	0.000106	0.09888613
-0.09	0.000108	0.10902588
-0.09	0.00011	0.10311665
-0.09	0.000112	0.09906305
-0.09	0.000114	0.10546592
-0.09	0.000116	0.09511888
-0.09	0.000118	0.1000013
-0.09	0.00012	0.0996451
-0.08	-0.00012	0.0890792
-0.08	-0.000118	0.10309102
-0.08	-0.000116	0.1011073
-0.08	-0.000114	0.09045052
-0.08	-0.000112	0.09604323
-0.08	-0.00011	0.09477895
-0.08	-0.000108	0.09283708
-0.08	-0.000106	0.10110032
-0.08	-0.000104	0.09919335
-0.08	-0.000102	0.1001946
-0.08	-0.0001	0.10934952
-0.08	-9.8e-05	0.1029164
-0.08	-9.6e-05	0.08899062
-0.08	-9.4e-05	0.10189662
-0.08	-9.2e-05	0.0927766
-0.08	-9e-05	0.09687678
-0.08	-8.8e-05	0.09971268
-0.08	-8.6e-05	0.0933097
-0.08	-8.4e-05	0.09711425
-0.08	-8.2e-05	0.103119
-0.08	-8e-05	0.10431818
-0.08	-7.8e-05	0.09253683
-0.08	-7.6e-05	0.10246708
-0.08	-7.4e-05	0.10792233
-0.08	-7.2e-05	0.0973261
-0.08	-7e-05	0.10089313
-0.08	-6.8e-05	0.0898149
-0.08	-6.6e-05	0.0991934
-0.08	-6.4e-05	0.0918569
-0.08	-6.2e-05	0.08476245
-0.08	-6e-05	0.111168
-0.08	-5.8e-05	0.1025881
-0.08	-5.6e-05	0.09076255
-0.08	-5.4e-05	0.10398045
-0.08	-5.2e-05	0.08171007
-0.08	-5e-05	0.09605017
-0.08	-4.8e-05	0.08534922
-0.08	-4.6e-05	0.09800358
-0.08	-4.4e-05	0.09656935
-0.08	-4.2e-05	0.10103053
-0.08	-4e-05	0.08206385
-0.08	-3.8e-05	0.09856945
-0.08	-3.6e-05	0.09665322
-0.08	-3.4e-05	0.1006766
-0.08	-3.2e-05	0.10476048
-0.08	-3e-05	0.10524478
-0.08	-2.8e-05	0.10747068
-0.08	-2.6e-05	0.10900728
-0.08	-2.4e-05	0.10410158
-0.08	-2.2e-05	0.1037383
-0.08	-2e-05	0.0923225
-0.08	-1.8e-05	0.0978592
-0.08	-1.6e-05	0.08637828
-0.08	-1.4e-05	0.10074875
-0.08	-1.2e-05	0.09837143
-0.08	-1e-05	0.10265562
-0.08	-8e-06	0.1005415
-0.08	-6e-06	0.09296052
-0.08	-4e-06	0.1071167
-0.08	-2e-06	0.08733763
-0.08	-0.0	0.10155432
-0.08	2e-06	0.09437383
-0.08	4e-06	0.09975455
-0.08	6e-06	0.09323058
-0.08	8e-06	0.08975427
-0.08	1e-05	0.10182207
-0.08	1.2e-05	0.09326545
-0.08	1.4e-05	0.09721895
-0.08	1.6e-05	0.10286518
-0.08	1.8e-05	0.09506288
-0.08	2e-05	0.10341008
-0.08	2.2e-05	0.0924576
-0.08	2.4e-05	0.1008256
-0.08	2.6e-05	0.08601042
-0.08	2.8e-05	0.10555205
-0.08	3e-05	0.0970351
-0.08	3.2e-05	0.09674403
-0.08	3.4e-05	0.10233195
-0.08	3.6e-05	0.09714915
-0.08	3.8e-05	0.10764762
-0.08	4e-05	0.10187568
-0.08	4.2e-05	0.09039238
-0.08	4.4e-05	0.10664178
-0.08	4.6e-05	0.08886028
-0.08	4.8e-05	0.09948447
-0.08	5e-05	0.09325855
-0.08	5.2e-05	0.10044602
-0.08	5.4e-05	0.08582872
-0.08	5.6e-05	0.08688822
-0.08	5.8e-05	0.10313765
-0.08	6e-05	0.0885367
-0.08	6.2e-05	0.09635288
-0.08	6.4e-05	0.09182188
-0.08	6.6e-05	0.09061582
-0.08	6.8e-05	0.09747978
-0.08	7e-05	0.1008745
-0.08	7.2e-05	0.1092471
-0.08	7.4e-05	0.11085598
-0.08	7.6e-05	0.10164287
-0.08	7.8e-05	0.09675333
-0.08	8e-05	0.09734708
-0.08	8.2e-05	0.10248805
-0.08	8.4e-05	0.09940062
-0.08	8.6e-05	0.09529578
-0.08	8.8e-05	0.0873632
-0.08	9e-05	0.09657865
-0.08	9.2e-05	0.09822485
-0.08	9.4e-05	0.0819965
-0.08	9.6e-05	0.1108746
-0.08	9.8e-05	0.10040183
-0.08	0.0001	0.1026417
-0.08	0.000102	0.08084155
-0.08	0.000104	0.08490682
-0.08	0.000106	0.09549375
-0.08	0.000108	0.09395702
-0.08	0.00011	0.08893947
-0.08	0.000112	0.09343318
-0.08	0.000114	0.10348455
-0.08	0.000116	0.1090027
-0.08	0.000118	0.10387568
-0.08	0.00012	0.095219
-0.07	-0.00012	0.01956252
-0.07	-0.000118	0.10567783
-0.07	-0.000116	0.0974052
-0.07	-0.000114	0.09778948
-0.07	-0.000112	0.10270218
-0.07	-0.00011	0.09683945
-0.07	-0.000108	0.09104895
-0.07	-0.000106	0.0957731
-0.07	-0.000104	0.09063217
-0.07	-0.000102	0.08459252
-0.07	-0.0001	0.0990886
-0.07	-9.8e-05	0.08941908
-0.07	-9.6e-05	0.0927067
-0.07	-9.4e-05	0.09294188
-0.07	-9.2e-05	0.09814102
-0.07	-9e-05	0.09972653
-0.07	-8.8e-05	0.11317962
-0.07	-8.6e-05	0.09029688
-0.07	-8.4e-05	0.11326815
-0.07	-8.2e-05	0.09775907
-0.07	-8e-05	0.0975077
-0.07	-7.8e-05	0.09826905
-0.07	-7.6e-05	0.09124225
-0.07	-7.4e-05	0.09599655
-0.07	-7.2e-05	0.09333768
-0.07	-7e-05	0.10625293
-0.07	-6.8e-05	0.10513528
-0.07	-6.6e-05	0.09394068
-0.07	-6.4e-05	0.1045998
-0.07	-6.2e-05	0.09758682
-0.07	-6e-05	0.09861365
-0.07	-5.8e-05	0.09703975
-0.07	-5.6e-05	0.08868338
-0.07	-5.4e-05	0.09134455
-0.07	-5.2e-05	0.09710025
-0.07	-5e-05	0.10311895
-0.07	-4.8e-05	0.07923268
-0.07	-4.6e-05	0.0998058
-0.07	-4.4e-05	0.08925382
-0.07	-4.2e-05	0.0925739
-0.07	-4e-05	0.1021131
-0.07	-3.8e-05	0.11133788
-0.07	-3.6e-05	0.1007115
-0.07	-3.4e-05	0.09239005
-0.07	-3.2e-05	0.08473222
-0.07	-3e-05	0.09151228
-0.07	-2.8e-05	0.1053821
-0.07	-2.6e-05	0.10488148
-0.07	-2.4e-05	0.10134243
-0.07	-2.2e-05	0.093985
-0.07	-2e-05	0.10696075
-0.07	-1.8e-05	0.08492775
-0.07	-1.6e-05	0.09279053
-0.07	-1.4e-05	0.1077081
-0.07	-1.2e-05	0.097815
-0.07	-1e-05	0.09331672
-0.07	-8e-06	0.0996964
-0.07	-6e-06	0.11172217
-0.07	-4e-06	0.1010001
-0.07	-2e-06	0.10241353
-0.07	-0.0	0.0947463
-0.07	2e-06	0.10499098
-0.07	4e-06	0.10245072
-0.07	6e-06	0.1013774
-0.07	8e-06	0.09527015
-0.07	1e-05	0.10491175
-0.07	1.2e-05	0.10222258
-0.07	1.4e-05	0.09585225
-0.07	1.6e-05	0.09036203
-0.07	1.8e-05	0.09948448
-0.07	2e-05	0.09463918
-0.07	2.2e-05	0.10636233
-0.07	2.4e-05	0.09932613
-0.07	2.6e-05	0.09522592
-0.07	2.8e-05	0.10543795
-0.07	3e-05	0.09864857
-0.07	3.2e-05	0.11085828
-0.07	3.4e-05	0.10264165
-0.07	3.6e-05	0.09618515
-0.07	3.8e-05	0.10193625
-0.07	4e-05	0.09950315
-0.07	4.2e-05	0.10541008
-0.07	4.4e-05	0.09345407
-0.07	4.6e-05	0.09689765
-0.07	4.8e-05	0.0936008
-0.07	5e-05	0.10358465
-0.07	5.2e-05	0.09396632
-0.07	5.4e-05	0.10645788
-0.07	5.6e-05	0.10551488
-0.07	5.8e-05	0.0997359
-0.07	6e-05	0.0960991
-0.07	6.2e-05	0.08730725
-0.07	6.4e-05	0.0960758
-0.07	6.6e-05	0.09539588
-0.07	6.8e-05	0.10324932
-0.07	7e-05	0.09941925
-0.07	7.2e-05	0.10484668
-0.07	7.4e-05	0.09715618
-0.07	7.6e-05	0.09695823
-0.07	7.8e-05	0.0943808
-0.07	8e-05	0.09061122
-0.07	8.2e-05	0.10893745
-0.07	8.4e-05	0.0930187
-0.07	8.6e-05	0.1133217
-0.07	8.8e-05	0.0984344
-0.07	9e-05	0.08858088
-0.07	9.2e-05	0.09267648
-0.07	9.4e-05	0.09156342
-0.07	9.6e-05	0.11927055
-0.07	9.8e-05	0.10366842
-0.07	0.0001	0.10859983
-0.07	0.000102	0.09218282
-0.07	0.000104	0.0942923
-0.07	0.000106	0.1007162
-0.07	0.000108	0.10046
-0.07	0.00011	0.0891746
-0.07	0.000112	0.10022253
-0.07	0.000114	0.08944008
-0.07	0.000116	0.09781508
-0.07	0.000118	0.0939407
-0.07	0.00012	0.1044065
-0.06	-0.00012	0.1046859
-0.06	-0.000118	0.10404338
-0.06	-0.000116	0.10262532
-0.06	-0.000114	0.09728885
-0.06	-0.000112	0.11284202
-0.06	-0.00011	0.0894843
-0.06	-0.000108	0.1033215
-0.06	-0.000106	0.08543998
-0.06	-0.000104	0.09270433
-0.06	-0.000102	0.10898865
-0.06	-0.0001	0.08709538
-0.06	-9.8e-05	0.08513032
-0.06	-9.6e-05	0.08336315
-0.06	-9.4e-05	0.10176628
-0.06	-9.2e-05	0.09011298
-0.06	-9e-05	0.09911888
-0.06	-8.8e-05	0.1107698
-0.06	-8.6e-05	0.09756358
-0.06	-8.4e-05	0.09285335
-0.06	-8.2e-05	0.091517
-0.06	-8e-05	0.09865792
-0.06	-7.8e-05	0.10289075
-0.06	-7.6e-05	0.09793615
-0.06	-7.4e-05	0.0829579
-0.06	-7.2e-05	0.09277428
-0.06	-7e-05	0.0917474
-0.06	-6.8e-05	0.09391978
-0.06	-6.6e-05	0.08777068
-0.06	-6.4e-05	0.10632745
-0.06	-6.2e-05	0.09929828
-0.06	-6e-05	0.09301402
-0.06	-5.8e-05	0.094474
-0.06	-5.6e-05	0.09920973
-0.06	-5.4e-05	0.09170087
-0.06	-5.2e-05	0.10118872
-0.06	-5e-05	0.09835753
-0.06	-4.8e-05	0.09377305
-0.06	-4.6e-05	0.10928208
-0.06	-4.4e-05	0.10016895
-0.06	-4.2e-05	0.10674882
-0.06	-4e-05	0.1037848
-0.06	-3.8e-05	0.10414573
-0.06	-3.6e-05	0.10063702
-0.06	-3.4e-05	0.09937038
-0.06	-3.2e-05	0.10623425
-0.06	-3e-05	0.09760552
-0.06	-2.8e-05	0.10510272
-0.06	-2.6e-05	0.0873492
-0.06	-2.4e-05	0.08979398
-0.06	-2.2e-05	0.09873702
-0.06	-2e-05	0.1036242
-0.06	-1.8e-05	0.09537727
-0.06	-1.6e-05	0.11009238
-0.06	-1.4e-05	0.09603855
-0.06	-1.2e-05	0.09025025
-0.06	-1e-05	0.0984343
-0.06	-8e-06	0.08478808
-0.06	-6e-06	0.10357532
-0.06	-4e-06	0.098006
-0.06	-2e-06	0.0827368
-0.06	-0.0	0.0878242
-0.06	2e-06	0.09827605
-0.06	4e-06	0.079249
-0.06	6e-06	0.09311418
-0.06	8e-06	0.08615248
-0.06	1e-05	0.10052055
-0.06	1.2e-05	0.09600123
-0.06	1.4e-05	0.10015965
-0.06	1.6e-05	0.11135188
-0.06	1.8e-05	0.09894198
-0.06	2e-05	0.09396632
-0.06	2.2e-05	0.09346108
-0.06	2.4e-05	0.09897682
-0.06	2.6e-05	0.10225285
-0.06	2.8e-05	0.09502802
-0.06	3e-05	0.10764755
-0.06	3.2e-05	0.10316088
-0.06	3.4e-05	0.0971119
-0.06	3.6e-05	0.0785272
-0.06	3.8e-05	0.09798045
-0.06	4e-05	0.09414565
-0.06	4.2e-05	0.10412475
-0.06	4.4e-05	0.0968837
-0.06	4.6e-05	0.09714922
-0.06	4.8e-05	0.09129812
-0.06	5e-05	0.0959221
-0.06	5.2e-05	0.10444158
-0.06	5.4e-05	0.09152388
-0.06	5.6e-05	0.0943272
-0.06	5.8e-05	0.09648557
-0.06	6e-05	0.0890605
-0.06	6.2e-05	0.1127908
-0.06	6.4e-05	0.0801384
-0.06	6.6e-05	0.08642948
-0.06	6.8e-05	0.0950234
-0.06	7e-05	0.09915848
-0.06	7.2e-05	0.09882083
-0.06	7.4e-05	0.10151477
-0.06	7.6e-05	0.09092082
-0.06	7.8e-05	0.09651582
-0.06	8e-05	0.09203148
-0.06	8.2e-05	0.09580335
-0.06	8.4e-05	0.0909861
-0.06	8.6e-05	0.08861578
-0.06	8.8e-05	0.09376845
-0.06	9e-05	0.0894913
-0.06	9.2e-05	0.09087198
-0.06	9.4e-05	0.0873632
-0.06	9.6e-05	0.10102112
-0.06	9.8e-05	0.09940765
-0.06	0.0001	0.10206658
-0.06	0.000102	0.1086534
-0.06	0.000104	0.10516327
-0.06	0.000106	0.09202678
-0.06	0.000108	0.08654595
-0.06	0.00011	0.0944855
-0.06	0.000112	0.08721412
-0.06	0.000114	0.0920874
-0.06	0.000116	0.08651572
-0.06	0.000118	0.09556585
-0.06	0.00012	0.09079522
-0.05	-0.00012	0.0122912
-0.05	-0.000118	0.0961666
-0.05	-0.000116	0.10480002
-0.05	-0.000114	0.09004075
-0.05	-0.000112	0.0872957
-0.05	-0.00011	0.07316278
-0.05	-0.000108	0.09743775
-0.05	-0.000106	0.08473908
-0.05	-0.000104	0.09860208
-0.05	-0.000102	0.10402465
-0.05	-0.0001	0.09594307
-0.05	-9.8e-05	0.0978104
-0.05	-9.6e-05	0.08945868
-0.05	-9.4e-05	0.09816195
-0.05	-9.2e-05	0.09245523
-0.05	-9e-05	0.09351235
-0.05	-8.8e-05	0.10104675
-0.05	-8.6e-05	0.08431302
-0.05	-8.4e-05	0.0977219
-0.05	-8.2e-05	0.09640168
-0.05	-8e-05	0.09636222
-0.05	-7.8e-05	0.09992678
-0.05	-7.6e-05	0.08982198
-0.05	-7.4e-05	0.09951005
-0.05	-7.2e-05	0.09141675
-0.05	-7e-05	0.10785482
-0.05	-6.8e-05	0.0937498
-0.05	-6.6e-05	0.09262283
-0.05	-6.4e-05	0.09651818
-0.05	-6.2e-05	0.0918918
-0.05	-6e-05	0.08931433
