Initial Temperature (K)	0.0250387
Excitation Current (A)	1.082761038961039e-12
Axis 1,2	x,y
Angle	0
Field (T)	Current (A)	Resistance (Ohms)
-0.04	0.00016	0.10776638
-0.04	0.000162	0.09887212
-0.04	0.000164	0.09444834
-0.04	0.000166	0.101148
-0.04	0.000168	0.10168941
-0.04	0.00017	0.09900012
-0.04	0.000172	0.09096741
-0.04	0.000174	0.10393628
-0.04	0.000176	0.10586878
-0.04	0.000178	0.09090344
-0.04	0.00018	0.09490234
-0.04	0.000182	0.08278916
-0.04	0.000184	0.10498975
-0.04	0.000186	0.11135188
-0.04	0.000188	0.10299909
-0.04	0.00019	0.09225388
-0.04	0.000192	0.10443675
-0.04	0.000194	0.10656147
-0.04	0.000196	0.10715509
-0.04	0.000198	0.09461706
-0.04	0.0002	0.09170084
-0.0396	0.0002	0.09209087
-0.0396	0.000198	0.10337734
-0.0396	0.000196	0.10771391
-0.0396	0.000194	0.11016441
-0.0396	0.000192	0.09768466
-0.0396	0.00019	0.09868
-0.0396	0.000188	0.11070581
-0.0396	0.000186	0.09439594
-0.0396	0.000184	0.10048447
-0.0396	0.000182	0.10134016
-0.0396	0.00018	0.1074695
-0.0396	0.000178	0.11026931
-0.0396	0.000176	0.09867422
-0.0396	0.000174	0.1012995
-0.0396	0.000172	0.09703266
-0.0396	0.00017	0.09243425
-0.0396	0.000168	0.09339472
-0.0396	0.000166	0.10092109
-0.0396	0.000164	0.10264981
-0.0396	0.000162	0.10108412
-0.0396	0.00016	0.09368578
-0.0396	0.000158	0.09938431
-0.0396	0.000156	0.08893597
-0.0396	0.000154	0.10090938
-0.0396	0.000152	0.10113056
-0.0396	0.00015	0.09411066
-0.0396	0.000148	0.09706766
-0.0396	0.000146	0.09752744
-0.0396	0.000144	0.10235309
-0.0396	0.000142	0.10653234
-0.0396	0.00014	0.09954741
-0.0396	0.000138	0.09521084
-0.0396	0.000136	0.08303947
-0.0396	0.000134	0.10521678
-0.0396	0.000132	0.098453
-0.0396	0.00013	0.10387222
-0.0396	0.000128	0.10565928
-0.0396	0.000126	0.09908747
-0.0396	0.000124	0.09771956
-0.0396	0.000122	0.08996628
-0.0396	0.00012	0.101864
-0.0396	0.000118	0.09304537
-0.0396	0.000116	0.10042631
-0.0396	0.000114	0.10219
-0.0396	0.000112	0.10675931
-0.0396	0.00011	0.09863344
-0.0396	0.000108	0.10452994
-0.0396	0.000106	0.09805138
-0.0396	0.000104	0.09292322
-0.0396	0.000102	0.10849394
-0.0396	0.0001	0.10095597
-0.0396	9.8e-05	0.1113635
