Initial Temperature (K)	0.0249819
Excitation Current (A)	2e-07
Axis 1,2	y,z
Angle	14
Field (T)	Current (A)	Resistance (Ohms)
0.75	-0.000128	0.08298131
0.75	-0.000136	0.12880262
0.75	-0.000144	0.10078131
0.75	-0.000152	0.11221334
0.75	-0.00016	0.07586248
0.75	-0.000168	0.11281297
0.75	-0.000176	0.06607773
0.75	-0.000184	0.08775425
0.75	-0.000192	0.11439612
0.75	-0.0002	0.12213778
0.7	-0.0002	0.11636356
0.7	-0.000192	0.09148559
0.7	-0.000184	0.0858975
0.7	-0.000176	0.09972778
0.7	-0.000168	0.10797575
0.7	-0.00016	0.11093872
0.7	-0.000152	0.09527484
0.7	-0.000144	0.10202116
0.7	-0.000136	0.12271406
0.7	-0.000128	0.10104903
0.7	-0.00012	0.09437853
0.7	-0.000112	0.08251569
0.7	-0.000104	0.12519953
0.7	-9.6e-05	0.10018763
0.7	-8.8e-05	0.09727722
0.7	-8e-05	0.07724203
0.7	-7.2e-05	0.07576928
0.7	-6.4e-05	0.098028
0.7	-5.6e-05	0.10657884
0.7	-4.8e-05	0.08125259
0.7	-4e-05	0.09540875
0.7	-3.2e-05	0.09630509
0.7	-2.4e-05	0.08202097
0.7	-1.6e-05	0.10063581
0.7	-8e-06	0.11109569
0.7	0.0	0.08139803
0.7	8e-06	0.08406394
0.7	1.6e-05	0.10664281
0.7	2.4e-05	0.11386647
0.7	3.2e-05	0.1186045
0.7	4e-05	0.09849953
0.7	4.8e-05	0.09545531
0.7	5.6e-05	0.09379059
0.7	6.4e-05	0.10729469
0.7	7.2e-05	0.12177109
0.7	8e-05	0.08871474
0.7	8.8e-05	0.10218413
0.7	9.6e-05	0.09386034
0.7	0.000104	0.08950633
0.7	0.000112	0.09267294
0.7	0.00012	0.08288816
0.7	0.000128	0.05935466
0.7	0.000136	0.09372656
0.7	0.000144	0.07724781
0.7	0.000152	0.08949481
0.7	0.00016	0.11792353
0.7	0.000168	0.08937253
0.7	0.000176	0.12730662
0.7	0.000184	0.10193384
0.7	0.000192	0.09774878
0.7	0.0002	0.09728878
0.65	0.0002	0.09136325
0.65	0.000192	0.10745203
0.65	0.000184	0.08273097
0.65	0.000176	0.09295822
0.65	0.000168	0.08054241
0.65	0.00016	0.09345294
0.65	0.000152	0.07728284
0.65	0.000144	0.09667763
0.65	0.000136	0.08060056
0.65	0.000128	0.1022365
0.65	0.00012	0.08153778
0.65	0.000112	0.08445978
0.65	0.000104	0.10028656
0.65	9.6e-05	0.09539709
0.65	8.8e-05	0.07830722
0.65	8e-05	0.11228897
0.65	7.2e-05	0.11960572
0.65	6.4e-05	0.09817362
0.65	5.6e-05	0.08101386
0.65	4.8e-05	0.09357513
0.65	4e-05	0.0856705
0.65	3.2e-05	0.10305725
0.65	2.4e-05	0.12362212
0.65	1.6e-05	0.13859319
0.65	8e-06	0.07648535
0.65	0.0	0.03529148
0.65	-8e-06	0.06369123
0.65	-1.6e-05	0.10449497
0.65	-2.4e-05	0.10244603
0.65	-3.2e-05	0.12439053
0.65	-4e-05	0.10356366
0.65	-4.8e-05	0.0831385
0.65	-5.6e-05	0.07232926
0.65	-6.4e-05	0.11213181
0.65	-7.2e-05	0.0692209
0.65	-8e-05	0.10153791
0.65	-8.8e-05	0.10645662
0.65	-9.6e-05	0.08242253
0.65	-0.000104	0.09553103
0.65	-0.000112	0.11020522
0.65	-0.00012	0.10727144
0.65	-0.000128	0.11189903
0.65	-0.000136	0.09395934
0.65	-0.000144	0.07859819
0.65	-0.000152	0.0734935
0.65	-0.00016	0.10752188
0.65	-0.000168	0.08086837
0.65	-0.000176	0.09283012
0.65	-0.000184	0.10181741
0.65	-0.000192	0.08766709
0.65	-0.0002	0.10111309
0.6	-0.0002	0.06804505
0.6	-0.000192	0.08041428
0.6	-0.000184	0.09132247
0.6	-0.000176	0.09774866
0.6	-0.000168	0.09441338
0.6	-0.00016	0.11624131
0.6	-0.000152	0.12376181
0.6	-0.000144	0.09423294
0.6	-0.000136	0.07971581
0.6	-0.000128	0.09111291
0.6	-0.00012	0.09428525
0.6	-0.000112	0.09645056
0.6	-0.000104	0.10114222
0.6	-9.6e-05	0.08511178
0.6	-8.8e-05	0.08434922
0.6	-8e-05	0.0837555
0.6	-7.2e-05	0.06022777
0.6	-6.4e-05	0.07093223
0.6	-5.6e-05	0.10884897
0.6	-4.8e-05	0.10720753
0.6	-4e-05	0.07625831
0.6	-3.2e-05	0.12292944
0.6	-2.4e-05	0.13493181
0.6	-1.6e-05	0.11412266
0.6	-8e-06	0.08051334
0.6	0.0	0.08809197
0.6	8e-06	0.10798156
0.6	1.6e-05	0.10658462
0.6	2.4e-05	0.13044406
0.6	3.2e-05	0.12331953
0.6	4e-05	0.08902328
0.6	4.8e-05	0.08109534
0.6	5.6e-05	0.06678196
0.6	6.4e-05	0.10931456
0.6	7.2e-05	0.11336003
0.6	8e-05	0.12322041
0.6	8.8e-05	0.11560688
0.6	9.6e-05	0.11650909
0.6	0.000104	0.08951812
0.6	0.000112	0.09304541
0.6	0.00012	0.08780091
0.6	0.000128	0.08452384
0.6	0.000136	0.13285388
0.6	0.000144	0.11031584
0.6	0.000152	0.11372097
0.6	0.00016	0.09799319
0.6	0.000168	0.1166895
0.6	0.000176	0.08931434
0.6	0.000184	0.10601428
0.6	0.000192	0.09628178
0.6	0.0002	0.07698009
0.55	0.0002	0.09526903
0.55	0.000192	0.07979147
0.55	0.000184	0.11847062
0.55	0.000176	0.09106638
0.55	0.000168	0.07954115
0.55	0.00016	0.06246881
0.55	0.000152	0.12029844
0.55	0.000144	0.0829347
0.55	0.000136	0.08310353
