Initial Temperature (K)	0.0250201
Excitation Current (A)	1.0895350649350648e-12
Axis 1,2	y,z
Angle	104
Field (T)	Current (A)	Resistance (Ohms)
-0.8	-9e-05	0.09867425
-0.8	-8.5e-05	0.09869285
-0.8	-8e-05	0.0917078
-0.8	-7.5e-05	0.101226
-0.8	-7e-05	0.08218975
-0.8	-6.5e-05	0.11733805
-0.8	-6e-05	0.08714435
-0.8	-5.5e-05	0.1045883
-0.8	-5e-05	0.10838795
-0.8	-4.5e-05	0.11871645
-0.8	-4e-05	0.1254778
-0.8	-3.5e-05	0.128309
-0.8	-3e-05	0.1749964
-0.8	-2.5e-05	0.1621255
-0.8	-2e-05	0.102921
-0.8	-1.5e-05	0.03304348
-0.8	-1e-05	0.00652861
-0.8	-5e-06	0.02776286
-0.8	0.0	0.00242145
-0.8	5e-06	0.03013778
-0.8	1e-05	0.0340121
-0.8	1.5e-05	0.01071957
-0.8	2e-05	0.06594733
-0.8	2.5e-05	0.1453708
-0.8	3e-05	0.15698445
-0.8	3.5e-05	0.14803445
-0.8	4e-05	0.127536
-0.8	4.5e-05	0.1242485
-0.8	5e-05	0.0970071
-0.8	5.5e-05	0.09362645
-0.8	6e-05	0.10052765
-0.8	6.5e-05	0.1108466
-0.8	7e-05	0.10683265
-0.8	7.5e-05	0.1070003
-0.8	8e-05	0.10925425
-0.8	8.5e-05	0.09683945
-0.8	9e-05	0.07437575
-0.8	9.5e-05	0.0844527
-0.8	0.0001	0.1040294
-0.8	0.000105	0.10504435
-0.8	0.00011	0.0870511
-0.8	0.000115	0.0843969
-0.8	0.00012	0.0940548
-0.8	0.000125	0.09166135
-0.8	0.00013	0.0845366
-0.8	0.000135	0.10700025
-0.8	0.00014	0.11121925
-0.8	0.000145	0.0791349
-0.8	0.00015	0.099736
-0.8	0.000155	0.0857474
-0.8	0.00016	0.08000095
-0.8	0.000165	0.0909162
-0.8	0.00017	0.0944646
-0.8	0.000175	0.09214565
-0.8	0.00018	0.0867439
-0.8	0.000185	0.08703265
-0.8	0.00019	0.0845459
-0.8	0.000195	0.09337495
-0.8	0.0002	0.09923305
-0.75	0.0002	0.10605035
-0.75	0.000195	0.086185
-0.75	0.00019	0.09498605
-0.75	0.000185	0.09834825
-0.75	0.00018	0.10682325
-0.75	0.000175	0.08956575
-0.75	0.00017	0.08006625
-0.75	0.000165	0.09322595
-0.75	0.00016	0.10014575
-0.75	0.000155	0.110828
-0.75	0.00015	0.09959625
-0.75	0.000145	0.10117015
-0.75	0.00014	0.1111074
-0.75	0.000135	0.10376855
-0.75	0.00013	0.1027161
-0.75	0.000125	0.09263935
-0.75	0.00012	0.0978733
-0.75	0.000115	0.10310735
-0.75	0.00011	0.10454155
-0.75	0.000105	0.0921083
-0.75	0.0001	0.10418765
-0.75	9.5e-05	0.10321905
-0.75	9e-05	0.11547535
-0.75	8.5e-05	0.09711885
-0.75	8e-05	0.1019525
-0.75	7.5e-05	0.09666245
-0.75	7e-05	0.08611985
-0.75	6.5e-05	0.1192752
-0.75	6e-05	0.094688
-0.75	5.5e-05	0.0798986
-0.75	5e-05	0.1108374
-0.75	4.5e-05	0.10858355
-0.75	4e-05	0.1079503
-0.75	3.5e-05	0.08924915
-0.75	3e-05	0.10741945
-0.75	2.5e-05	0.16103575
-0.75	2e-05	0.1547679
-0.75	1.5e-05	0.0978174
-0.75	1e-05	0.03879915
-0.75	5e-06	0.01519928
-0.75	0.0	0.01264742
-0.75	-5e-06	0.01278712
-0.75	-1e-05	0.01850547
-0.75	-1.5e-05	0.05450124
-0.75	-2e-05	0.1115545
-0.75	-2.5e-05	0.1470007
-0.75	-3e-05	0.12496555
-0.75	-3.5e-05	0.1120387
-0.75	-4e-05	0.09022695
-0.75	-4.5e-05	0.10795955
-0.75	-5e-05	0.0979199
-0.75	-5.5e-05	0.09445535
-0.75	-6e-05	0.102772
-0.75	-6.5e-05	0.0765179
-0.75	-7e-05	0.10513765
-0.75	-7.5e-05	0.09667185
-0.75	-8e-05	0.10012715
-0.75	-8.5e-05	0.0956287
-0.75	-9e-05	0.1075684
-0.75	-9.5e-05	0.10431805
-0.75	-0.0001	0.08746095
-0.75	-0.000105	0.1000433
-0.75	-0.00011	0.10616215
-0.75	-0.000115	0.0961223
-0.75	-0.00012	0.09215485
-0.75	-0.000125	0.108863
-0.75	-0.00013	0.0884388
-0.75	-0.000135	0.08640865
-0.75	-0.00014	0.08841095
-0.75	-0.000145	0.10453225
-0.75	-0.00015	0.0781384
-0.75	-0.000155	0.0791442
-0.75	-0.00016	0.09359845
-0.75	-0.000165	0.0995963
-0.75	-0.00017	0.10598515
-0.75	-0.000175	0.0883738
-0.75	-0.00018	0.0987487
-0.75	-0.000185	0.09564745
-0.75	-0.00019	0.0903108
-0.75	-0.000195	0.0944926
-0.75	-0.0002	0.0999874
-0.7	-0.0002	0.07715115
-0.7	-0.000195	0.07359355
-0.7	-0.00019	0.07630375
-0.7	-0.000185	0.0934121
-0.7	-0.00018	0.0807181
-0.7	-0.000175	0.09714685
-0.7	-0.00017	0.1012168
-0.7	-0.000165	0.10043445
-0.7	-0.00016	0.0876565
-0.7	-0.000155	0.0916614
-0.7	-0.00015	0.08527235
-0.7	-0.000145	0.09120495
-0.7	-0.00014	0.1006299
-0.7	-0.000135	0.0877497
-0.7	-0.00013	0.09949375
-0.7	-0.000125	0.0960293
-0.7	-0.00012	0.0960665
-0.7	-0.000115	0.09891635
-0.7	-0.00011	0.08705125
-0.7	-0.000105	0.09280685
-0.7	-0.0001	0.08101615
-0.7	-9.5e-05	0.08347485
-0.7	-9e-05	0.0954703
-0.7	-8.5e-05	0.10692575
-0.7	-8e-05	0.09394315
-0.7	-7.5e-05	0.09692335
-0.7	-7e-05	0.08578465
-0.7	-6.5e-05	0.09659735
-0.7	-6e-05	0.11146135
-0.7	-5.5e-05	0.1080154
-0.7	-5e-05	0.12661405
-0.7	-4.5e-05	0.1417759
-0.7	-4e-05	0.1924962
-0.7	-3.5e-05	0.20880395
-0.7	-3e-05	0.14089115
-0.7	-2.5e-05	0.02831239
-0.7	-2e-05	0.01475223
-0.7	-1.5e-05	0.00610021
-0.7	-1e-05	-0.00120142
-0.7	-5e-06	0.00998383
-0.7	0.0	0.00592326
-0.7	5e-06	0.01012357
-0.7	1e-05	-0.00649134
-0.7	1.5e-05	0.01411895
-0.7	2e-05	0.00676146
-0.7	2.5e-05	0.03615411
-0.7	3e-05	0.0955263
-0.7	3.5e-05	0.19893165
-0.7	4e-05	0.197395
-0.7	4.5e-05	0.1663722
-0.7	5e-05	0.13206225
-0.7	5.5e-05	0.12662335
-0.7	6e-05	0.1215942
-0.7	6.5e-05	0.1123554
-0.7	7e-05	0.09203385
-0.7	7.5e-05	0.13015305
-0.7	8e-05	0.09719335
-0.7	8.5e-05	0.0889325
-0.7	9e-05	0.1111261
-0.7	9.5e-05	0.09589885
-0.7	0.0001	0.09129815
-0.7	0.000105	0.08978935
-0.7	0.00011	0.0903574
-0.7	0.000115	0.09259265
-0.7	0.00012	0.0971841
-0.7	0.000125	0.0893609
-0.7	0.00013	0.0748508
-0.7	0.000135	0.0838939
-0.7	0.00014	0.09376605
-0.7	0.000145	0.11392925
-0.7	0.00015	0.1004158
-0.7	0.000155	0.10336815
-0.7	0.00016	0.09608515
-0.7	0.000165	0.10339605
-0.7	0.00017	0.1038524
-0.7	0.000175	0.0884668
-0.7	0.00018	0.1013378
-0.7	0.000185	0.0879732
-0.7	0.00019	0.092034
-0.7	0.000195	0.0934122
-0.7	0.0002	0.07295085
-0.65	0.0002	0.10224115
-0.65	0.000195	0.08911865
-0.65	0.00019	0.08931445
-0.65	0.000185	0.09419455
-0.65	0.00018	0.0776075
-0.65	0.000175	0.08643645
-0.65	0.00017	0.07439445
-0.65	0.000165	0.1054077
-0.65	0.00016	0.09200585
-0.65	0.000155	0.09503275
-0.65	0.00015	0.07738405
-0.65	0.000145	0.0981713
-0.65	0.00014	0.1028187
-0.65	0.000135	0.0806623
-0.65	0.00013	0.0932818
-0.65	0.000125	0.1140412
-0.65	0.00012	0.0967929
-0.65	0.000115	0.09235035
-0.65	0.00011	0.10998975
-0.65	0.000105	0.0979012
-0.65	0.0001	0.09043185
-0.65	9.5e-05	0.09963345
-0.65	9e-05	0.10159855
-0.65	8.5e-05	0.0870139
-0.65	8e-05	0.0923319
-0.65	7.5e-05	0.1081459
-0.65	7e-05	0.1058455
-0.65	6.5e-05	0.1014868
-0.65	6e-05	0.0969885
-0.65	5.5e-05	0.0823014
-0.65	5e-05	0.1179713
-0.65	4.5e-05	0.10368475
-0.65	4e-05	0.1175336
-0.65	3.5e-05	0.09489295
-0.65	3e-05	0.1129422
-0.65	2.5e-05	0.12700515
-0.65	2e-05	0.16327085
-0.65	1.5e-05	0.097538
-0.65	1e-05	0.04797269
-0.65	5e-06	0.02509933
-0.65	0.0	0.02845204
-0.65	-5e-06	0.01921327
-0.65	-1e-05	0.00079163
-0.65	-1.5e-05	0.02615165
-0.65	-2e-05	0.09052505
-0.65	-2.5e-05	0.1447654
-0.65	-3e-05	0.1401741
-0.65	-3.5e-05	0.1189491
-0.65	-4e-05	0.10344265
-0.65	-4.5e-05	0.11911685
-0.65	-5e-05	0.09036675
-0.65	-5.5e-05	0.1072053
-0.65	-6e-05	0.098935
